,Season,Name,x2B%,2B%
733,2015,Buster Posey,0.478,0.449
994,2015,Adam Eaton,0.459,0.406
570,2019,David Dahl,0.498,0.678
453,2015,Mark Trumbo,0.459,0.422
37,2017,Khris Davis,0.444,0.429
73,2015,Albert Pujols,0.442,0.333
25,2016,Khris Davis,0.426,0.393
130,2016,Jay Bruce,0.478,0.458
974,2016,Dustin Pedroia,0.486,0.516
869,2017,Kevin Pillar,0.454,0.585
796,2021,Akil Baddoo,0.435,0.434
722,2021,Tim Anderson,0.497,0.526
307,2017,Aaron Altherr,0.462,0.583
280,2018,Paul Goldschmidt,0.487,0.507
528,2015,Kyle Seager,0.487,0.539
1218,2015,Erick Aybar,0.427,0.47
477,2019,DJ LeMahieu,0.507,0.504
889,2021,Jean Segura,0.454,0.476
146,2019,J.D. Martinez,0.505,0.502
415,2017,Josh Bell,0.442,0.419
995,2019,Adalberto Mondesi,0.458,0.451
30,2021,Joey Votto,0.518,0.432
655,2019,Jason Kipnis,0.45,0.45
1137,2021,Christian Vazquez,0.463,0.462
584,2015,Carlos Beltran,0.524,0.64
1155,2018,Addison Russell,0.448,0.452
1223,2015,Nick Markakis,0.483,0.554
308,2017,Rougned Odor,0.471,0.323
1021,2015,Brandon Phillips,0.474,0.305
1229,2021,Nicky Lopez,0.456,0.372
947,2021,Garrett Hampson,0.469,0.425
638,2017,Mookie Betts,0.475,0.646
921,2017,Gerardo Parra,0.493,0.565
115,2021,Jose Ramirez,0.483,0.503
472,2018,Jose Abreu,0.502,0.651
65,2019,Eloy Jimenez,0.468,0.357
102,2021,Pete Alonso,0.438,0.424
1042,2018,Andrelton Simmons,0.496,0.433
721,2016,Anthony Rendon,0.501,0.587
1093,2018,Wilmer Difo,0.434,0.307
1162,2021,Nick Ahmed,0.433,0.634
1088,2019,Buster Posey,0.48,0.539
406,2019,J.T. Realmuto,0.527,0.607
1205,2021,Andrelton Simmons,0.428,0.266
1108,2017,Guillermo Heredia,0.412,0.376
1212,2016,Adeiny Hechavarria,0.482,0.311
486,2019,Evan Longoria,0.494,0.374
62,2017,Kyle Schwarber,0.39,0.329
313,2015,Ryan Howard,0.55,0.577
1033,2016,Jordy Mercer,0.421,0.377
131,2016,Miguel Cabrera,0.482,0.457
349,2019,Yasmani Grandal,0.485,0.411
1038,2015,Joe Panik,0.479,0.625
265,2019,Kris Bryant,0.447,0.552
1201,2019,Dee Strange-Gordon,0.427,0.285
690,2016,Brandon Drury,0.466,0.621
726,2019,Robinson Cano,0.499,0.662
1150,2018,Joe Mauer,0.534,0.497
1025,2015,Kevin Pillar,0.475,0.494
372,2021,Ozzie Albies,0.452,0.583
342,2019,Ryan McMahon,0.501,0.408
150,2018,Travis Shaw,0.453,0.392
98,2017,Jay Bruce,0.475,0.47
32,2015,Nelson Cruz,0.476,0.336
353,2019,Marcus Semien,0.476,0.576
485,2018,Scott Schebler,0.493,0.442
826,2015,Eric Hosmer,0.506,0.495
834,2017,Jose Reyes,0.431,0.446
12,2018,Khris Davis,0.401,0.428
1222,2015,Omar Infante,0.451,0.505
206,2019,Trey Mancini,0.484,0.56
87,2017,Mike Napoli,0.4,0.227
1168,2016,Alcides Escobar,0.414,0.352
1211,2021,Elvis Andrus,0.508,0.462
325,2017,Javier Baez,0.414,0.472
637,2018,Jed Lowrie,0.505,0.544
1066,2018,Whit Merrifield,0.524,0.608
1100,2015,Odubel Herrera,0.516,0.559
786,2016,Ben Zobrist,0.51,0.491
1235,2015,Ichiro Suzuki,0.366,0.114
1067,2015,Jonathan Lucroy,0.518,0.482
500,2017,Daniel Murphy,0.558,0.725
825,2017,Brandon Drury,0.521,0.771
521,2015,Curtis Granderson,0.551,0.484
923,2016,Aaron Hill,0.467,0.326
426,2019,Brian Dozier,0.495,0.415
897,2015,Yangervis Solarte,0.479,0.578
1196,2018,Alcides Escobar,0.455,0.414
256,2019,Justin Turner,0.526,0.437
407,2015,Matt Carpenter,0.507,0.662
590,2016,Andrew McCutchen,0.503,0.385
183,2016,Mike Napoli,0.428,0.341
339,2018,Kendrys Morales,0.477,0.318
742,2016,Hernan Perez,0.482,0.419
581,2017,Corey Seager,0.51,0.538
1,2017,Giancarlo Stanton,0.404,0.462
28,2021,Adam Duvall,0.422,0.306
900,2017,Eduardo Nunez,0.462,0.672
398,2016,J.D. Martinez,0.475,0.677
1016,2015,Nick Ahmed,0.411,0.37
192,2018,Manny Machado,0.482,0.494
45,2018,Mike Trout,0.464,0.395
1052,2015,Melky Cabrera,0.529,0.527
402,2019,Shohei Ohtani,0.496,0.471
417,2021,Tyler Naquin,0.46,0.529
1024,2016,Lonnie Chisenhall,0.454,0.598
449,2019,Jeff McNeil,0.511,0.67
396,2021,Kris Bryant,0.476,0.546
276,2017,Brian Dozier,0.46,0.426
998,2021,Pavin Smith,0.503,0.495
359,2016,Troy Tulowitzki,0.454,0.386
508,2017,Maikel Franco,0.467,0.465
