,Season,Name,x2B%,2B%
272,2019,J.D. Davis,0.499,0.486
57,2017,Ryan Zimmerman,0.473,0.573
165,2021,Eugenio Suarez,0.409,0.401
389,2017,Andrew McCutchen,0.501,0.462
759,2017,Evan Longoria,0.458,0.532
1079,2018,Jason Heyward,0.481,0.47
422,2021,Austin Hays,0.448,0.491
330,2015,Jose Abreu,0.458,0.509
255,2017,Curtis Granderson,0.467,0.455
460,2016,Nick Castellanos,0.485,0.559
456,2021,Trevor Story,0.466,0.571
1228,2019,Yolmer Sanchez,0.466,0.36
735,2019,Nick Ahmed,0.447,0.528
63,2021,Joey Gallo,0.405,0.211
704,2021,Andrew Benintendi,0.501,0.502
1021,2015,Brandon Phillips,0.474,0.305
654,2021,Jonathan India,0.457,0.539
797,2021,Martin Maldonado,0.478,0.235
1125,2021,J.P. Crawford,0.471,0.539
496,2019,Robinson Chirinos,0.518,0.503
530,2016,Corey Seager,0.51,0.582
143,2019,Freddie Freeman,0.518,0.491
73,2015,Albert Pujols,0.451,0.333
556,2016,Aledmys Diaz,0.47,0.609
689,2017,Avisail Garcia,0.435,0.481
695,2016,Christian Yelich,0.478,0.577
295,2021,Andrew McCutchen,0.459,0.418
463,2015,Jay Bruce,0.478,0.539
744,2017,Whit Merrifield,0.48,0.508
381,2021,Trea Turner,0.513,0.526
1052,2015,Melky Cabrera,0.527,0.527
757,2015,Ian Desmond,0.437,0.421
893,2017,Trea Turner,0.458,0.537
833,2021,Tommy Pham,0.483,0.428
300,2021,Ian Happ,0.435,0.374
534,2018,Trey Mancini,0.413,0.362
764,2017,J.T. Realmuto,0.444,0.535
1048,2016,Jose Ramirez,0.508,0.744
644,2018,Yangervis Solarte,0.467,0.395
589,2019,Garrett Cooper,0.448,0.38
646,2019,Brandon Drury,0.482,0.47
136,2018,Christian Yelich,0.499,0.522
1018,2019,Jean Segura,0.453,0.599
357,2016,Jonathan Lucroy,0.497,0.441
1203,2015,Andrelton Simmons,0.447,0.395
1116,2018,Jordy Mercer,0.511,0.665
674,2021,Jake Cronenworth,0.463,0.513
257,2017,Yasiel Puig,0.411,0.421
1022,2019,Nick Markakis,0.56,0.533
439,2019,Rhys Hoskins,0.505,0.468
960,2019,Hanser Alberto,0.4,0.382
771,2015,Adrian Beltre,0.546,0.517
390,2016,Michael Saunders,0.52,0.573
1133,2017,Jose Iglesias,0.42,0.675
542,2021,Joc Pederson,0.5,0.395
897,2015,Yangervis Solarte,0.475,0.578
427,2019,Ian Desmond,0.439,0.643
359,2016,Troy Tulowitzki,0.459,0.386
512,2017,Tim Beckham,0.467,0.313
656,2015,Logan Morrison,0.449,0.294
726,2019,Robinson Cano,0.492,0.662
468,2017,Brandon Belt,0.507,0.599
1019,2018,Joey Votto,0.527,0.449
1197,2015,Ruben Tejada,0.478,0.565
951,2019,Yadier Molina,0.541,0.531
1056,2016,DJ LeMahieu,0.542,0.504
888,2021,Omar Narvaez,0.479,0.449
151,2017,Marcell Ozuna,0.473,0.442
1163,2021,Leury Garcia,0.432,0.464
423,2017,Jedd Gyorko,0.43,0.437
890,2019,Joey Votto,0.526,0.526
837,2015,Brett Lawrie,0.466,0.482
625,2016,Mark Teixeira,0.493,0.365
387,2019,Khris Davis,0.465,0.206
544,2018,Ronald Guzman,0.465,0.421
942,2021,Christian Walker,0.509,0.517
907,2016,Rajai Davis,0.468,0.465
40,2017,Mike Trout,0.453,0.493
224,2019,Yuli Gurriel,0.542,0.654
91,2016,Yasmani Grandal,0.413,0.306
405,2019,Albert Pujols,0.444,0.404
350,2016,Victor Martinez,0.529,0.361
685,2018,Curtis Granderson,0.571,0.546
80,2015,David Ortiz,0.517,0.603
613,2019,Tim Anderson,0.491,0.618
