,Season,Name,xBABIP,BABIP
991,2019,Marwin Gonzalez,0.315,0.31
621,2015,Angel Pagan,0.303,0.31
201,2015,J.D. Martinez,0.313,0.339
1090,2017,Logan Forsythe,0.321,0.299
1044,2021,Willi Castro,0.332,0.275
171,2017,Paul Goldschmidt,0.32,0.343
350,2016,Cesar Hernandez,0.34,0.363
913,2021,Willson Contreras,0.299,0.298
854,2016,Evan Gattis,0.264,0.273
597,2018,Matt Duffy,0.344,0.353
590,2015,Brandon Crawford,0.311,0.294
760,2018,Teoscar Hernandez,0.311,0.313
170,2015,Nolan Arenado,0.282,0.284
1124,2017,Justin Bour,0.305,0.322
883,2021,Odubel Herrera,0.317,0.285
856,2019,Todd Frazier,0.277,0.284
488,2019,Jason Heyward,0.301,0.281
827,2021,Jonathan Villar,0.314,0.313
817,2016,Zack Cozart,0.269,0.274
1,2018,Francisco Lindor,0.31,0.279
1081,2018,Hunter Renfroe,0.271,0.271
1148,2017,Gerardo Parra,0.317,0.343
141,2016,Matt Kemp,0.294,0.297
38,2015,Anthony Rizzo,0.295,0.289
1183,2019,David Dahl,0.352,0.386
850,2015,Adeiny Hechavarria,0.317,0.325
722,2021,Mike Yastrzemski,0.276,0.254
1111,2016,Devon Travis,0.302,0.358
166,2021,David Fletcher,0.316,0.287
198,2019,Juan Soto,0.329,0.312
553,2017,Didi Gregorius,0.262,0.287
96,2019,Bryce Harper,0.328,0.313
205,2018,Freddy Galvis,0.291,0.304
839,2015,Johnny Giavotella,0.296,0.301
452,2017,Mike Moustakas,0.26,0.263
56,2016,Jean Segura,0.333,0.353
329,2018,Marcell Ozuna,0.297,0.309
399,2015,Jason Heyward,0.314,0.329
908,2018,Gleyber Torres,0.303,0.321
1207,2016,Jace Peterson,0.313,0.296
639,2019,Miguel Cabrera,0.322,0.336
126,2019,Starlin Castro,0.288,0.293
29,2018,Nick Markakis,0.331,0.318
893,2017,J.D. Martinez,0.318,0.327
876,2016,Brian McCann,0.26,0.269
282,2017,Justin Smoak,0.292,0.285
5,2016,Mookie Betts,0.304,0.322
468,2018,Jurickson Profar,0.316,0.269
819,2021,Jazz Chisholm Jr.,0.328,0.319
509,2016,Kevin Pillar,0.295,0.306
67,2019,Alex Bregman,0.275,0.281
192,2018,Rhys Hoskins,0.258,0.272
1004,2016,Erick Aybar,0.288,0.283
799,2015,Logan Morrison,0.277,0.238
1039,2018,Evan Gattis,0.246,0.232
132,2017,Jonathan Schoop,0.287,0.33
59,2019,Pete Alonso,0.287,0.28
1007,2017,Ryan Goins,0.273,0.283
443,2017,Logan Morrison,0.284,0.268
679,2018,Kevin Pillar,0.326,0.281
612,2019,Yolmer Sanchez,0.299,0.324
907,2015,Adam LaRoche,0.263,0.269
264,2015,Chase Headley,0.314,0.317
797,2019,Jason Kipnis,0.278,0.265
279,2018,Scooter Gennett,0.308,0.358
843,2018,Jonathan Schoop,0.277,0.261
740,2016,Starling Marte,0.347,0.38
686,2021,Yandy Diaz,0.289,0.286
1210,2017,Jason Castro,0.314,0.318
579,2016,Chase Utley,0.303,0.299
816,2018,Victor Martinez,0.286,0.26
426,2018,Chris Taylor,0.338,0.345
1141,2021,Martin Maldonado,0.269,0.221
275,2021,Shohei Ohtani,0.336,0.303
113,2019,Trey Mancini,0.325,0.326
1182,2019,Nick Senzel,0.322,0.319
929,2019,Ramon Laureano,0.317,0.342
1160,2015,Alex Gordon,0.282,0.327
547,2017,Joe Panik,0.298,0.301
877,2017,Bryce Harper,0.316,0.356
871,2019,Hunter Renfroe,0.255,0.239
274,2015,Kendrys Morales,0.304,0.319
731,2019,Jose Iglesias,0.313,0.315
491,2021,Amed Rosario,0.336,0.34
7,2021,Marcus Semien,0.281,0.276
844,2018,Justin Bour,0.291,0.27
508,2016,Jordy Mercer,0.287,0.286
694,2015,Daniel Murphy,0.294,0.278
554,2021,Luis Urias,0.296,0.28
862,2019,Mark Canha,0.287,0.308
458,2018,Odubel Herrera,0.281,0.29
343,2015,Brandon Phillips,0.324,0.315
1056,2019,Raimel Tapia,0.34,0.341
811,2017,Carlos Beltran,0.249,0.263
643,2019,Jose Altuve,0.284,0.303
311,2018,Jean Segura,0.309,0.327
442,2018,Jason Kipnis,0.28,0.258
158,2016,Nelson Cruz,0.308,0.32
345,2018,Joey Votto,0.355,0.333
704,2018,Gregory Polanco,0.28,0.287
1122,2018,Scott Schebler,0.316,0.301
708,2018,Rougned Odor,0.282,0.305
693,2021,Andrew Benintendi,0.305,0.309
522,2019,Rougned Odor,0.272,0.244
1085,2021,Gary Sanchez,0.267,0.23
1223,2019,Jose Peraza,0.282,0.268
823,2016,Alex Gordon,0.311,0.288
156,2019,Eric Hosmer,0.325,0.323
874,2021,Dominic Smith,0.318,0.298
