,Season,Name,xBABIP,BABIP
477,2018,Amed Rosario,0.31,0.31
504,2021,Enrique Hernandez,0.284,0.278
303,2015,Starling Marte,0.343,0.333
386,2016,Buster Posey,0.32,0.303
281,2019,Michael Brantley,0.325,0.32
849,2017,Danny Valencia,0.312,0.312
740,2017,Manuel Margot,0.302,0.309
405,2018,Mike Trout,0.31,0.346
1084,2017,Michael Conforto,0.322,0.328
846,2021,Wil Myers,0.286,0.333
894,2018,Jason Heyward,0.294,0.297
189,2018,Rhys Hoskins,0.263,0.272
170,2018,Shin-Soo Choo,0.337,0.33
940,2019,Gio Urshela,0.329,0.349
968,2016,Ryan Zimmerman,0.293,0.248
99,2017,DJ LeMahieu,0.357,0.351
552,2018,Tommy Pham,0.344,0.342
1147,2019,Shohei Ohtani,0.36,0.354
1052,2019,Aaron Judge,0.365,0.36
1199,2017,Mitch Haniger,0.294,0.338
1228,2015,Yonder Alonso,0.317,0.313
1153,2018,Daniel Descalso,0.289,0.3
503,2021,Jared Walsh,0.335,0.335
393,2015,Kolten Wong,0.308,0.296
502,2021,Nick Castellanos,0.338,0.34
732,2016,Travis Shaw,0.274,0.299
1002,2016,Billy Hamilton,0.297,0.329
1019,2015,Cody Asche,0.302,0.304
101,2016,Alcides Escobar,0.299,0.295
12,2016,Jose Altuve,0.335,0.347
1178,2021,Brendan Rodgers,0.323,0.328
682,2021,Lourdes Gurriel Jr.,0.311,0.305
1181,2016,Kevin Kiermaier,0.29,0.278
877,2021,Kolten Wong,0.306,0.305
325,2017,Corey Dickerson,0.304,0.338
313,2018,Jean Segura,0.305,0.327
523,2019,Rougned Odor,0.27,0.244
458,2015,Jace Peterson,0.306,0.296
693,2021,Andrew Benintendi,0.294,0.309
1203,2019,Rowdy Tellez,0.319,0.267
1018,2018,Brandon Belt,0.308,0.311
30,2019,Rhys Hoskins,0.268,0.267
1187,2017,Aaron Altherr,0.299,0.328
447,2021,Bryce Harper,0.327,0.359
279,2015,Erick Aybar,0.307,0.3
966,2016,Nori Aoki,0.304,0.309
419,2017,Tim Anderson,0.308,0.328
1214,2019,Harrison Bader,0.268,0.268
906,2015,Victor Martinez,0.287,0.253
467,2018,Justin Smoak,0.285,0.297
900,2017,Kyle Schwarber,0.268,0.244
239,2015,Jay Bruce,0.276,0.251
102,2016,Mike Trout,0.318,0.371
38,2015,Anthony Rizzo,0.29,0.289
441,2015,Marcus Semien,0.293,0.312
1105,2017,Mike Zunino,0.304,0.355
836,2015,Ryan Howard,0.342,0.272
755,2019,Wilson Ramos,0.328,0.31
562,2021,Josh Bell,0.331,0.276
1131,2019,Maikel Franco,0.273,0.236
863,2015,Brad Miller,0.306,0.307
1170,2016,Lonnie Chisenhall,0.289,0.328
95,2015,Curtis Granderson,0.316,0.305
334,2017,Alex Bregman,0.291,0.311
1190,2015,Danny Espinosa,0.285,0.299
783,2017,Marwin Gonzalez,0.298,0.343
771,2018,Manuel Margot,0.288,0.281
474,2021,Max Muncy,0.306,0.257
364,2018,Ian Desmond,0.322,0.279
591,2015,Brandon Crawford,0.305,0.294
872,2015,Marcell Ozuna,0.316,0.32
545,2018,Yonder Alonso,0.303,0.283
655,2015,Mark Trumbo,0.282,0.313
190,2019,Shin-Soo Choo,0.33,0.333
123,2021,Isiah Kiner-Falefa,0.316,0.304
360,2017,Josh Bell,0.296,0.278
4,2019,Whit Merrifield,0.334,0.35
452,2017,Mike Moustakas,0.273,0.263
881,2015,Delino DeShields,0.285,0.334
1195,2018,Mark Canha,0.299,0.282
786,2018,Jonathan Villar,0.324,0.339
546,2021,Eugenio Suarez,0.276,0.224
558,2018,Didi Gregorius,0.276,0.259
1091,2017,Logan Forsythe,0.317,0.299
79,2019,Carlos Santana,0.293,0.293
624,2018,Derek Dietrich,0.309,0.336
572,2016,Yunel Escobar,0.331,0.339
211,2016,Brandon Belt,0.313,0.346
154,2015,Eric Hosmer,0.34,0.336
982,2019,Teoscar Hernandez,0.283,0.293
689,2019,Ryan McMahon,0.331,0.323
823,2018,Matt Kemp,0.331,0.339
851,2016,Brandon Drury,0.315,0.327
111,2016,Jonathan Villar,0.331,0.373
1229,2021,Paul DeJong,0.259,0.216
908,2016,Paulo Orlando,0.331,0.38
1134,2017,Matt Holliday,0.281,0.273
395,2021,Justin Turner,0.289,0.292
594,2017,Jose Reyes,0.268,0.263
1106,2018,Yan Gomes,0.319,0.336
1108,2016,Lorenzo Cain,0.32,0.341
201,2019,J.D. Martinez,0.326,0.342
981,2016,Brandon Moss,0.268,0.261
916,2019,Ian Desmond,0.333,0.304
874,2015,Luis Valbuena,0.284,0.235
1215,2018,Lewis Brinson,0.297,0.257
415,2017,Travis Shaw,0.296,0.312
816,2016,Zack Cozart,0.278,0.274
269,2016,Adrian Beltre,0.278,0.293
625,2015,Asdrubal Cabrera,0.281,0.306
231,2017,Andrew McCutchen,0.305,0.305
371,2017,Steven Souza Jr.,0.318,0.302
1169,2021,Pedro Severino,0.309,0.314
831,2015,Wilson Ramos,0.325,0.256
744,2017,Curtis Granderson,0.262,0.228
617,2015,Salvador Perez,0.292,0.27
1063,2015,Andre Ethier,0.326,0.33
717,2021,Raimel Tapia,0.325,0.306
661,2017,Matt Joyce,0.277,0.263
365,2018,Jeimer Candelario,0.277,0.279
352,2021,Matt Chapman,0.249,0.272
920,2015,Michael Bourn,0.32,0.315
