,Season,Name,xBABIP,BABIP
90,2018,Mitch Haniger,0.316,0.297
664,2018,Willson Contreras,0.278,0.245
36,2016,Edwin Encarnacion,0.326,0.339
808,2016,Cheslor Cuthbert,0.317,0.345
76,2016,Jason Kipnis,0.321,0.324
627,2015,Angel Pagan,0.299,0.309
957,2015,David Freese,0.278,0.29
787,2017,Freddie Freeman,0.278,0.249
57,2016,Freddie Freeman,0.348,0.37
1049,2018,Buster Posey,0.278,0.297
1030,2016,Avisail Garcia,0.334,0.355
738,2017,Miguel Cabrera,0.313,0.303
106,2017,Marcell Ozuna,0.291,0.314
749,2019,Miguel Rojas,0.306,0.305
550,2021,Hunter Renfroe,0.28,0.284
853,2019,Todd Frazier,0.315,0.325
521,2015,Adam Jones,0.298,0.335
563,2016,Asdrubal Cabrera,0.307,0.347
379,2021,Brandon Lowe,0.287,0.323
1131,2019,Maikel Franco,0.305,0.304
722,2021,Mike Yastrzemski,0.282,0.254
1074,2018,Gerardo Parra,0.293,0.349
1156,2019,Robinson Cano,0.305,0.29
522,2018,DJ LeMahieu,0.286,0.286
457,2018,Odubel Herrera,0.307,0.296
252,2016,Melky Cabrera,0.335,0.345
122,2018,Eric Hosmer,0.342,0.366
959,2019,Nomar Mazara,0.305,0.271
816,2016,Zack Cozart,0.287,0.26
1066,2021,Christian Walker,0.298,0.307
163,2015,Joe Mauer,0.279,0.261
251,2021,Bryan Reynolds,0.334,0.362
364,2018,Ian Desmond,0.34,0.279
537,2021,Anthony Rizzo,0.313,0.335
644,2017,Orlando Arcia,0.305,0.317
407,2016,Adam Duvall,0.326,0.346
311,2016,Rougned Odor,0.282,0.274
675,2021,Hunter Dozier,0.291,0.268
1165,2019,Brandon Dixon,0.325,0.336
276,2018,Scooter Gennett,0.298,0.3
660,2016,Jonathan Lucroy,0.316,0.322
949,2021,Nick Ahmed,0.27,0.283
50,2015,Paul Goldschmidt,0.347,0.354
666,2017,Jorge Polanco,0.273,0.263
215,2018,Khris Davis,0.3,0.31
732,2016,Travis Shaw,0.318,0.315
557,2019,Trea Turner,0.284,0.259
547,2017,Joe Panik,0.297,0.301
261,2016,Chris Carter,0.293,0.282
164,2017,Paul Goldschmidt,0.325,0.313
1079,2017,Randal Grichuk,0.317,0.329
120,2016,Ian Desmond,0.352,0.35
1136,2018,Adam Duvall,0.334,0.358
1130,2015,Stephen Drew,0.259,0.236
119,2018,Matt Carpenter,0.321,0.304
1128,2015,Ryan Goins,0.231,0.201
6,2017,Charlie Blackmon,0.32,0.371
1051,2021,Sean Murphy,0.284,0.257
91,2018,Jose Peraza,0.309,0.336
254,2017,Nelson Cruz,0.293,0.27
288,2018,Trey Mancini,0.269,0.249
1204,2016,Jace Peterson,0.287,0.266
695,2021,David Peralta,0.322,0.303
559,2015,Ryan Braun,0.333,0.299
883,2021,Odubel Herrera,0.312,0.285
183,2015,Alcides Escobar,0.312,0.37
352,2021,Matt Chapman,0.293,0.264
531,2015,Didi Gregorius,0.323,0.329
554,2021,Luis Urias,0.296,0.28
1198,2015,Alex Rios,0.31,0.325
997,2021,Brett Gardner,0.291,0.269
300,2015,Ben Revere,0.318,0.334
341,2016,Freddy Galvis,0.299,0.28
16,2015,Manny Machado,0.291,0.297
901,2017,Cory Spangenberg,0.263,0.239
762,2018,Tucker Barnhart,0.298,0.237
160,2015,Carlos Santana,0.26,0.237
480,2018,Nelson Cruz,0.319,0.347
697,2021,J.T. Realmuto,0.337,0.366
337,2016,Jacoby Ellsbury,0.324,0.333
376,2021,Trey Mancini,0.284,0.275
1211,2015,Ruben Tejada,0.301,0.265
552,2018,Tommy Pham,0.261,0.287
820,2015,Russell Martin,0.344,0.347
436,2021,Jorge Soler,0.299,0.32
479,2019,Austin Meadows,0.313,0.331
1000,2015,Chris Carter,0.281,0.266
1225,2021,Maikel Franco,0.293,0.268
773,2018,Yasmani Grandal,0.306,0.293
1194,2017,Kolten Wong,0.289,0.282
899,2019,Edwin Encarnacion,0.271,0.244
180,2019,Eugenio Suarez,0.29,0.312
1196,2017,Gregory Polanco,0.308,0.331
81,2015,Kyle Seager,0.311,0.338
227,2015,Gregory Polanco,0.313,0.29
433,2015,Neil Walker,0.268,0.278
541,2016,Leonys Martin,0.259,0.226
1205,2015,Michael Cuddyer,0.252,0.217
250,2021,Trea Turner,0.301,0.314
1009,2019,Brian Goodwin,0.287,0.302
177,2017,Freddy Galvis,0.304,0.292
461,2021,Ryan McMahon,0.329,0.306
222,2015,Dee Strange-Gordon,0.261,0.249
941,2016,Joc Pederson,0.329,0.359
208,2018,Freddy Galvis,0.306,0.319
801,2021,Nick Solak,0.28,0.238
1029,2021,Bobby Dalbec,0.318,0.316
845,2018,Jonathan Schoop,0.318,0.327
53,2016,Jose Abreu,0.342,0.336
1109,2017,Jon Jay,0.358,0.368
604,2019,George Springer,0.332,0.309
963,2016,Steven Souza Jr.,0.324,0.348
520,2016,Yadier Molina,0.274,0.244
840,2021,Will Smith,0.276,0.261
511,2016,Kevin Pillar,0.32,0.32
533,2017,Cesar Hernandez,0.334,0.353
831,2015,Wilson Ramos,0.309,0.256
894,2018,Jason Heyward,0.295,0.297
108,2021,Paul Goldschmidt,0.264,0.231
194,2019,Juan Soto,0.275,0.227
259,2019,Kevin Pillar,0.307,0.314
903,2015,Colby Rasmus,0.333,0.324
772,2019,Tim Anderson,0.299,0.311
127,2016,Wil Myers,0.324,0.305
297,2019,Kris Bryant,0.343,0.338
263,2021,Jake Cronenworth,0.318,0.283
388,2019,Josh Bell,0.294,0.311
34,2018,Marcus Semien,0.298,0.296
996,2021,Akil Baddoo,0.31,0.335
656,2021,Pavin Smith,0.251,0.238
1218,2018,Francisco Cervelli,0.294,0.293
152,2016,Nelson Cruz,0.328,0.323
1171,2021,Alec Bohm,0.358,0.327
396,2015,Matt Duffy,0.297,0.292
115,2018,Nick Castellanos,0.286,0.28
269,2016,Adrian Beltre,0.275,0.293
