,Season,Name,xBABIP,BABIP
36,2019,Ozzie Albies,0.32,0.325
778,2015,David Peralta,0.337,0.368
389,2017,Corey Seager,0.332,0.352
554,2021,Luis Urias,0.296,0.28
542,2017,Tim Beckham,0.321,0.365
78,2021,J.P. Crawford,0.309,0.32
837,2018,Yadier Molina,0.297,0.264
541,2017,Todd Frazier,0.258,0.226
729,2017,Scott Schebler,0.282,0.248
901,2017,Kyle Schwarber,0.265,0.244
587,2017,Odubel Herrera,0.313,0.345
498,2021,Kris Bryant,0.314,0.313
1187,2017,Aaron Altherr,0.315,0.328
1037,2021,Andrelton Simmons,0.274,0.256
884,2017,Dexter Fowler,0.319,0.305
876,2016,Brian McCann,0.263,0.269
415,2018,Miguel Andujar,0.294,0.316
50,2017,Christian Yelich,0.334,0.336
820,2017,Mike Trout,0.301,0.318
211,2019,DJ LeMahieu,0.353,0.349
100,2015,Mike Trout,0.341,0.344
1217,2018,Mike Zunino,0.266,0.268
18,2015,Josh Donaldson,0.299,0.314
102,2016,Mike Trout,0.334,0.371
79,2019,Carlos Santana,0.283,0.293
683,2021,Elvis Andrus,0.327,0.283
704,2018,Gregory Polanco,0.28,0.287
974,2018,Addison Russell,0.316,0.314
325,2017,Corey Dickerson,0.311,0.338
120,2016,Ian Desmond,0.339,0.35
908,2018,Gleyber Torres,0.303,0.321
164,2018,Anthony Rizzo,0.302,0.287
814,2021,Michael Brantley,0.339,0.337
561,2017,Buster Posey,0.309,0.347
489,2016,Jay Bruce,0.297,0.266
830,2019,Eloy Jimenez,0.302,0.308
1085,2021,Gary Sanchez,0.265,0.23
581,2021,Nicky Lopez,0.33,0.347
302,2016,Adrian Gonzalez,0.326,0.328
416,2018,Starling Marte,0.313,0.312
753,2017,Gary Sanchez,0.292,0.304
366,2019,Jean Segura,0.321,0.302
28,2018,Giancarlo Stanton,0.307,0.333
847,2019,Justin Smoak,0.276,0.223
725,2018,Alcides Escobar,0.295,0.263
32,2015,Brian Dozier,0.278,0.261
923,2015,Freddie Freeman,0.336,0.321
867,2015,Howie Kendrick,0.361,0.342
266,2016,Charlie Blackmon,0.329,0.35
566,2016,Nomar Mazara,0.308,0.299
879,2015,Delino DeShields,0.302,0.334
192,2018,Rhys Hoskins,0.259,0.272
1238,2021,Ben Gamel,0.324,0.329
871,2019,Hunter Renfroe,0.256,0.239
162,2017,Melky Cabrera,0.308,0.299
787,2019,Asdrubal Cabrera,0.303,0.294
553,2017,Didi Gregorius,0.262,0.287
543,2021,Andrew McCutchen,0.284,0.242
322,2016,Maikel Franco,0.28,0.271
316,2019,Yasmani Grandal,0.313,0.279
700,2015,Anthony Gose,0.339,0.352
212,2015,Nelson Cruz,0.315,0.35
291,2016,DJ LeMahieu,0.379,0.388
513,2015,Andrelton Simmons,0.31,0.285
529,2017,J.T. Realmuto,0.293,0.318
834,2017,David Freese,0.324,0.336
320,2018,Michael Brantley,0.33,0.319
643,2019,Jose Altuve,0.284,0.303
682,2019,Corey Seager,0.301,0.303
928,2018,Max Muncy,0.303,0.299
511,2021,Nelson Cruz,0.303,0.286
251,2016,Melky Cabrera,0.301,0.314
622,2015,Asdrubal Cabrera,0.281,0.306
508,2016,Jordy Mercer,0.288,0.286
597,2018,Matt Duffy,0.343,0.353
403,2016,Victor Martinez,0.292,0.303
397,2018,Max Kepler,0.262,0.236
148,2019,Matt Chapman,0.269,0.27
510,2019,Mike Moustakas,0.282,0.25
283,2019,Michael Brantley,0.321,0.32
343,2015,Brandon Phillips,0.324,0.315
805,2015,Francisco Cervelli,0.32,0.359
675,2016,Yoenis Cespedes,0.297,0.298
849,2021,Wil Myers,0.285,0.333
15,2019,Jonathan Villar,0.323,0.341
1092,2021,Anthony Santander,0.289,0.275
399,2015,Jason Heyward,0.315,0.329
126,2019,Starlin Castro,0.289,0.293
336,2021,Jeimer Candelario,0.32,0.333
458,2018,Odubel Herrera,0.282,0.29
482,2015,Yunel Escobar,0.319,0.347
765,2019,Christian Vazquez,0.312,0.305
229,2017,Rougned Odor,0.268,0.224
488,2019,Jason Heyward,0.299,0.281
327,2019,Ketel Marte,0.32,0.342
21,2018,Freddie Freeman,0.363,0.358
176,2021,Rafael Devers,0.315,0.307
200,2016,Martin Prado,0.312,0.331
311,2018,Jean Segura,0.308,0.327
