,Season,Name,xBABIP,BABIP
567,2015,Ryan Braun,0.347,0.322
987,2019,Teoscar Hernandez,0.273,0.293
37,2019,Rafael Devers,0.315,0.339
264,2015,Chase Headley,0.313,0.317
997,2021,Brett Gardner,0.289,0.269
682,2019,Corey Seager,0.304,0.303
723,2016,Stephen Vogt,0.273,0.275
180,2019,Eugenio Suarez,0.291,0.312
1153,2015,Chase Utley,0.283,0.23
376,2017,Nomar Mazara,0.295,0.293
268,2015,Jason Kipnis,0.341,0.356
205,2018,Freddy Galvis,0.304,0.304
664,2017,Matt Joyce,0.282,0.263
670,2021,Hunter Dozier,0.297,0.276
810,2015,Brock Holt,0.322,0.35
1033,2015,Cesar Hernandez,0.338,0.342
1088,2016,Josh Reddick,0.299,0.306
676,2017,Denard Span,0.303,0.295
247,2016,Jonathan Schoop,0.286,0.305
983,2019,Jonathan Schoop,0.299,0.298
929,2019,Ramon Laureano,0.318,0.342
728,2019,Kevin Newman,0.318,0.333
86,2016,Evan Longoria,0.29,0.298
246,2016,Anthony Rendon,0.309,0.304
473,2017,Mark Reynolds,0.301,0.343
1100,2019,Robinson Chirinos,0.298,0.306
429,2015,Lorenzo Cain,0.34,0.347
223,2015,Dee Strange-Gordon,0.337,0.383
870,2021,Garrett Hampson,0.321,0.291
146,2015,Evan Longoria,0.289,0.309
15,2019,Jonathan Villar,0.325,0.341
1096,2016,Jedd Gyorko,0.281,0.244
598,2019,Yoan Moncada,0.349,0.406
114,2017,Aaron Judge,0.334,0.357
1079,2016,Hunter Pence,0.299,0.348
727,2018,J.T. Realmuto,0.315,0.312
275,2021,Shohei Ohtani,0.353,0.303
746,2021,Trent Grisham,0.306,0.292
326,2017,George Springer,0.3,0.297
487,2015,Gerardo Parra,0.326,0.325
412,2017,Domingo Santana,0.356,0.363
445,2018,Andrelton Simmons,0.28,0.3
656,2018,Joey Wendle,0.323,0.353
681,2017,Alex Gordon,0.308,0.261
1140,2018,Justin Turner,0.312,0.334
651,2019,Orlando Arcia,0.292,0.253
1156,2019,Jake Bauers,0.321,0.29
675,2016,Yoenis Cespedes,0.301,0.298
