,Season,Name,xBB%,BB%
4,2011,Mike Napoli,0.147,0.134
399,2017,Khris Davis,0.118,0.112
1165,2021,Yandy Diaz,0.114,0.128
121,2019,Anthony Rizzo,0.111,0.116
922,2013,Juan Uribe,0.076,0.07
214,2021,Brandon Crawford,0.087,0.102
985,2015,Brandon Crawford,0.071,0.07
1072,2021,Andrew Benintendi,0.072,0.067
559,2011,Carlos Santana,0.137,0.147
479,2011,Carlos Pena,0.147,0.167
1114,2018,Derek Dietrich,0.072,0.053
1207,2015,Brian Dozier,0.102,0.087
1241,2013,J.J. Hardy,0.05,0.059
489,2011,Seth Smith,0.086,0.086
491,2018,Francisco Cervelli,0.132,0.126
681,2016,Stephen Piscotty,0.072,0.079
207,2017,Justin Upton,0.112,0.117
581,2011,Brian McCann,0.109,0.108
574,2016,Yasmani Grandal,0.136,0.14
964,2021,Lourdes Gurriel Jr.,0.055,0.059
915,2018,Chris Taylor,0.102,0.091
1147,2013,Jedd Gyorko,0.071,0.063
1208,2017,Andrelton Simmons,0.073,0.073
648,2011,Jeff Francoeur,0.059,0.056
567,2018,Travis Shaw,0.125,0.133
16,2015,Joey Votto,0.183,0.206
690,2021,Tim Anderson,0.042,0.04
626,2011,Chris Iannetta,0.148,0.164
217,2014,Jayson Werth,0.119,0.132
813,2015,Colby Rasmus,0.114,0.097
173,2016,Paul Goldschmidt,0.138,0.156
158,2021,Tyler O'Neill,0.081,0.071
1263,2013,A.J. Pollock,0.071,0.068
262,2013,Jose Bautista,0.123,0.131
388,2016,Jonathan Lucroy,0.077,0.086
746,2016,Danny Valencia,0.083,0.079
529,2013,Shane Victorino,0.063,0.047
729,2019,Cavan Biggio,0.154,0.165
824,2017,Josh Bell,0.12,0.106
1260,2018,Willson Contreras,0.089,0.097
380,2013,Yadier Molina,0.058,0.055
36,2011,Matt Kemp,0.102,0.107
431,2013,Nelson Cruz,0.082,0.077
861,2015,Dee Strange-Gordon,0.04,0.038
85,2016,Kris Bryant,0.103,0.107
1215,2015,Jhonny Peralta,0.093,0.078
1084,2017,Manny Machado,0.086,0.072
1277,2019,Adam Frazier,0.076,0.066
132,2018,Ronald Acuna Jr.,0.119,0.092
1008,2021,Harrison Bader,0.066,0.067
866,2014,Matt Adams,0.049,0.046
635,2018,Andrew McCutchen,0.129,0.139
791,2018,Randal Grichuk,0.071,0.058
1026,2012,Justin Morneau,0.063,0.086
770,2011,Carlos Lee,0.081,0.09
200,2015,David Ortiz,0.119,0.125
308,2011,Shane Victorino,0.096,0.094
895,2011,Peter Bourjos,0.077,0.058
316,2016,Hanley Ramirez,0.089,0.097
1034,2019,Andrew Benintendi,0.1,0.096
84,2017,Josh Donaldson,0.134,0.153
23,2021,Vladimir Guerrero Jr.,0.138,0.123
94,2017,Anthony Rendon,0.128,0.139
982,2012,Will Venable,0.086,0.087
675,2016,Yangervis Solarte,0.067,0.068
451,2016,Mark Trumbo,0.074,0.076
1123,2018,Buster Posey,0.094,0.1
613,2016,Derek Dietrich,0.088,0.078
625,2013,Wilin Rosario,0.044,0.032
1005,2013,Nate Schierholtz,0.078,0.058
307,2019,Matt Olson,0.113,0.093
192,2021,Austin Riley,0.09,0.079
1079,2019,Ian Desmond,0.083,0.071
1098,2019,Nomar Mazara,0.065,0.06
587,2012,Alfonso Soriano,0.077,0.072
33,2015,Miguel Cabrera,0.131,0.151
1039,2018,Kendrys Morales,0.107,0.106
871,2019,Robinson Chirinos,0.108,0.117
377,2015,Joe Panik,0.091,0.088
1042,2016,Justin Upton,0.106,0.08
865,2017,Gerardo Parra,0.051,0.047
92,2011,Matt Holliday,0.109,0.116
464,2013,Buster Posey,0.11,0.101
386,2014,Danny Santana,0.033,0.044
175,2011,Giancarlo Stanton,0.115,0.116
1101,2015,Brian McCann,0.093,0.097
929,2013,Ian Kinsler,0.086,0.083
608,2018,Yasiel Puig,0.087,0.081
204,2019,Josh Bell,0.121,0.121
732,2016,Anthony Rendon,0.098,0.1
655,2018,Edwin Encarnacion,0.111,0.109
1126,2014,Yoenis Cespedes,0.047,0.054
724,2013,Jacoby Ellsbury,0.083,0.074
1218,2013,Carl Crawford,0.075,0.06
333,2012,David Freese,0.086,0.101
