,Name,Age,Team,G,PA,AB,HR,BB%,K%,ISO,BABIP,HR%,HBP,SF,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,LD%,GB%,FB%,Barrel%,HardHit%,HR/FB,Pull%,Cent%,Oppo%,Spd,SweetSpot%,M-Swing%,Meat%,Edge%,LDFB_EV
0,Aaron Judge,30,NYY,127,560,470,51,0.139,0.254,0.368,0.313,0.910714286,5,4,0.276,0.525,0.664,0.859,0.391,0.589,0.116,0.293,0.83627204,0.172,0.386,0.443,0.254,0.606,0.347,0.455,0.334,0.211,4.4,0.373,0.763,0.067,0.424,0.5005
1,Paul Goldschmidt,34,STL,124,543,467,33,0.123,0.212,0.285,0.379,0.607734807,4,3,0.278,0.677,0.624,0.841,0.409,0.602,0.094,0.287,0.93175853,0.192,0.389,0.42,0.123,0.465,0.221,0.369,0.369,0.262,3.4,0.324,0.645,0.069,0.426,0.479
2,Yordan Alvarez,25,HOU,109,452,377,31,0.142,0.195,0.302,0.303,0.685840708,5,6,0.267,0.639,0.673,0.89,0.385,0.544,0.088,0.254,0.960912052,0.217,0.4,0.383,0.197,0.61,0.274,0.39,0.403,0.207,3.1,0.397,0.771,0.066,0.409,0.491
3,Bryce Harper,29,PHI,70,301,263,15,0.103,0.183,0.266,0.355,0.49833887,3,4,0.396,0.628,0.839,0.817,0.373,0.648,0.15,0.236,0.84,0.295,0.381,0.324,0.142,0.519,0.221,0.41,0.344,0.245,5.4,0.41,0.887,0.064,0.42,0.4825
4,Mike Trout,30,LAA,91,376,329,28,0.109,0.29,0.322,0.318,0.744680851,6,0,0.269,0.608,0.673,0.776,0.409,0.548,0.124,0.301,0.817843866,0.182,0.259,0.559,0.195,0.514,0.228,0.445,0.291,0.264,3.8,0.368,0.706,0.069,0.45,0.475
5,Nolan Arenado,31,STL,121,514,462,28,0.082,0.125,0.264,0.305,0.544747082,6,4,0.363,0.718,0.667,0.904,0.386,0.611,0.088,0.249,1.12605042,0.214,0.291,0.495,0.09,0.405,0.141,0.483,0.316,0.201,2.4,0.356,0.706,0.065,0.411,0.4645
6,Austin Riley,25,ATL,130,567,508,33,0.076,0.238,0.274,0.332,0.582010582,13,3,0.356,0.567,0.775,0.863,0.407,0.63,0.135,0.253,0.803418803,0.245,0.351,0.404,0.168,0.527,0.217,0.415,0.34,0.245,3.4,0.396,0.842,0.071,0.413,0.488
7,Mookie Betts,29,LAD,112,514,460,32,0.088,0.165,0.28,0.28,0.622568093,6,3,0.257,0.687,0.685,0.939,0.417,0.626,0.064,0.241,1.073863636,0.18,0.352,0.468,0.108,0.452,0.181,0.471,0.317,0.212,6.5,0.352,0.757,0.073,0.436,0.473
8,Freddie Freeman,32,LAD,130,581,510,16,0.103,0.146,0.186,0.359,0.275387263,5,6,0.326,0.768,0.761,0.875,0.401,0.594,0.084,0.204,0.848425197,0.283,0.383,0.334,0.095,0.471,0.111,0.343,0.343,0.313,4.9,0.443,0.886,0.066,0.435,0.4735
9,Juan Soto,23,- - -,124,541,424,24,0.209,0.139,0.226,0.249,0.443622921,3,0,0.205,0.719,0.582,0.883,0.382,0.523,0.062,0.259,1.140983607,0.152,0.471,0.376,0.126,0.474,0.183,0.37,0.378,0.252,4,0.284,0.717,0.064,0.412,0.485
10,Manny Machado,29,SDP,121,522,468,24,0.098,0.193,0.231,0.345,0.459770115,1,2,0.331,0.665,0.764,0.864,0.385,0.636,0.108,0.239,0.973614776,0.206,0.388,0.407,0.1,0.496,0.16,0.431,0.328,0.241,4.3,0.358,0.85,0.069,0.435,0.477
11,Jose Altuve,32,HOU,113,487,426,22,0.107,0.15,0.228,0.301,0.45174538,8,1,0.311,0.771,0.662,0.903,0.371,0.61,0.069,0.237,0.985795455,0.196,0.401,0.403,0.088,0.314,0.157,0.534,0.316,0.15,4.6,0.362,0.669,0.084,0.385,0.457
12,Jose Ramirez,29,CLE,125,539,478,26,0.095,0.104,0.262,0.274,0.482374768,4,6,0.319,0.811,0.677,0.918,0.387,0.523,0.058,0.215,0.957494407,0.164,0.32,0.516,0.065,0.376,0.118,0.463,0.339,0.199,5.1,0.339,0.701,0.061,0.431,0.4575
13,Shohei Ohtani,27,LAA,127,540,469,30,0.119,0.243,0.26,0.309,0.555555556,4,3,0.309,0.613,0.731,0.821,0.405,0.596,0.124,0.266,0.832512315,0.198,0.414,0.388,0.176,0.478,0.229,0.375,0.358,0.267,5.4,0.34,0.864,0.067,0.446,0.4865
14,Michael Harris II,21,ATL,85,323,302,14,0.05,0.254,0.225,0.369,0.433436533,5,0,0.434,0.59,0.689,0.844,0.404,0.579,0.149,0.301,0.893877551,0.183,0.557,0.26,0.114,0.445,0.246,0.373,0.386,0.241,7.7,0.355,0.81,0.07,0.432,0.4805
15,William Contreras,24,ATL,74,290,261,17,0.1,0.269,0.245,0.325,0.586206897,0,0,0.307,0.579,0.671,0.779,0.389,0.6,0.136,0.306,0.989189189,0.142,0.541,0.317,0.142,0.47,0.293,0.421,0.372,0.208,3.9,0.306,0.838,0.058,0.41,0.486
16,Andres Gimenez,23,CLE,116,432,384,15,0.058,0.201,0.185,0.354,0.347222222,16,3,0.406,0.645,0.7,0.837,0.406,0.63,0.132,0.281,0.878787879,0.221,0.434,0.345,0.072,0.385,0.15,0.401,0.375,0.224,5.4,0.329,0.693,0.072,0.414,0.4615
17,Rafael Devers,25,BOS,114,500,458,25,0.066,0.186,0.245,0.313,0.5,7,2,0.419,0.661,0.779,0.79,0.389,0.628,0.15,0.256,1.019498607,0.194,0.421,0.385,0.12,0.515,0.177,0.354,0.398,0.248,3.1,0.33,0.89,0.077,0.422,0.484
18,Nathaniel Lowe,26,TEX,125,514,475,22,0.072,0.228,0.196,0.363,0.428015564,2,0,0.349,0.655,0.753,0.869,0.434,0.628,0.111,0.238,0.758474576,0.226,0.466,0.307,0.098,0.444,0.2,0.344,0.383,0.274,3.1,0.344,0.839,0.071,0.449,0.465
19,Alex Bregman,28,HOU,126,535,449,20,0.135,0.121,0.209,0.27,0.373831776,7,7,0.212,0.742,0.687,0.913,0.392,0.568,0.057,0.23,1.265372168,0.184,0.343,0.473,0.079,0.386,0.108,0.483,0.322,0.194,2.2,0.355,0.757,0.068,0.425,0.466
20,Jose Abreu,35,CHW,129,559,493,14,0.1,0.165,0.146,0.354,0.250447227,7,3,0.328,0.664,0.655,0.882,0.413,0.571,0.097,0.267,0.935185185,0.2,0.475,0.324,0.092,0.505,0.107,0.369,0.369,0.262,1.4,0.344,0.72,0.083,0.427,0.472
21,Vladimir Guerrero Jr.,23,TOR,128,558,502,27,0.086,0.159,0.219,0.298,0.483870968,5,3,0.329,0.656,0.731,0.878,0.391,0.581,0.104,0.251,1.089005236,0.183,0.514,0.303,0.118,0.519,0.214,0.382,0.38,0.238,2.5,0.293,0.799,0.064,0.418,0.4925
22,Albert Pujols,42,STL,81,260,227,15,0.077,0.158,0.247,0.261,0.576923077,8,5,0.368,0.684,0.676,0.928,0.397,0.588,0.089,0.25,0.845132743,0.183,0.387,0.429,0.105,0.482,0.183,0.513,0.304,0.183,1.4,0.335,0.736,0.069,0.41,0.482
23,Jazz Chisholm Jr.,24,MIA,60,241,213,14,0.087,0.274,0.282,0.294,0.580912863,3,3,0.307,0.587,0.677,0.778,0.427,0.593,0.137,0.301,0.890909091,0.218,0.374,0.408,0.166,0.457,0.233,0.5,0.313,0.187,7.9,0.373,0.759,0.061,0.443,0.4775
24,Xander Bogaerts,29,BOS,125,526,465,12,0.089,0.192,0.151,0.369,0.228136882,8,6,0.316,0.653,0.662,0.846,0.404,0.608,0.106,0.293,1.051136364,0.224,0.457,0.319,0.062,0.392,0.102,0.397,0.365,0.238,3.9,0.303,0.706,0.077,0.433,0.4615
25,Keston Hiura,25,MIL,61,203,177,14,0.094,0.419,0.254,0.372,0.689655172,7,0,0.33,0.489,0.719,0.71,0.383,0.675,0.184,0.345,0.564417178,0.272,0.359,0.37,0.185,0.478,0.412,0.467,0.315,0.217,4.2,0.435,0.771,0.055,0.459,0.484
26,Yandy Diaz,30,TBR,116,483,409,8,0.141,0.101,0.134,0.312,0.16563147,5,1,0.231,0.741,0.668,0.938,0.427,0.518,0.052,0.225,1.128125,0.194,0.496,0.31,0.047,0.471,0.071,0.305,0.371,0.324,2,0.302,0.739,0.082,0.422,0.476
27,Joc Pederson,30,SFG,107,348,308,20,0.086,0.216,0.25,0.282,0.574712644,7,3,0.314,0.641,0.689,0.892,0.399,0.566,0.097,0.256,0.893129771,0.184,0.372,0.444,0.153,0.538,0.192,0.394,0.36,0.246,2.6,0.326,0.794,0.075,0.414,0.4825
28,Eloy Jimenez,25,CHW,56,216,192,8,0.093,0.208,0.156,0.355,0.37037037,2,2,0.362,0.598,0.743,0.785,0.378,0.653,0.151,0.273,1.120300752,0.168,0.53,0.302,0.141,0.523,0.178,0.369,0.403,0.228,0.8,0.289,0.807,0.072,0.398,0.4805
