,Season,Name,Team,G,PA,2B,2B%,FB%,GB%,LD%,SweetSpot%,Barrel%,HardHit%,LDFB_EV,Pull%,Cent%,Oppo%,Spd
0,2017,J.D. Martinez,- - -,119,489,26,0.531697342,0.432,0.411,0.185,0.34,0.185,0.49,0.4855,0.383,0.328,0.289,4.7
1,2017,Giancarlo Stanton,MIA,159,692,32,0.462427746,0.394,0.388,0.16,0.343,0.169,0.455,0.469,0.446,0.309,0.286,3.8
2,2019,Nelson Cruz,MIN,120,521,26,0.499040307,0.402,0.482,0.202,0.321,0.187,0.514,0.464,0.417,0.351,0.287,3.3
3,2019,Miguel Sano,MIN,105,439,19,0.432801822,0.419,0.49,0.212,0.29,0.203,0.572,0.4515,0.554,0.399,0.248,4
4,2017,Joey Gallo,TEX,145,532,18,0.338345865,0.542,0.38,0.179,0.42,0.209,0.53,0.4955,0.496,0.294,0.21,5.5
5,2021,Fernando Tatis Jr.,SDP,130,546,31,0.567765568,0.399,0.414,0.198,0.317,0.213,0.556,0.462,0.48,0.351,0.263,4.3
6,2017,Aaron Judge,NYY,155,678,24,0.353982301,0.432,0.407,0.219,0.381,0.249,0.55,0.501,0.414,0.308,0.278,4.8
7,2019,Pete Alonso,NYM,161,693,30,0.432900433,0.415,0.31,0.18,0.352,0.146,0.422,0.478,0.458,0.336,0.298,4.8
8,2019,Gary Sanchez,NYY,106,446,12,0.269058296,0.476,0.392,0.203,0.322,0.184,0.412,0.4505,0.498,0.342,0.242,3.6
9,2019,Christian Yelich,MIL,130,580,29,0.5,0.359,0.407,0.209,0.4,0.158,0.487,0.484,0.393,0.374,0.233,6.2
10,2019,Mike Trout,LAA,134,600,27,0.45,0.492,0.455,0.266,0.28,0.175,0.438,0.46,0.424,0.331,0.159,5
11,2019,Eugenio Suarez,CIN,159,662,22,0.332326284,0.423,0.47,0.217,0.343,0.128,0.401,0.432,0.52,0.383,0.302,5.9
12,2018,Khris Davis,OAK,151,654,28,0.428134557,0.488,0.416,0.159,0.393,0.167,0.475,0.474,0.358,0.338,0.208,3.1
13,2018,Max Muncy,LAD,137,481,17,0.353430353,0.449,0.459,0.208,0.329,0.162,0.459,0.459,0.447,0.328,0.284,2.3
14,2021,Salvador Perez,KCR,161,665,24,0.360902256,0.401,0.38,0.227,0.405,0.163,0.559,0.466,0.469,0.345,0.202,2.6
15,2021,Shohei Ohtani,LAA,158,639,26,0.406885759,0.406,0.489,0.214,0.303,0.223,0.534,0.4355,0.48,0.324,0.305,4.8
16,2019,Cody Bellinger,LAD,156,660,34,0.515151515,0.424,0.437,0.262,0.297,0.126,0.456,0.475,0.479,0.347,0.263,4.5
17,2017,Cody Bellinger,LAD,132,548,26,0.474452555,0.471,0.404,0.176,0.319,0.116,0.457,0.483,0.424,0.347,0.228,5.5
18,2019,Jorge Soler,KCR,162,679,33,0.486008837,0.412,0.448,0.195,0.311,0.163,0.495,0.466,0.467,0.299,0.221,2.7
19,2016,Mark Trumbo,BAL,159,667,27,0.404797601,0.431,0.4,0.174,0.338,0.147,0.447,0.467,0.42,0.324,0.165,4
20,2015,Chris Davis,BAL,160,670,31,0.462686567,0.435,0.459,0.247,0.3,0.168,0.462,0.465,0.559,0.354,0.261,3.5
21,2019,George Springer,HOU,122,556,20,0.35971223,0.357,0.364,0.197,0.447,0.122,0.432,0.415,0.403,0.334,0.318,8.3
22,2019,Joc Pederson,LAD,149,514,16,0.311284047,0.409,0.39,0.174,0.405,0.1,0.428,0.466,0.49,0.276,0.222,3.8
23,2019,Edwin Encarnacion,- - -,109,486,18,0.37037037,0.506,0.349,0.186,0.409,0.119,0.421,0.458,0.519,0.323,0.254,5
24,2018,Joey Gallo,TEX,148,577,24,0.415944541,0.498,0.537,0.206,0.311,0.222,0.491,0.4495,0.451,0.377,0.265,6
25,2016,Khris Davis,OAK,150,610,24,0.393442623,0.402,0.315,0.17,0.392,0.165,0.482,0.456,0.386,0.363,0.246,6
26,2021,Vladimir Guerrero Jr.,TOR,161,698,29,0.415472779,0.365,0.346,0.188,0.379,0.151,0.552,0.457,0.399,0.33,0.314,3.5
27,2016,Jedd Gyorko,STL,128,438,9,0.205479452,0.403,0.384,0.19,0.32,0.095,0.357,0.471,0.452,0.339,0.232,2.4
28,2021,Adam Duvall,- - -,146,555,17,0.306306306,0.529,0.45,0.173,0.3,0.161,0.439,0.4745,0.474,0.354,0.173,4.2
29,2021,Kyle Schwarber,- - -,113,471,19,0.403397028,0.409,0.433,0.208,0.384,0.175,0.522,0.4765,0.453,0.359,0.269,1.4
30,2021,Joey Votto,CIN,129,533,23,0.4315197,0.418,0.465,0.265,0.33,0.172,0.532,0.459,0.434,0.362,0.327,5.6
31,2019,Franmil Reyes,- - -,150,548,19,0.346715328,0.345,0.29,0.214,0.31,0.145,0.51,0.4645,0.383,0.336,0.339,2.7
32,2015,Nelson Cruz,SEA,152,655,22,0.335877863,0.34,0.333,0.204,0.342,0.131,0.475,0.4585,0.386,0.437,0.26,5.6
33,2015,Mark Teixeira,NYY,111,462,22,0.476190476,0.423,0.292,0.189,0.416,0.087,0.413,0.4635,0.554,0.351,0.216,4.6
34,2019,Hunter Renfroe,SDP,140,494,19,0.384615385,0.479,0.392,0.158,0.349,0.113,0.394,0.458,0.558,0.347,0.271,7.2
35,2017,Josh Donaldson,TOR,113,496,21,0.423387097,0.423,0.382,0.167,0.359,0.127,0.441,0.4535,0.471,0.325,0.176,3.6
36,2018,J.D. Martinez,BOS,150,649,37,0.570107858,0.34,0.379,0.226,0.368,0.151,0.523,0.4835,0.377,0.309,0.314,4
37,2017,Khris Davis,OAK,153,652,28,0.429447853,0.423,0.444,0.193,0.33,0.169,0.521,0.4615,0.344,0.356,0.251,6.3
38,2019,Matt Olson,OAK,127,547,26,0.475319927,0.446,0.346,0.24,0.357,0.142,0.494,0.448,0.517,0.389,0.323,4
39,2015,Carlos Gonzalez,COL,153,608,25,0.411184211,0.365,0.382,0.165,0.324,0.096,0.386,0.472,0.414,0.311,0.194,5.3
40,2017,Mike Trout,LAA,114,507,25,0.493096647,0.449,0.328,0.184,0.386,0.12,0.405,0.4735,0.402,0.346,0.26,3.9
41,2016,Trevor Story,COL,97,415,21,0.506024096,0.471,0.305,0.236,0.363,0.135,0.445,0.464,0.4,0.351,0.289,2.6
42,2016,Nelson Cruz,SEA,155,667,27,0.404797601,0.375,0.49,0.181,0.353,0.158,0.526,0.4425,0.407,0.331,0.289,4.5
43,2021,Franmil Reyes,CLE,115,466,18,0.386266094,0.36,0.334,0.176,0.343,0.169,0.485,0.471,0.404,0.373,0.195,7.5
44,2015,Bryce Harper,WSN,153,654,38,0.581039755,0.393,0.448,0.222,0.337,0.122,0.477,0.4685,0.454,0.329,0.225,5.7
45,2018,Mike Trout,LAA,140,608,24,0.394736842,0.453,0.412,0.234,0.347,0.153,0.46,0.447,0.402,0.329,0.287,4.8
46,2016,Evan Gattis,HOU,128,499,19,0.380761523,0.41,0.434,0.179,0.349,0.102,0.354,0.451,0.466,0.386,0.311,5.3
47,2016,Chris Carter,MIL,160,644,27,0.419254658,0.487,0.373,0.195,0.349,0.164,0.462,0.485,0.377,0.394,0.229,2.9
48,2017,Mike Moustakas,KCR,148,598,24,0.401337793,0.457,0.352,0.195,0.327,0.081,0.336,0.4615,0.437,0.341,0.217,4.3
49,2021,Brandon Lowe,TBR,149,615,31,0.504065041,0.44,0.398,0.217,0.351,0.14,0.431,0.4595,0.431,0.379,0.269,5.1
50,2021,Tyler O'Neill,STL,138,537,26,0.484171322,0.409,0.554,0.23,0.295,0.179,0.522,0.4715,0.381,0.347,0.298,5.5
51,2017,Logan Morrison,TBR,149,601,22,0.366056572,0.462,0.576,0.205,0.277,0.126,0.429,0.463,0.464,0.404,0.236,3.6
52,2015,Nolan Arenado,COL,157,665,43,0.646616541,0.439,0.43,0.217,0.372,0.079,0.395,0.481,0.456,0.357,0.226,2.3
53,2019,Gleyber Torres,NYY,144,604,26,0.430463576,0.419,0.422,0.209,0.427,0.094,0.361,0.473,0.444,0.37,0.259,4.3
54,2017,Gary Sanchez,NYY,122,525,20,0.380952381,0.366,0.455,0.211,0.327,0.115,0.431,0.4745,0.515,0.405,0.277,4.8
55,2018,Nelson Cruz,SEA,144,591,18,0.304568528,0.385,0.416,0.175,0.392,0.135,0.513,0.4735,0.408,0.348,0.201,5.6
56,2015,Edwin Encarnacion,TOR,146,624,31,0.496794872,0.445,0.531,0.193,0.31,0.086,0.439,0.4725,0.502,0.3,0.198,2.4
57,2017,Ryan Zimmerman,WSN,144,576,33,0.572916667,0.337,0.303,0.199,0.447,0.112,0.481,0.4655,0.355,0.309,0.217,4.4
58,2019,Kyle Schwarber,CHC,155,610,29,0.475409836,0.422,0.463,0.198,0.352,0.14,0.509,0.4895,0.401,0.36,0.254,2.7
59,2021,Marcus Semien,TOR,162,724,39,0.538674033,0.481,0.405,0.208,0.369,0.098,0.413,0.4695,0.513,0.299,0.189,5.3
60,2019,Nolan Arenado,COL,155,662,31,0.468277946,0.447,0.462,0.193,0.294,0.068,0.376,0.475,0.425,0.349,0.235,2
61,2018,Jesus Aguilar,MIL,149,566,25,0.441696113,0.409,0.383,0.237,0.4,0.109,0.426,0.453,0.435,0.423,0.278,5.5
62,2017,Kyle Schwarber,CHC,129,486,16,0.329218107,0.465,0.446,0.152,0.316,0.143,0.415,0.473,0.445,0.255,0.226,2.1
63,2021,Joey Gallo,- - -,153,616,13,0.211038961,0.507,0.407,0.167,0.342,0.185,0.455,0.4565,0.448,0.328,0.258,3.6
64,2021,Aaron Judge,NYY,148,633,24,0.379146919,0.355,0.364,0.232,0.312,0.176,0.579,0.4925,0.363,0.37,0.267,2.9
65,2019,Eloy Jimenez,CHW,122,504,18,0.357142857,0.339,0.434,0.182,0.336,0.122,0.479,0.461,0.432,0.394,0.266,5
66,2017,Michael Conforto,NYM,109,440,20,0.454545455,0.378,0.46,0.244,0.315,0.122,0.424,0.4455,0.324,0.31,0.296,7.1
67,2015,Khris Davis,MIL,121,440,16,0.363636364,0.403,0.315,0.172,0.355,0.139,0.432,0.4755,0.414,0.279,0.183,2.1
68,2017,Lucas Duda,- - -,127,491,28,0.570264766,0.486,0.491,0.21,0.335,0.114,0.441,0.4615,0.462,0.375,0.223,5.9
69,2021,Rhys Hoskins,PHI,107,443,29,0.65462754,0.509,0.433,0.198,0.32,0.17,0.463,0.463,0.442,0.326,0.213,9
70,2021,Max Muncy,LAD,144,592,26,0.439189189,0.413,0.421,0.206,0.303,0.161,0.463,0.452,0.439,0.413,0.238,7
71,2016,Brian Dozier,MIN,155,691,35,0.506512301,0.477,0.386,0.159,0.371,0.081,0.362,0.472,0.564,0.333,0.218,4.4
