Name,Team,Age,PA,AVG,BB%,ISO,HR,HR/800,SB,SB/800
Whit Merrifield,KCR,33,975,0.263,0.055,0.111,13,13,47,47
Marcus Semien,- - -,31,971,0.253,0.087,0.236,51,51,25,25
Freddie Freeman,- - -,32,955,0.297,0.118,0.19,35,35,13,13
Bo Bichette,TOR,24,944,0.29,0.06,0.187,39,39,29,29
Tommy Edman,STL,27,942,0.265,0.067,0.126,16,16,45,45
Ozzie Albies,ATL,25,938,0.256,0.064,0.209,37,37,23,23
Vladimir Guerrero Jr.,TOR,23,936,0.295,0.12,0.273,61,61,4,4
Matt Olson,- - -,28,935,0.266,0.133,0.25,46,46,4,4
Paul Goldschmidt,STL,34,930,0.304,0.106,0.23,43,43,15,15
Cedric Mullins II,BAL,27,930,0.276,0.081,0.205,36,36,41,41
Juan Soto,WSN,23,920,0.287,0.209,0.221,41,41,14,14
J.P. Crawford,SEA,27,920,0.278,0.092,0.114,14,14,6,6
Rafael Devers,BOS,25,919,0.295,0.0823,0.257,50,50,6,6
Austin Riley,ATL,25,917,0.291,0.079,0.236,48,48,2,2
Ty France,SEA,27,912,0.302,0.069,0.157,27,27,0,0
Jake Cronenworth,SDP,28,899,0.255,0.089,0.181,27,27,4,4
Trea Turner,- - -,28,897,0.32,0.068,0.199,35,35,45,45
Jonathan Schoop,DET,30,896,0.257,0.051,0.15,27,27,3,3
Pete Alonso,NYM,27,893,0.267,0.093,0.257,53,53,5,5
Shohei Ohtani,LAA,27,892,0.254,0.133,0.297,58,58,33,33
Jose Abreu,CHW,35,892,0.259,0.1,0.203,37,37,1,1
DJ LeMahieu,NYY,33,892,0.266,0.105,0.106,15,15,5,5
Dansby Swanson,ATL,28,890,0.258,0.082,0.19,34,34,18,18
Nolan Arenado,STL,31,888,0.261,0.082,0.231,44,44,2,2
Adam Frazier,- - -,29,888,0.286,0.079,0.101,7,7,11,11
Jorge Polanco,MIN,28,887,0.262,0.085,0.212,40,40,14,14
Manny Machado,SDP,29,882,0.293,0.101,0.215,38,38,19,19
Aaron Judge,NYY,30,880,0.293,0.118,0.284,61,61,9,9
Isiah Kiner-Falefa,- - -,27,877,0.268,0.048,0.077,8,8,29,29
Jose Ramirez,CLE,29,872,0.274,0.12,0.293,52,52,36,36
Bryan Reynolds,PIT,27,872,0.284,0.112,0.205,32,32,8,8
Myles Straw,- - -,26,872,0.257,0.111,0.07,4,4,41,41
Jose Altuve,HOU,32,866,0.277,0.096,0.218,42,42,8,8
Salvador Perez,KCR,32,860,0.258,0.04,0.258,57,57,1,1
Adolis Garcia,TEX,29,853,0.239,0.049,0.213,42,42,24,24
Trey Mancini,BAL,30,852,0.267,0.086,0.166,27,27,0,0
J.D. Martinez,BOS,34,851,0.302,0.089,0.224,34,34,0,0
Nathaniel Lowe,TEX,26,847,0.267,0.11,0.151,25,25,9,9
Xander Bogaerts,BOS,29,843,0.301,0.098,0.187,29,29,7,7
Matt Chapman,- - -,29,842,0.212,0.121,0.183,34,34,3,3
Robbie Grossman,DET,32,841,0.231,0.141,0.148,23,23,22,22
Eduardo Escobar,- - -,32,838,0.252,0.084,0.204,33,33,1,1
Randy Arozarena,TBR,27,837,0.271,0.082,0.182,27,27,30,30
Justin Turner,LAD,37,835,0.261,0.097,0.179,31,31,3,3
Alex Verdugo,BOS,26,829,0.278,0.077,0.13,16,16,6,6
Bryce Harper,PHI,29,828,0.312,0.143,0.31,50,50,19,19
Nick Castellanos,- - -,30,827,0.292,0.071,0.234,41,41,5,5
Ryan McMahon,COL,27,827,0.249,0.103,0.178,27,27,6,6
Jorge Soler,- - -,29,827,0.223,0.111,0.217,39,39,0,0
Carlos Santana,KCR,36,827,0.208,0.137,0.125,22,22,2,2
Trevor Story,- - -,29,824,0.244,0.093,0.217,33,33,28,28
Enrique Hernandez,BOS,30,823,0.238,0.096,0.178,24,24,1,1
Jeimer Candelario,DET,28,821,0.249,0.093,0.164,21,21,0,0
Anthony Rizzo,- - -,31,820,0.238,0.094,0.211,36,36,10,10
Yordan Alvarez,HOU,25,818,0.285,0.095,0.271,50,50,1,1
Josh Bell,WSN,29,816,0.275,0.108,0.191,33,33,0,0
Eugenio Suarez,- - -,30,816,0.208,0.102,0.228,42,42,0,0
Mark Canha,- - -,33,815,0.248,0.112,0.141,21,21,12,12
Yuli Gurriel,HOU,38,812,0.292,0.087,0.141,18,18,4,4
Charlie Blackmon,COL,35,812,0.267,0.086,0.154,22,22,4,4
Nelson Cruz,- - -,40,811,0.264,0.092,0.202,38,38,4,4
Jared Walsh,LAA,28,810,0.269,0.075,0.22,39,39,3,3
Mookie Betts,LAD,29,808,0.271,0.116,0.237,39,39,16,16
Carlos Correa,- - -,27,808,0.283,0.111,0.197,31,31,0,0
Amed Rosario,CLE,26,794,0.273,0.052,0.109,11,11,18,18
C.J. Cron,COL,32,793,0.282,0.095,0.248,42,42,1,1
Chris Taylor,LAD,31,793,0.254,0.107,0.186,26,26,16,16
Francisco Lindor,NYM,28,787,0.237,0.107,0.179,29,29,18,18
Ryan Mountcastle,BAL,25,784,0.253,0.066,0.216,41,42,6,6
Joey Gallo,- - -,27,783,0.197,0.167,0.24,46,47,6,6
Kyle Tucker,HOU,25,782,0.286,0.106,0.252,41,42,25,26
Dylan Carlson,STL,23,780,0.262,0.083,0.159,20,21,3,3
Tommy Pham,- - -,34,775,0.233,0.138,0.154,22,23,18,19
