,Season,Name,Team,G,PA,H,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,Pull%,Cent%,Oppo%,Spd,LDFB_EV
0,2019,Marcus Semien,OAK,162,747,187,0.294,0.2,0.411,0.389,0.088,0.34,0.074,0.376,0.441,0.315,0.245,5.1,0.4665
1,2018,Francisco Lindor,CLE,158,745,183,0.279,0.216,0.388,0.396,0.105,0.343,0.091,0.405,0.404,0.346,0.25,5.4,0.4715
2,2016,George Springer,HOU,162,744,168,0.317,0.203,0.482,0.315,0.061,0.321,0.101,0.379,0.39,0.383,0.227,4.7,0.472
3,2018,Trea Turner,WSN,162,740,180,0.314,0.179,0.49,0.331,0.128,0.288,0.056,0.386,0.431,0.354,0.215,6.8,0.4625
4,2019,Whit Merrifield,KCR,162,735,206,0.35,0.285,0.38,0.335,0.071,0.419,0.034,0.288,0.366,0.355,0.28,6.3,0.453
5,2016,Mookie Betts,BOS,158,730,214,0.322,0.193,0.414,0.394,0.123,0.317,0.047,0.397,0.397,0.351,0.252,6.4,0.463
6,2017,Charlie Blackmon,COL,159,725,213,0.371,0.223,0.407,0.37,0.069,0.381,0.076,0.361,0.435,0.317,0.249,6.4,0.4585
7,2021,Marcus Semien,TOR,162,724,173,0.276,0.208,0.31,0.481,0.094,0.352,0.098,0.413,0.513,0.299,0.189,5.3,0.4695
8,2017,Francisco Lindor,CLE,159,723,178,0.275,0.183,0.392,0.424,0.068,0.322,0.067,0.355,0.405,0.345,0.251,5.1,0.464
9,2021,Whit Merrifield,KCR,162,720,184,0.309,0.243,0.407,0.35,0.06,0.398,0.035,0.286,0.356,0.323,0.321,6.6,0.457
10,2016,Xander Bogaerts,BOS,157,719,192,0.335,0.196,0.455,0.349,0.178,0.28,0.051,0.335,0.445,0.312,0.242,4.5,0.463
11,2017,Ender Inciarte,ATL,158,718,201,0.339,0.239,0.47,0.291,0.081,0.343,0.005,0.13,0.303,0.385,0.312,5.4,0.4375
12,2016,Jose Altuve,HOU,161,717,216,0.347,0.262,0.416,0.322,0.049,0.393,0.062,0.362,0.453,0.357,0.19,5.8,0.461
13,2016,Robinson Cano,SEA,161,715,195,0.299,0.18,0.459,0.361,0.089,0.329,0.066,0.43,0.389,0.352,0.259,2.2,0.467
14,2019,Ronald Acuna Jr.,ATL,156,715,175,0.337,0.244,0.38,0.376,0.048,0.405,0.129,0.471,0.401,0.328,0.271,6.2,0.478
15,2019,Jonathan Villar,BAL,162,714,176,0.341,0.198,0.489,0.313,0.076,0.303,0.066,0.37,0.396,0.337,0.267,7.1,0.464
16,2015,Manny Machado,BAL,162,713,181,0.297,0.178,0.437,0.385,0.141,0.297,0.074,0.413,0.381,0.367,0.252,4.2,0.472
17,2017,Mookie Betts,BOS,153,712,166,0.268,0.168,0.404,0.428,0.148,0.319,0.042,0.377,0.444,0.356,0.2,5.5,0.4645
18,2015,Josh Donaldson,TOR,158,711,184,0.314,0.173,0.448,0.379,0.096,0.311,0.114,0.465,0.429,0.335,0.236,4.5,0.4825
19,2018,Manny Machado,- - -,162,709,188,0.304,0.178,0.4,0.422,0.116,0.338,0.101,0.482,0.381,0.362,0.257,4.4,0.4755
20,2018,Cesar Hernandez,PHI,161,708,153,0.315,0.205,0.459,0.336,0.048,0.3,0.035,0.278,0.403,0.322,0.275,5,0.444
21,2018,Freddie Freeman,ATL,162,707,191,0.358,0.323,0.364,0.313,0.019,0.447,0.091,0.398,0.431,0.311,0.258,4.5,0.4685
22,2017,Joey Votto,CIN,162,707,179,0.321,0.23,0.39,0.38,0.005,0.405,0.087,0.328,0.386,0.311,0.303,2.8,0.463
23,2018,Whit Merrifield,KCR,158,707,192,0.352,0.298,0.349,0.353,0.147,0.407,0.042,0.31,0.337,0.354,0.31,6.1,0.4555
