,Season,Name,Team,G,PA,H,H/PA,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,,HR/FB,Barrel%*10,Pull%,Cent%,Oppo%
0,2019,Marcus Semien,OAK,162,747,187,0.250334672,0.294,0.2,0.411,0.389,0.088,0.34,0.074,0.376,,0.153,0.74,0.441,0.315,0.245
1,2018,Francisco Lindor,CLE,158,745,183,0.245637584,0.279,0.216,0.388,0.396,0.105,0.343,0.091,0.405,,0.173,0.91,0.404,0.346,0.25
2,2016,George Springer,HOU,162,744,168,0.225806452,0.317,0.203,0.482,0.315,0.061,0.321,0.101,0.379,,0.197,1.01,0.39,0.383,0.227
3,2018,Trea Turner,WSN,162,740,180,0.243243243,0.314,0.179,0.49,0.331,0.128,0.29,0.056,0.386,,0.11,0.56,0.431,0.354,0.215
4,2019,Whit Merrifield,KCR,162,735,206,0.280272109,0.35,0.285,0.38,0.335,0.071,0.42,0.034,0.288,,0.087,0.34,0.366,0.355,0.28
5,2016,Mookie Betts,BOS,158,730,214,0.293150685,0.322,0.193,0.414,0.394,0.123,0.317,0.047,0.397,,0.132,0.47,0.397,0.351,0.252
6,2017,Charlie Blackmon,COL,159,725,213,0.293793103,0.371,0.223,0.407,0.37,0.069,0.381,0.076,0.361,,0.196,0.76,0.435,0.317,0.249
7,2021,Marcus Semien,TOR,162,724,173,0.238950276,0.276,0.208,0.31,0.481,0.094,0.352,0.098,0.413,,0.184,0.98,0.513,0.299,0.189
8,2017,Francisco Lindor,CLE,159,723,178,0.246196404,0.275,0.183,0.392,0.424,0.068,0.322,0.067,0.355,,0.14,0.67,0.405,0.345,0.251
9,2021,Whit Merrifield,KCR,162,720,184,0.255555556,0.309,0.243,0.407,0.35,0.06,0.4,0.035,0.286,,0.05,0.35,0.356,0.323,0.321
10,2016,Xander Bogaerts,BOS,157,719,192,0.267037552,0.335,0.196,0.455,0.349,0.178,0.28,0.051,0.335,,0.114,0.51,0.445,0.312,0.242
11,2017,Ender Inciarte,ATL,158,718,201,0.27994429,0.339,0.239,0.47,0.291,0.081,0.343,0.005,0.13,,0.068,0.05,0.303,0.385,0.312
12,2016,Jose Altuve,HOU,161,717,216,0.30125523,0.347,0.262,0.416,0.322,0.049,0.393,0.062,0.362,,0.13,0.62,0.453,0.357,0.19
13,2016,Robinson Cano,SEA,161,715,195,0.272727273,0.299,0.18,0.459,0.361,0.089,0.405,0.066,0.43,,0.193,0.66,0.389,0.352,0.259
