,Season,Name,Team,G,PA,BB%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
0,2015,Bryce Harper,WSN,153,654,0.19,0.276,0.609,0.725,0.844,0.38,0.546,0.108,0.226,0.499397301,2682,0.447,0.754,151,154,87
1,2013,Miguel Cabrera,DET,148,652,0.138,0.331,0.695,0.775,0.876,0.408,0.603,0.096,0.203,0.494686572,2424,0.512,0.807,179,173,111
2,2018,Mookie Betts,BOS,136,614,0.132,0.198,0.706,0.57,0.93,0.426,0.562,0.05,0.27,0.440612948,2582,0.356,0.859,147,195,92
3,2018,Mike Trout,LAA,140,608,0.201,0.218,0.69,0.591,0.917,0.424,0.581,0.06,0.261,0.57271749,2543,0.376,0.841,110,159,82
4,2011,Mike Napoli,TEX,113,432,0.134,0.237,0.659,0.602,0.787,0.447,0.549,0.102,0.293,0.420105416,1889,0.4,0.745,112,118,56
5,2011,Jose Bautista,TOR,149,655,0.202,0.247,0.699,0.602,0.857,0.391,0.518,0.077,0.25,0.547568507,2805,0.386,0.795,150,191,65
6,2019,Christian Yelich,MIL,130,580,0.138,0.306,0.568,0.712,0.87,0.359,0.548,0.118,0.258,0.425974632,2284,0.452,0.738,161,134,78
7,2012,Joey Votto,CIN,111,475,0.198,0.208,0.7,0.623,0.857,0.408,0.543,0.071,0.254,0.427089555,2042,0.377,0.805,110,93,88
8,2011,Miguel Cabrera,DET,161,688,0.157,0.311,0.759,0.753,0.866,0.389,0.586,0.082,0.198,0.502289706,2552,0.483,0.824,215,165,108
9,2017,Mike Trout,LAA,114,507,0.185,0.197,0.681,0.615,0.901,0.431,0.6,0.062,0.255,0.566174138,2127,0.377,0.835,116,142,58
10,2019,Mike Trout,LAA,134,600,0.183,0.205,0.692,0.612,0.888,0.401,0.525,0.065,0.258,0.479298096,2509,0.368,0.823,86,174,94
11,2021,Bryce Harper,PHI,141,599,0.167,0.294,0.542,0.745,0.789,0.394,0.553,0.144,0.263,0.432382871,2401,0.472,0.695,143,131,77
12,2017,J.D. Martinez,- - -,119,489,0.108,0.321,0.54,0.764,0.805,0.436,0.634,0.148,0.266,0.481940998,1911,0.514,0.712,118,133,57
13,2017,Aaron Judge,NYY,155,678,0.187,0.247,0.448,0.662,0.806,0.395,0.568,0.133,0.29,0.456870421,2989,0.411,0.676,118,146,74
14,2017,Joey Votto,CIN,162,707,0.19,0.158,0.783,0.714,0.88,0.468,0.559,0.059,0.207,0.512811319,2733,0.419,0.86,188,183,111
15,2018,J.D. Martinez,BOS,150,649,0.106,0.332,0.589,0.766,0.834,0.396,0.595,0.133,0.254,0.447811041,2519,0.504,0.737,187,146,97
16,2015,Joey Votto,CIN,158,695,0.206,0.191,0.709,0.62,0.825,0.424,0.545,0.076,0.254,0.475490887,3020,0.373,0.791,172,134,102
17,2011,Ryan Braun,MIL,150,629,0.092,0.31,0.746,0.627,0.883,0.407,0.596,0.076,0.258,0.45735757,2488,0.439,0.826,196,176,98
18,2013,Mike Trout,LAA,157,716,0.154,0.237,0.703,0.556,0.89,0.432,0.535,0.066,0.266,0.472429455,3015,0.375,0.823,191,164,106
19,2018,Christian Yelich,MIL,147,651,0.104,0.277,0.622,0.646,0.881,0.442,0.605,0.092,0.266,0.427813919,2532,0.44,0.79,227,103,108
20,2013,Chris Davis,BAL,160,673,0.107,0.347,0.548,0.745,0.796,0.39,0.566,0.152,0.265,0.454149138,2679,0.502,0.691,127,179,86
21,2021,Juan Soto,WSN,151,654,0.222,0.151,0.626,0.628,0.887,0.416,0.537,0.063,0.263,0.425371358,2601,0.35,0.821,218,119,77
22,2016,David Ortiz,BOS,151,626,0.128,0.291,0.707,0.699,0.905,0.373,0.519,0.077,0.218,0.466327399,2478,0.444,0.823,150,206,101
23,2021,Vladimir Guerrero Jr.,TOR,161,698,0.123,0.283,0.558,0.761,0.84,0.397,0.628,0.124,0.25,0.353765703,2509,0.473,0.739,222,181,93
24,2019,Alex Bregman,HOU,156,690,0.172,0.188,0.77,0.588,0.917,0.406,0.552,0.046,0.25,0.453428115,2915,0.351,0.87,151,220,108
25,2016,Mike Trout,LAA,159,681,0.17,0.23,0.706,0.603,0.87,0.423,0.558,0.071,0.259,0.555820166,3014,0.388,0.814,172,153,92
