,Season,Name,Team,G,PA,HR,HR%,LA,FB%,LD%,HR/FB,Pull%,Barrel%,HardHit%,LDFB_EV
0,2017,J.D. Martinez,- - -,119,489,45,0.9202454,15.4,0.432,0.185,0.34,0.383,0.185,0.49,0.4855
1,2017,Giancarlo Stanton,MIA,159,692,59,0.85260116,11.1,0.394,0.16,0.34,0.446,0.169,0.455,0.5
2,2019,Nelson Cruz,MIN,120,521,41,0.78694818,13.1,0.402,0.202,0.31,0.417,0.187,0.514,0.496
3,2019,Miguel Sano,MIN,105,439,34,0.77448747,15.9,0.419,0.212,0.37,0.554,0.203,0.572,0.498
4,2017,Joey Gallo,TEX,145,532,41,0.77067669,23,0.542,0.179,0.3,0.496,0.209,0.53,0.4955
5,2021,Fernando Tatis Jr,SDP,130,546,42,0.76923077,13.8,0.399,0.198,0.32,0.48,0.213,0.556,0.4995
6,2017,Aaron Judge,NYY,155,678,52,0.76696165,15.8,0.432,0.219,0.36,0.414,0.249,0.55,0.5025
7,2019,Pete Alonso,NYM,161,693,53,0.76479076,14.8,0.415,0.18,0.31,0.458,0.146,0.422,0.483
8,2019,Gary Sanchez,NYY,106,446,34,0.76233184,19,0.476,0.203,0.26,0.498,0.184,0.412,0.48
9,2019,Christian Yelich,MIL,130,580,44,0.75862069,11.3,0.359,0.209,0.33,0.393,0.158,0.487,0.484
10,2019,Mike Trout,LAA,134,600,45,0.75,22.2,0.492,0.266,0.26,0.424,0.175,0.438,0.4755
11,2019,Eugenio Suarez,CIN,159,662,49,0.74018127,17.7,0.423,0.217,0.3,0.52,0.128,0.401,0.4655
12,2018,Khris Davis,OAK,151,654,48,0.73394495,18.1,0.488,0.159,0.24,0.358,0.167,0.475,0.486
13,2018,Max Muncy,LAD,137,481,35,0.72765073,18.4,0.449,0.208,0.29,0.447,0.162,0.459,0.475
14,2021,Salvador Perez,KCR,161,665,48,0.72180451,15.9,0.401,0.227,0.26,0.469,0.163,0.559,0.488
15,2021,Shohei Ohtani,LAA,158,639,46,0.7198748,16.8,0.406,0.214,0.33,0.48,0.223,0.534,0.502
16,2019,Cody Bellinger,LAD,156,660,47,0.71212121,17.9,0.424,0.262,0.25,0.479,0.126,0.456,0.475
17,2017,Cody Bellinger,LAD,132,548,39,0.71167883,17.5,0.471,0.176,0.25,0.424,0.116,0.457,0.483
18,2019,Jorge Soler,KCR,162,679,48,0.70692194,15.6,0.412,0.195,0.28,0.467,0.163,0.495,0.486
19,2016,Mark Trumbo,BAL,159,667,47,0.70464768,15.2,0.431,0.174,0.25,0.42,0.147,0.447,0.484
20,2015,Chris Davis,BAL,160,670,47,0.70149254,17.5,0.435,0.247,0.29,0.559,0.168,0.462,0.4825
21,2019,George Springer,HOU,122,556,39,0.70143885,10.4,0.357,0.197,0.3,0.403,0.122,0.432,0.477
22,2019,Joc Pederson,LAD,149,514,36,0.70038911,15.2,0.409,0.174,0.26,0.49,0.1,0.428,0.4805
23,2019,Edwin Encarnacion,- - -,109,486,34,0.69958848,22.4,0.506,0.186,0.21,0.519,0.119,0.421,0.473
24,2018,Joey Gallo,TEX,148,577,40,0.6932409,21.9,0.498,0.206,0.28,0.451,0.222,0.491,0.4995
25,2016,Khris Davis,OAK,150,610,42,0.68852459,13.3,0.402,0.17,0.27,0.386,0.165,0.482,0.4895
26,2021,Vladimir Guerrero Jr,TOR,161,698,48,0.68767908,9.4,0.365,0.188,0.27,0.399,0.151,0.552,0.4925
27,2016,Jedd Gyorko,STL,128,438,30,0.68493151,14.9,0.403,0.19,0.24,0.452,0.095,0.357,0.466
28,2021,Adam Duvall,- - -,146,555,38,0.68468468,23.6,0.529,0.173,0.21,0.474,0.161,0.439,0.4745
29,2021,Kyle Schwarber,- - -,113,471,32,0.67940552,15.4,0.409,0.208,0.29,0.453,0.175,0.522,0.4865
30,2021,Joey Votto,CIN,129,533,36,0.67542214,18.2,0.418,0.265,0.27,0.434,0.172,0.532,0.4845
31,2019,Franmil Reyes,- - -,150,548,37,0.67518248,9.5,0.345,0.214,0.31,0.383,0.145,0.51,0.491
32,2015,Nelson Cruz,SEA,152,655,44,0.67175573,9.3,0.34,0.204,0.3,0.386,0.131,0.475,0.4885
33,2015,Mark Teixeira,NYY,111,462,31,0.67099567,15.6,0.423,0.189,0.24,0.554,0.087,0.413,0.4715
34,2019,Hunter Renfroe,SDP,140,494,33,0.66801619,19.1,0.479,0.158,0.24,0.558,0.113,0.394,0.473
35,2017,Josh Donaldson,TOR,113,496,33,0.66532258,13.8,0.423,0.167,0.26,0.471,0.127,0.441,0.4485
36,2018,J.D. Martinez,BOS,150,649,43,0.66255778,10.8,0.34,0.226,0.3,0.377,0.151,0.523,0.4835
37,2017,Khris Davis,OAK,153,652,43,0.6595092,14.2,0.423,0.193,0.27,0.344,0.169,0.521,0.4935
38,2019,Matt Olson,OAK,127,547,36,0.65813528,19.2,0.446,0.24,0.24,0.517,0.142,0.494,0.486
39,2015,Carlos Gonzalez,COL,153,608,40,0.65789474,9.2,0.365,0.165,0.26,0.414,0.096,0.386,0.4715
40,2017,Mike Trout,LAA,114,507,33,0.65088757,18,0.449,0.184,0.23,0.402,0.12,0.405,0.4715
41,2016,Trevor Story,COL,97,415,27,0.65060241,18,0.471,0.236,0.24,0.4,0.135,0.445,0.4745
42,2016,Nelson Cruz,SEA,155,667,43,0.64467766,11.2,0.375,0.181,0.26,0.407,0.158,0.526,0.4965
43,2021,Franmil Reyes,CLE,115,466,30,0.64377682,9.7,0.36,0.176,0.31,0.404,0.169,0.485,0.4895
44,2015,Bryce Harper,WSN,153,654,42,0.64220183,14.6,0.393,0.222,0.27,0.454,0.122,0.477,0.474
45,2018,Mike Trout,LAA,140,608,39,0.64144737,18.6,0.453,0.234,0.25,0.402,0.153,0.46,0.4795
46,2016,Evan Gattis,HOU,128,499,32,0.64128257,13,0.41,0.179,0.24,0.466,0.102,0.354,0.468
47,2016,Chris Carter,MIL,160,644,41,0.63664596,18.6,0.487,0.195,0.24,0.377,0.164,0.462,0.485
48,2017,Mike Moustakas,KCR,148,598,38,0.63545151,18.2,0.457,0.195,0.18,0.437,0.081,0.336,0.4615
49,2021,Brandon Lowe,TBR,149,615,39,0.63414634,16.9,0.44,0.217,0.24,0.431,0.14,0.431,0.469
50,2021,Tyler O'Neill,STL,138,537,34,0.63314711,17.8,0.409,0.23,0.26,0.381,0.179,0.522,0.491
51,2017,Logan Morrison,TBR,149,601,38,0.63227953,17.6,0.462,0.205,0.23,0.464,0.126,0.429,0.471
52,2015,Nolan Arenado,COL,157,665,42,0.63157895,16,0.439,0.217,0.19,0.456,0.079,0.395,0.471
53,2019,Gleyber Torres,NYY,144,604,38,0.62913907,17.7,0.419,0.209,0.22,0.444,0.094,0.361,0.464
54,2017,Gary Sanchez,NYY,122,525,33,0.62857143,13.1,0.366,0.211,0.25,0.515,0.115,0.431,0.4795
55,2018,Nelson Cruz,SEA,144,591,37,0.62605753,12.8,0.385,0.175,0.24,0.408,0.135,0.513,0.486
56,2015,Edwin Encarnacion,TOR,146,624,39,0.625,16.7,0.445,0.193,0.2,0.502,0.086,0.439,0.4725
57,2017,Ryan Zimmerman,WSN,144,576,36,0.625,8.3,0.337,0.199,0.27,0.355,0.112,0.481,0.489
58,2019,Kyle Schwarber,CHC,155,610,38,0.62295082,15.5,0.422,0.198,0.24,0.401,0.14,0.509,0.4895
59,2021,Marcus Semien,TOR,162,724,45,0.62154696,20.3,0.481,0.208,0.18,0.513,0.098,0.413,0.4695
60,2019,Nolan Arenado,COL,155,662,41,0.61933535,17.6,0.447,0.193,0.18,0.425,0.068,0.376,0.4645
61,2018,Jesus Aguilar,MIL,149,566,35,0.61837456,16.2,0.409,0.237,0.24,0.435,0.109,0.426,0.469
62,2017,Kyle Schwarber,CHC,129,486,30,0.61728395,18.6,0.465,0.152,0.24,0.445,0.143,0.415,0.4775
63,2021,Joey Gallo,- - -,153,616,38,0.61688312,22.7,0.507,0.167,0.27,0.448,0.185,0.455,0.49
64,2021,Aaron Judge,NYY,148,633,39,0.61611374,11.6,0.355,0.232,0.28,0.363,0.176,0.579,0.4925
65,2019,Eloy Jimenez,CHW,122,504,31,0.61507937,9.3,0.339,0.182,0.27,0.432,0.122,0.479,0.483
66,2015,Khris Davis,MIL,121,440,27,0.61363636,12.5,0.403,0.172,0.25,0.414,0.139,0.432,0.482
67,2017,Michael Conforto,NYM,109,440,27,0.61363636,13.7,0.378,0.244,0.27,0.324,0.122,0.424,0.4755
68,2017,Lucas Duda,- - -,127,491,30,0.61099796,19.2,0.486,0.21,0.21,0.462,0.114,0.441,0.476
69,2021,Rhys Hoskins,PHI,107,443,27,0.60948081,21.7,0.509,0.198,0.19,0.442,0.17,0.463,0.479
70,2021,Max Muncy,LAD,144,592,36,0.60810811,15.2,0.413,0.206,0.23,0.439,0.161,0.463,0.4865
71,2016,Brian Dozier,MIN,155,691,42,0.60781476,18.7,0.477,0.159,0.18,0.564,0.081,0.362,0.4715
72,2016,David Ortiz,BOS,151,626,38,0.60702875,16.8,0.451,0.221,0.18,0.48,0.135,0.476,0.485
73,2015,Albert Pujols,LAA,157,661,40,0.60514372,14.2,0.422,0.159,0.18,0.458,0.071,0.383,0.469
74,2017,Nelson Cruz,SEA,155,645,39,0.60465116,12.4,0.418,0.177,0.22,0.418,0.137,0.487,0.493
75,2021,Giancarlo Stanton,NYY,139,579,35,0.6044905,10.3,0.368,0.185,0.27,0.379,0.157,0.556,0.4965
76,2019,Aaron Judge,NYY,102,447,27,0.60402685,11.2,0.324,0.273,0.35,0.387,0.197,0.569,0.498
77,2019,Max Kepler,MIN,134,596,36,0.60402685,18.2,0.466,0.172,0.18,0.534,0.084,0.417,0.4645
78,2019,Josh Bell,PIT,143,613,37,0.60358891,13.1,0.373,0.188,0.24,0.425,0.12,0.464,0.4905
79,2016,Brandon Moss,STL,128,464,28,0.60344828,22.5,0.526,0.204,0.19,0.462,0.126,0.39,0.4675
80,2015,David Ortiz,BOS,146,614,37,0.60260586,15.6,0.41,0.224,0.2,0.443,0.124,0.493,0.4845
