,Season,Name,Team,G,PA,ISO,FB%,GB%,LD%,SweetSpot%,HR/FB,Barrel%,HardHit%,LDFB_EV,Pull%,Cent%,Oppo%,,HR,AB,Spd
0,2017,J.D. Martinez,- - -,119,489,0.387,0.432,0.411,0.185,0.377,0.338,0.185,0.49,0.4855,0.383,0.328,0.289,,45,432,4.7
1,2017,Giancarlo Stanton,MIA,159,692,0.35,0.394,0.388,0.16,0.316,0.343,0.169,0.455,0.5,0.446,0.309,0.286,,59,597,3.8
2,2019,Nelson Cruz,MIN,120,521,0.328,0.402,0.482,0.202,0.383,0.313,0.187,0.514,0.496,0.417,0.351,0.287,,41,454,3.3
3,2019,Miguel Sano,MIN,105,439,0.329,0.419,0.49,0.212,0.36,0.366,0.203,0.572,0.498,0.554,0.399,0.248,,34,380,4
4,2017,Joey Gallo,TEX,145,532,0.327,0.542,0.38,0.179,0.36,0.301,0.209,0.53,0.4955,0.496,0.294,0.21,,41,449,5.5
5,2021,Fernando Tatis Jr.,SDP,130,546,0.328,0.399,0.414,0.198,0.331,0.321,0.213,0.556,0.4995,0.48,0.351,0.263,,42,478,4.3
6,2017,Aaron Judge,NYY,155,678,0.343,0.432,0.407,0.219,0.382,0.356,0.249,0.55,0.5025,0.414,0.308,0.278,,52,542,4.8
7,2019,Pete Alonso,NYM,161,693,0.323,0.415,0.31,0.18,0.369,0.306,0.146,0.422,0.483,0.458,0.336,0.298,,53,597,4.8
8,2019,Gary Sanchez,NYY,106,446,0.293,0.476,0.392,0.203,0.335,0.264,0.184,0.412,0.48,0.498,0.342,0.242,,34,396,3.6
9,2019,Christian Yelich,MIL,130,580,0.342,0.359,0.407,0.209,0.332,0.328,0.158,0.487,0.484,0.393,0.374,0.233,,44,489,6.2
10,2019,Mike Trout,LAA,134,600,0.353,0.492,0.455,0.266,0.438,0.259,0.175,0.438,0.4755,0.424,0.331,0.159,,45,470,5
11,2019,Eugenio Suarez,CIN,159,662,0.301,0.423,0.47,0.217,0.38,0.295,0.128,0.401,0.4655,0.52,0.383,0.302,,49,575,5.9
12,2018,Khris Davis,OAK,151,654,0.302,0.488,0.416,0.159,0.377,0.241,0.167,0.475,0.486,0.358,0.338,0.208,,48,576,3.1
13,2018,Max Muncy,LAD,137,481,0.319,0.449,0.459,0.208,0.368,0.294,0.162,0.459,0.475,0.447,0.328,0.284,,35,395,2.3
14,2021,Salvador Perez,KCR,161,665,0.271,0.401,0.38,0.227,0.341,0.264,0.163,0.559,0.488,0.469,0.345,0.202,,48,620,2.6
15,2021,Shohei Ohtani,LAA,158,639,0.335,0.406,0.489,0.214,0.354,0.329,0.223,0.534,0.502,0.48,0.324,0.305,,46,537,4.8
16,2019,Cody Bellinger,LAD,156,660,0.324,0.424,0.437,0.262,0.396,0.246,0.126,0.456,0.475,0.479,0.347,0.263,,47,558,4.5
17,2017,Cody Bellinger,LAD,132,548,0.315,0.471,0.404,0.176,0.353,0.252,0.116,0.457,0.483,0.424,0.347,0.228,,39,480,5.5
18,2019,Jorge Soler,KCR,162,679,0.304,0.412,0.448,0.195,0.345,0.281,0.163,0.495,0.486,0.467,0.299,0.221,,48,589,2.7
19,2016,Mark Trumbo,BAL,159,667,0.277,0.431,0.4,0.174,0.318,0.246,0.147,0.447,0.484,0.42,0.324,0.165,,47,613,4
20,2015,Chris Davis,BAL,160,670,0.3,0.435,0.459,0.247,0.397,0.294,0.168,0.462,0.4825,0.559,0.354,0.261,,47,573,3.5
21,2019,George Springer,HOU,122,556,0.299,0.357,0.364,0.197,0.316,0.295,0.122,0.432,0.477,0.403,0.334,0.318,,39,479,8.3
22,2019,Joc Pederson,LAD,149,514,0.289,0.409,0.39,0.174,0.314,0.259,0.1,0.428,0.4805,0.49,0.276,0.222,,36,450,3.8
23,2019,Edwin Encarnacion,- - -,109,486,0.287,0.506,0.349,0.186,0.343,0.211,0.119,0.421,0.473,0.519,0.323,0.254,,34,418,5
24,2018,Joey Gallo,TEX,148,577,0.292,0.498,0.537,0.206,0.375,0.276,0.222,0.491,0.4995,0.451,0.377,0.265,,40,500,6
25,2016,Khris Davis,OAK,150,610,0.277,0.402,0.315,0.17,0.315,0.266,0.165,0.482,0.4895,0.386,0.363,0.246,,42,555,6
26,2021,Vladimir Guerrero Jr.,TOR,161,698,0.29,0.365,0.346,0.188,0.337,0.265,0.151,0.552,0.4925,0.399,0.33,0.314,,48,604,3.5
27,2016,Jedd Gyorko,STL,128,438,0.253,0.403,0.384,0.19,0.361,0.244,0.095,0.357,0.466,0.452,0.339,0.232,,30,400,2.4
28,2021,Adam Duvall,- - -,146,555,0.263,0.529,0.45,0.173,0.333,0.21,0.161,0.439,0.4745,0.474,0.354,0.173,,38,513,4.2
29,2021,Kyle Schwarber,- - -,113,471,0.288,0.409,0.433,0.208,0.369,0.286,0.175,0.522,0.4865,0.453,0.359,0.269,,32,399,1.4
30,2021,Joey Votto,CIN,129,533,0.297,0.418,0.465,0.265,0.443,0.265,0.172,0.532,0.4845,0.434,0.362,0.327,,36,448,5.6
31,2019,Franmil Reyes,- - -,150,548,0.263,0.345,0.29,0.214,0.333,0.311,0.145,0.51,0.491,0.383,0.336,0.339,,37,494,2.7
32,2015,Nelson Cruz,SEA,152,655,0.264,0.34,0.333,0.204,0.354,0.303,0.131,0.475,0.4885,0.386,0.437,0.26,,44,590,5.6
33,2015,Mark Teixeira,NYY,111,462,0.293,0.423,0.292,0.189,0.311,0.235,0.087,0.413,0.4715,0.554,0.351,0.216,,31,392,4.6
34,2019,Hunter Renfroe,SDP,140,494,0.273,0.479,0.392,0.158,0.322,0.236,0.113,0.394,0.473,0.558,0.347,0.271,,33,440,7.2
35,2017,Josh Donaldson,TOR,113,496,0.289,0.423,0.382,0.167,0.384,0.256,0.127,0.441,0.4485,0.471,0.325,0.176,,33,415,3.6
36,2018,J.D. Martinez,BOS,150,649,0.299,0.34,0.379,0.226,0.4,0.295,0.151,0.523,0.4835,0.377,0.309,0.314,,43,569,4
37,2017,Khris Davis,OAK,153,652,0.281,0.423,0.444,0.193,0.376,0.269,0.169,0.521,0.4935,0.344,0.356,0.251,,43,566,6.3
38,2019,Matt Olson,OAK,127,547,0.277,0.446,0.346,0.24,0.361,0.237,0.142,0.494,0.486,0.517,0.389,0.323,,36,483,4
39,2015,Carlos Gonzalez,COL,153,608,0.269,0.365,0.382,0.165,0.304,0.258,0.096,0.386,0.4715,0.414,0.311,0.194,,40,554,5.3
40,2017,Mike Trout,LAA,114,507,0.323,0.449,0.328,0.184,0.364,0.232,0.12,0.405,0.4715,0.402,0.346,0.26,,33,402,3.9
41,2016,Trevor Story,COL,97,415,0.296,0.471,0.305,0.236,0.445,0.237,0.135,0.445,0.4745,0.4,0.351,0.289,,27,372,2.6
42,2016,Nelson Cruz,SEA,155,667,0.268,0.375,0.49,0.181,0.348,0.262,0.158,0.526,0.4965,0.407,0.331,0.289,,43,589,4.5
43,2021,Franmil Reyes,CLE,115,466,0.268,0.36,0.334,0.176,0.313,0.306,0.169,0.485,0.4895,0.404,0.373,0.195,,30,418,7.5
44,2015,Bryce Harper,WSN,153,654,0.319,0.393,0.448,0.222,0.371,0.273,0.122,0.477,0.474,0.454,0.329,0.225,,42,521,5.7
45,2018,Mike Trout,LAA,140,608,0.316,0.453,0.412,0.234,0.41,0.245,0.153,0.46,0.4795,0.402,0.329,0.287,,39,471,4.8
46,2016,Evan Gattis,HOU,128,499,0.257,0.41,0.434,0.179,0.326,0.241,0.102,0.354,0.468,0.466,0.386,0.311,,32,447,5.3
47,2016,Chris Carter,MIL,160,644,0.277,0.487,0.373,0.195,0.363,0.238,0.164,0.462,0.485,0.377,0.394,0.229,,41,549,2.9
48,2017,Mike Moustakas,KCR,148,598,0.249,0.457,0.352,0.195,0.34,0.178,0.081,0.336,0.4615,0.437,0.341,0.217,,38,555,4.3
49,2021,Brandon Lowe,TBR,149,615,0.277,0.44,0.398,0.217,0.372,0.241,0.14,0.431,0.469,0.431,0.379,0.269,,39,535,5.1
50,2021,Tyler O'Neill,STL,138,537,0.274,0.409,0.554,0.23,0.399,0.262,0.179,0.522,0.491,0.381,0.347,0.298,,34,482,5.5
51,2017,Logan Morrison,TBR,149,601,0.27,0.462,0.576,0.205,0.396,0.225,0.126,0.429,0.471,0.464,0.404,0.236,,38,512,3.6
52,2015,Nolan Arenado,COL,157,665,0.287,0.439,0.43,0.217,0.337,0.185,0.079,0.395,0.471,0.456,0.357,0.226,,42,616,2.3
53,2019,Gleyber Torres,NYY,144,604,0.256,0.419,0.422,0.209,0.38,0.215,0.094,0.361,0.464,0.444,0.37,0.259,,38,546,4.3
54,2017,Gary Sanchez,NYY,122,525,0.253,0.366,0.455,0.211,0.335,0.254,0.115,0.431,0.4795,0.515,0.405,0.277,,33,471,4.8
55,2018,Nelson Cruz,SEA,144,591,0.252,0.385,0.416,0.175,0.313,0.24,0.135,0.513,0.486,0.408,0.348,0.201,,37,519,5.6
56,2015,Edwin Encarnacion,TOR,146,624,0.28,0.445,0.531,0.193,0.311,0.199,0.086,0.439,0.4725,0.502,0.3,0.198,,39,528,2.4
