,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
0,2015,Bryce Harper,WSN,153,654,0.2,0.276,0.609,0.725,0.844,0.38,0.546,0.108,0.226,0.765625,2682,0.447,0.754,151,154,87
1,2013,Miguel Cabrera,DET,148,652,0.144,0.331,0.695,0.775,0.876,0.408,0.603,0.096,0.203,0.858998145,2424,0.512,0.807,179,173,111
2,2018,Mookie Betts,BOS,136,614,0.148,0.198,0.706,0.57,0.93,0.426,0.562,0.05,0.27,1.219101124,2582,0.356,0.859,147,195,92
3,2018,Mike Trout,LAA,140,608,0.204,0.218,0.69,0.591,0.917,0.424,0.581,0.06,0.261,0.774834437,2543,0.376,0.841,110,159,82
4,2010,Josh Hamilton,TEX,133,571,0.166,0.365,0.63,0.807,0.832,0.406,0.567,0.135,0.229,1.009456265,2076,0.545,0.751,178,155,94
5,2011,Jose Bautista,TOR,149,655,0.169,0.247,0.699,0.602,0.857,0.391,0.518,0.077,0.25,0.892307692,2805,0.386,0.795,150,191,65
6,2019,Christian Yelich,MIL,130,580,0.203,0.306,0.568,0.712,0.87,0.359,0.548,0.118,0.258,0.958868895,2284,0.452,0.738,161,134,78
7,2010,Joey Votto,CIN,150,648,0.193,0.293,0.692,0.729,0.824,0.413,0.58,0.106,0.238,0.833333333,2547,0.473,0.776,192,148,85
8,2011,Miguel Cabrera,DET,161,688,0.129,0.311,0.759,0.753,0.866,0.389,0.586,0.082,0.198,0.924242424,2552,0.483,0.824,215,165,108
9,2017,Mike Trout,LAA,114,507,0.178,0.197,0.681,0.615,0.901,0.431,0.6,0.062,0.255,0.892655367,2127,0.377,0.835,116,142,58
10,2019,Mike Trout,LAA,134,600,0.2,0.205,0.692,0.612,0.888,0.401,0.525,0.065,0.258,0.871921182,2509,0.368,0.823,86,174,94
11,2010,Miguel Cabrera,DET,150,648,0.147,0.313,0.676,0.74,0.86,0.413,0.543,0.097,0.213,1.004366812,2368,0.49,0.791,181,192,87
12,2017,Aaron Judge,NYY,155,678,0.307,0.247,0.448,0.662,0.806,0.395,0.568,0.133,0.29,0.68699187,2989,0.411,0.676,118,146,74
13,2017,Joey Votto,CIN,162,707,0.117,0.158,0.783,0.714,0.88,0.468,0.559,0.059,0.207,0.958250497,2733,0.419,0.86,188,183,111
14,2018,J.D. Martinez,BOS,150,649,0.225,0.332,0.589,0.766,0.834,0.396,0.595,0.133,0.254,0.849802372,2519,0.504,0.737,187,146,97
15,2015,Joey Votto,CIN,158,695,0.194,0.191,0.709,0.62,0.825,0.424,0.545,0.076,0.254,0.844720497,3020,0.373,0.791,172,134,102
16,2011,Ryan Braun,MIL,150,629,0.148,0.31,0.746,0.627,0.883,0.407,0.596,0.076,0.258,1.087962963,2488,0.439,0.826,196,176,98
17,2013,Mike Trout,LAA,157,716,0.19,0.237,0.703,0.556,0.89,0.432,0.535,0.066,0.266,0.980851064,3015,0.375,0.823,191,164,106
18,2018,Christian Yelich,MIL,147,651,0.207,0.277,0.622,0.646,0.881,0.442,0.605,0.092,0.266,0.990950226,2532,0.44,0.79,227,103,108
19,2010,Jose Bautista,TOR,161,683,0.17,0.233,0.687,0.628,0.863,0.444,0.561,0.077,0.252,0.925101215,2880,0.409,0.807,142,249,66
20,2013,Chris Davis,BAL,160,673,0.296,0.347,0.548,0.745,0.796,0.39,0.566,0.152,0.265,0.729981378,2679,0.502,0.691,127,179,86
21,2016,David Ortiz,BOS,151,626,0.137,0.291,0.707,0.699,0.905,0.373,0.519,0.077,0.218,1.020089286,2478,0.444,0.823,150,206,101
22,2010,Albert Pujols,STL,159,700,0.109,0.268,0.76,0.63,0.906,0.434,0.48,0.059,0.22,1.019723866,2821,0.425,0.854,198,230,89
23,2019,Alex Bregman,HOU,156,690,0.12,0.188,0.77,0.588,0.917,0.406,0.552,0.046,0.25,1.165450122,2915,0.351,0.87,151,220,108
24,2016,Mike Trout,LAA,159,681,0.201,0.23,0.706,0.603,0.87,0.423,0.558,0.071,0.259,0.779439252,3014,0.388,0.814,172,153,92
25,2015,Paul Goldschmidt,ARI,159,695,0.217,0.224,0.675,0.616,0.825,0.434,0.542,0.085,0.266,0.9,2917,0.394,0.777,176,148,99
26,2019,Nelson Cruz,MIN,120,521,0.251,0.305,0.536,0.72,0.809,0.378,0.545,0.14,0.274,0.918309859,2114,0.462,0.697,129,131,66
27,2012,Miguel Cabrera,DET,161,697,0.141,0.334,0.713,0.717,0.904,0.422,0.574,0.082,0.214,0.965391621,2620,0.496,0.83,224,191,115
28,2010,Paul Konerko,CHW,149,631,0.174,0.272,0.628,0.599,0.891,0.461,0.558,0.083,0.27,1.047169811,2571,0.422,0.8,156,200,88
29,2019,Cody Bellinger,LAD,156,660,0.164,0.268,0.695,0.704,0.83,0.404,0.539,0.097,0.246,0.937629938,2688,0.444,0.781,142,191,118
30,2015,Mike Trout,LAA,159,682,0.232,0.244,0.663,0.556,0.877,0.44,0.567,0.075,0.282,0.868312757,2980,0.381,0.8,157,162,103
31,2017,Charlie Blackmon,COL,159,725,0.186,0.302,0.7,0.647,0.901,0.465,0.574,0.078,0.251,0.853088481,2884,0.463,0.831,208,189,114
32,2015,Miguel Cabrera,DET,119,511,0.16,0.295,0.663,0.705,0.862,0.411,0.575,0.096,0.237,0.93315508,1985,0.463,0.787,147,114,88
33,2012,Ryan Braun,MIL,154,677,0.189,0.364,0.726,0.676,0.857,0.416,0.595,0.097,0.246,0.89245283,2537,0.494,0.8,206,180,87
34,2016,Joey Votto,CIN,158,677,0.177,0.208,0.758,0.686,0.855,0.447,0.544,0.071,0.23,0.780316344,2896,0.422,0.829,191,132,121
35,2011,Matt Kemp,LAD,161,689,0.231,0.32,0.655,0.71,0.775,0.448,0.583,0.128,0.27,0.845574388,2704,0.495,0.732,163,182,104
36,2010,Carlos Gonzalez,COL,145,636,0.212,0.358,0.602,0.708,0.887,0.442,0.591,0.113,0.259,1.017857143,2272,0.513,0.776,194,167,95
37,2019,Anthony Rendon,WSN,146,646,0.133,0.238,0.778,0.701,0.932,0.418,0.576,0.051,0.223,0.88973384,2613,0.431,0.883,155,214,99
38,2014,Andrew McCutchen,PIT,146,648,0.177,0.271,0.685,0.691,0.84,0.423,0.565,0.095,0.247,0.890466531,2640,0.449,0.786,175,182,82
39,2014,Victor Martinez,DET,151,641,0.066,0.343,0.881,0.591,0.95,0.42,0.548,0.035,0.217,0.977653631,2586,0.447,0.919,213,200,112
40,2014,Jose Abreu,CHW,145,622,0.211,0.409,0.587,0.754,0.846,0.396,0.595,0.144,0.253,0.84950495,2351,0.545,0.729,195,134,100
41,2017,Giancarlo Stanton,MIA,159,692,0.236,0.274,0.524,0.658,0.815,0.405,0.532,0.127,0.282,1.123393316,2736,0.429,0.704,195,172,70
42,2011,Prince Fielder,MIL,162,692,0.153,0.307,0.671,0.666,0.912,0.374,0.553,0.081,0.241,1.004282655,2629,0.441,0.807,202,174,93
43,2012,Mike Trout,LAA,139,639,0.218,0.26,0.709,0.551,0.876,0.469,0.573,0.072,0.293,0.992924528,2608,0.396,0.818,187,139,95
44,2016,Daniel Murphy,WSN,142,582,0.098,0.334,0.791,0.648,0.956,0.426,0.56,0.051,0.221,1.261780105,2079,0.468,0.888,175,202,105
45,2011,Lance Berkman,STL,145,587,0.158,0.249,0.637,0.756,0.865,0.416,0.549,0.093,0.207,0.963680387,2224,0.46,0.793,154,156,88
46,2011,Adrian Gonzalez,BOS,159,715,0.166,0.344,0.719,0.699,0.892,0.389,0.558,0.086,0.225,0.912966252,2735,0.482,0.817,240,165,109
47,2011,David Ortiz,BOS,146,605,0.137,0.271,0.727,0.684,0.895,0.401,0.569,0.072,0.226,0.997747748,2436,0.437,0.833,182,166,95
48,2017,Freddie Freeman,ATL,117,514,0.185,0.327,0.661,0.842,0.833,0.391,0.582,0.122,0.205,0.792237443,1929,0.529,0.769,121,141,85
49,2010,Troy Tulowitzki,COL,122,529,0.147,0.268,0.756,0.606,0.911,0.46,0.578,0.059,0.248,1.296052632,1920,0.424,0.858,177,158,59
50,2012,Buster Posey,SFG,148,610,0.157,0.264,0.771,0.607,0.896,0.45,0.572,0.061,0.251,0.915289256,2599,0.418,0.853,206,128,109
51,2011,Joey Votto,CIN,161,719,0.179,0.249,0.667,0.686,0.855,0.404,0.544,0.088,0.246,0.961616162,2888,0.426,0.789,186,159,131
52,2012,Giancarlo Stanton,MIA,123,501,0.285,0.361,0.495,0.66,0.83,0.409,0.609,0.151,0.305,0.953416149,1908,0.483,0.682,111,128,68
53,2017,Jose Altuve,HOU,153,662,0.127,0.331,0.749,0.678,0.917,0.417,0.669,0.072,0.233,1.164733179,2308,0.476,0.849,236,164,102
54,2019,Ketel Marte,ARI,144,628,0.137,0.318,0.733,0.716,0.906,0.397,0.581,0.078,0.224,1.021141649,2402,0.476,0.836,208,168,107
55,2013,Paul Goldschmidt,ARI,160,710,0.204,0.251,0.69,0.62,0.846,0.447,0.554,0.084,0.27,0.913043478,2930,0.416,0.794,205,160,97
56,2014,Giancarlo Stanton,MIA,145,638,0.266,0.306,0.533,0.644,0.818,0.387,0.505,0.129,0.286,0.885441527,2597,0.437,0.696,153,145,73
