Unnamed: 0,Name,Team,Age,G,PA,AB,AVG,OBP,SLG,OPS,K%,BB%,BABIP,HR,ISO,HBP,SF,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,LD%,GB%,FB%,Barrel%,HardHit%,HR/FB,Pull%,Cent%,Oppo%,Spd,LA,SweetSpot%,M-Swing%,Meat%,Edge%,LDFB_EV
0,Aaron Judge,NYY,30,157,696,570,0.311,0.425,0.686,1.111,0.251,0.159,0.34,62,0.375,6,5,0.268,0.517,0.676,0.852,0.385,0.579,0.118,0.287,0.81300813,0.193,0.373,0.435,0.262,0.609,0.356,0.475,0.318,0.208,4,15,0.39,0.774,0.069,0.422,0.5015
1,Yordan Alvarez,HOU,25,135,561,470,0.306,0.406,0.613,1.019,0.189,0.139,0.32,37,0.306,6,7,0.275,0.625,0.668,0.896,0.385,0.538,0.09,0.256,1.013661202,0.216,0.391,0.394,0.21,0.598,0.253,0.394,0.396,0.21,3,12.3,0.407,0.766,0.066,0.409,0.4905
2,Paul Goldschmidt,STL,34,151,651,561,0.317,0.404,0.578,0.981,0.217,0.121,0.368,35,0.26,5,4,0.276,0.677,0.617,0.818,0.412,0.599,0.099,0.295,0.974712644,0.189,0.403,0.408,0.115,0.469,0.202,0.377,0.363,0.259,3.6,15.7,0.318,0.665,0.067,0.433,0.478
3,Mike Trout,LAA,30,119,499,438,0.283,0.369,0.63,0.999,0.279,0.108,0.323,40,0.347,6,1,0.263,0.607,0.679,0.796,0.411,0.557,0.118,0.291,0.819672131,0.187,0.247,0.567,0.197,0.503,0.235,0.417,0.313,0.27,3.3,24.6,0.377,0.702,0.067,0.441,0.474
4,Jose Altuve,HOU,32,141,604,527,0.3,0.387,0.533,0.921,0.144,0.109,0.315,28,0.233,10,1,0.314,0.768,0.65,0.91,0.369,0.619,0.068,0.24,1.021276596,0.204,0.41,0.387,0.077,0.295,0.168,0.519,0.317,0.163,5,16.1,0.354,0.668,0.08,0.392,0.4555
5,Joey Meneses,WSN,30,56,240,222,0.324,0.367,0.563,0.93,0.217,0.063,0.371,13,0.239,1,2,0.331,0.669,0.682,0.864,0.436,0.671,0.102,0.28,0.924731183,0.256,0.448,0.297,0.099,0.471,0.255,0.395,0.337,0.267,2.4,9.5,0.39,0.645,0.081,0.41,0.4745
6,Freddie Freeman,LAD,32,159,708,612,0.325,0.407,0.511,0.918,0.144,0.119,0.359,21,0.186,5,7,0.313,0.75,0.761,0.88,0.401,0.595,0.083,0.206,0.844771242,0.275,0.387,0.338,0.101,0.48,0.12,0.364,0.337,0.3,4.8,13.6,0.431,0.887,0.068,0.434,0.4725
7,Manny Machado,SDP,29,150,644,578,0.298,0.366,0.531,0.898,0.207,0.098,0.337,32,0.234,1,2,0.342,0.643,0.77,0.856,0.388,0.629,0.118,0.243,0.935146444,0.21,0.378,0.412,0.098,0.49,0.174,0.412,0.338,0.251,4.3,16,0.367,0.863,0.071,0.436,0.475
8,Nolan Arenado,STL,31,148,620,557,0.293,0.358,0.533,0.891,0.116,0.084,0.29,30,0.241,7,4,0.361,0.721,0.68,0.908,0.386,0.613,0.086,0.241,1.113895216,0.204,0.297,0.499,0.082,0.389,0.123,0.479,0.325,0.196,2.6,21.7,0.354,0.706,0.066,0.41,0.4635
9,Albert Pujols,STL,42,109,351,307,0.27,0.345,0.55,0.895,0.157,0.08,0.252,24,0.28,10,6,0.369,0.69,0.658,0.911,0.393,0.604,0.092,0.258,0.918149466,0.167,0.38,0.453,0.12,0.473,0.205,0.535,0.291,0.174,1.4,16.4,0.345,0.717,0.066,0.429,0.48
10,Austin Riley,ATL,25,159,693,615,0.273,0.349,0.528,0.878,0.242,0.082,0.315,38,0.255,17,4,0.345,0.575,0.773,0.859,0.399,0.631,0.132,0.254,0.801065719,0.235,0.379,0.386,0.157,0.508,0.218,0.415,0.344,0.242,3,12.9,0.377,0.845,0.071,0.414,0.4885
11,Juan Soto,- - -,23,153,664,524,0.242,0.401,0.452,0.853,0.145,0.203,0.249,27,0.21,4,0,0.199,0.71,0.591,0.892,0.392,0.536,0.06,0.259,1.114882507,0.162,0.471,0.368,0.124,0.473,0.172,0.381,0.381,0.238,3.5,9.1,0.285,0.724,0.067,0.412,0.486
12,Mookie Betts,LAD,29,142,639,572,0.269,0.34,0.533,0.873,0.163,0.086,0.272,35,0.264,8,4,0.26,0.676,0.696,0.939,0.417,0.617,0.067,0.239,1.075170843,0.186,0.337,0.477,0.097,0.447,0.156,0.453,0.337,0.21,6,18.6,0.362,0.789,0.074,0.435,0.4735
