,Name,Team,Age,G,PA,AB,AVG,OBP,SLG,OPS,K%,BB%,BABIP,HR,ISO,HBP,SF,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,LD%,GB%,FB%,Barrel%,HardHit%,HR/FB,Pull%,Cent%,Oppo%,Spd,SweetSpot%,M-Swing%,Meat%,Edge%,LDFB_EV
0,Aaron Judge,NYY,30,135,597,497,0.304,0.41,0.682,1.092,0.255,0.146,0.327,55,0.378,5,4,0.272,0.521,0.667,0.855,0.394,0.586,0.117,0.293,0.819248826,0.181,0.375,0.444,0.261,0.606,0.355,0.461,0.324,0.215,4.3,0.38,0.762,0.07,0.426,0.501
1,Paul Goldschmidt,STL,34,132,576,495,0.327,0.415,0.612,1.027,0.208,0.125,0.37,35,0.285,4,3,0.28,0.678,0.62,0.833,0.409,0.599,0.096,0.29,0.949748744,0.188,0.392,0.421,0.124,0.468,0.22,0.365,0.37,0.265,3.6,0.317,0.646,0.069,0.429,0.479
2,Mike Trout,LAA,30,98,407,357,0.277,0.366,0.619,0.985,0.287,0.108,0.319,33,0.342,6,0,0.265,0.609,0.672,0.785,0.415,0.555,0.121,0.298,0.805369128,0.179,0.246,0.575,0.196,0.504,0.239,0.425,0.292,0.283,3.7,0.377,0.706,0.07,0.444,0.475
3,Yordan Alvarez,HOU,25,114,475,397,0.29,0.394,0.582,0.976,0.194,0.141,0.3,31,0.292,5,6,0.268,0.632,0.673,0.893,0.383,0.535,0.089,0.254,0.984177215,0.222,0.402,0.376,0.19,0.601,0.265,0.395,0.402,0.203,3,0.396,0.769,0.065,0.409,0.491
4,Bryce Harper,PHI,29,76,325,284,0.31,0.385,0.56,0.944,0.2,0.105,0.351,15,0.25,3,4,0.391,0.626,0.832,0.812,0.373,0.637,0.15,0.237,0.808823529,0.282,0.386,0.332,0.135,0.498,0.205,0.395,0.35,0.256,5,0.395,0.895,0.063,0.423,0.481
5,Freddie Freeman,LAD,32,137,611,535,0.325,0.398,0.516,0.914,0.146,0.105,0.359,18,0.191,5,7,0.325,0.765,0.761,0.872,0.401,0.601,0.085,0.206,0.856332703,0.285,0.377,0.338,0.093,0.481,0.118,0.34,0.344,0.316,5,0.442,0.89,0.066,0.438,0.473
6,Austin Riley,ATL,25,136,595,531,0.284,0.355,0.557,0.912,0.24,0.077,0.325,35,0.273,14,4,0.351,0.571,0.775,0.863,0.407,0.63,0.133,0.25,0.795131846,0.24,0.355,0.406,0.163,0.52,0.22,0.418,0.337,0.245,3.1,0.388,0.842,0.071,0.411,0.4885
7,Nolan Arenado,STL,31,129,545,491,0.299,0.361,0.55,0.911,0.123,0.081,0.298,28,0.251,6,4,0.362,0.718,0.674,0.902,0.388,0.617,0.088,0.246,1.100257069,0.22,0.29,0.491,0.086,0.4,0.133,0.474,0.327,0.199,2.7,0.367,0.706,0.066,0.406,0.465
8,Mookie Betts,LAD,29,119,545,486,0.278,0.349,0.56,0.908,0.16,0.088,0.276,33,0.282,7,4,0.259,0.684,0.693,0.941,0.42,0.633,0.065,0.239,1.057742782,0.176,0.342,0.481,0.104,0.447,0.17,0.467,0.315,0.218,6.7,0.352,0.758,0.074,0.435,0.4725
9,Jose Altuve,HOU,32,120,519,453,0.287,0.376,0.519,0.894,0.148,0.11,0.3,24,0.232,8,1,0.312,0.767,0.656,0.902,0.369,0.611,0.069,0.24,1.016483516,0.195,0.408,0.397,0.082,0.31,0.163,0.523,0.316,0.162,4.8,0.356,0.671,0.08,0.393,0.4575
10,Michael Harris II,ATL,21,91,348,327,0.312,0.353,0.544,0.898,0.244,0.046,0.381,16,0.232,5,0,0.431,0.593,0.687,0.856,0.405,0.572,0.144,0.297,0.909433962,0.174,0.577,0.249,0.107,0.459,0.267,0.364,0.397,0.24,7.4,0.336,0.811,0.07,0.438,0.482
11,Manny Machado,SDP,29,128,551,494,0.302,0.37,0.532,0.903,0.2,0.098,0.342,26,0.231,1,2,0.334,0.662,0.77,0.86,0.387,0.632,0.111,0.238,0.965,0.207,0.383,0.409,0.101,0.503,0.165,0.427,0.329,0.244,4.2,0.358,0.85,0.07,0.434,0.478
12,Eloy Jimenez,CHW,25,64,246,219,0.306,0.374,0.502,0.876,0.203,0.093,0.346,12,0.196,2,2,0.359,0.619,0.732,0.789,0.374,0.63,0.144,0.271,1.155405405,0.158,0.509,0.333,0.152,0.544,0.211,0.368,0.404,0.228,0.8,0.305,0.817,0.068,0.405,0.4835
13,Juan Soto,- - -,23,131,568,445,0.24,0.404,0.456,0.86,0.139,0.208,0.243,24,0.216,4,0,0.203,0.722,0.584,0.884,0.384,0.53,0.061,0.26,1.123076923,0.153,0.463,0.384,0.12,0.477,0.171,0.361,0.391,0.249,4,0.281,0.712,0.066,0.41,0.485
14,Shohei Ohtani,LAA,27,133,568,495,0.267,0.356,0.535,0.891,0.246,0.116,0.305,33,0.269,4,3,0.317,0.609,0.732,0.818,0.404,0.595,0.128,0.268,0.827505828,0.197,0.408,0.394,0.173,0.48,0.236,0.383,0.346,0.271,5.1,0.346,0.857,0.068,0.447,0.486
15,Xander Bogaerts,BOS,29,131,552,490,0.318,0.384,0.473,0.858,0.192,0.087,0.379,13,0.155,8,6,0.315,0.654,0.663,0.842,0.405,0.603,0.107,0.294,1.056910569,0.221,0.467,0.313,0.064,0.4,0.107,0.392,0.356,0.251,3.8,0.298,0.697,0.077,0.434,0.463
16,Nathaniel Lowe,TEX,26,132,543,501,0.303,0.357,0.503,0.86,0.219,0.074,0.358,24,0.2,2,0,0.348,0.665,0.76,0.866,0.432,0.63,0.11,0.235,0.762,0.226,0.47,0.304,0.097,0.44,0.207,0.343,0.385,0.272,3,0.341,0.843,0.073,0.445,0.466
17,Joc Pederson,SFG,30,115,369,324,0.265,0.347,0.522,0.868,0.225,0.095,0.288,22,0.256,7,3,0.313,0.635,0.676,0.891,0.395,0.566,0.098,0.26,0.876811594,0.186,0.36,0.455,0.156,0.541,0.2,0.398,0.357,0.246,2.6,0.34,0.783,0.074,0.41,0.482
18,Andres Gimenez,CLE,23,123,463,410,0.302,0.37,0.478,0.848,0.192,0.058,0.353,15,0.176,19,3,0.406,0.652,0.697,0.843,0.405,0.631,0.128,0.278,0.884507042,0.217,0.439,0.344,0.067,0.372,0.139,0.405,0.366,0.229,5.5,0.327,0.697,0.073,0.417,0.461
19,Rafael Devers,BOS,25,120,524,477,0.287,0.347,0.526,0.874,0.181,0.073,0.312,25,0.239,7,2,0.413,0.664,0.78,0.794,0.386,0.62,0.147,0.252,1.026809651,0.188,0.415,0.397,0.117,0.51,0.164,0.349,0.398,0.253,3,0.325,0.892,0.075,0.422,0.483
20,William Contreras,ATL,24,76,299,267,0.27,0.344,0.509,0.854,0.271,0.104,0.324,17,0.24,0,1,0.303,0.576,0.667,0.778,0.39,0.602,0.136,0.308,0.994680851,0.139,0.535,0.326,0.139,0.476,0.279,0.417,0.369,0.214,3.9,0.305,0.819,0.059,0.408,0.486
21,Jose Ramirez,CLE,29,132,570,506,0.277,0.347,0.524,0.871,0.114,0.093,0.271,26,0.247,5,6,0.319,0.801,0.678,0.919,0.387,0.523,0.06,0.218,0.945031712,0.159,0.327,0.515,0.063,0.378,0.113,0.463,0.338,0.199,5,0.333,0.709,0.065,0.433,0.457
22,Alex Bregman,HOU,28,132,560,467,0.266,0.373,0.467,0.84,0.127,0.139,0.271,20,0.201,7,8,0.212,0.732,0.688,0.913,0.392,0.568,0.058,0.232,1.209580838,0.183,0.337,0.48,0.079,0.384,0.103,0.475,0.329,0.196,2,0.36,0.757,0.069,0.424,0.465
23,Jazz Chisholm Jr.,MIA,24,60,241,213,0.254,0.325,0.535,0.86,0.274,0.087,0.294,14,0.282,3,3,0.307,0.587,0.677,0.778,0.427,0.593,0.137,0.301,0.890909091,0.218,0.374,0.408,0.166,0.457,0.233,0.5,0.313,0.187,7.9,0.373,0.759,0.061,0.443,0.4775
24,Yandy Diaz,TBR,30,123,511,431,0.29,0.399,0.42,0.819,0.102,0.143,0.315,8,0.13,6,1,0.229,0.747,0.663,0.939,0.424,0.513,0.051,0.226,1.134328358,0.192,0.495,0.313,0.047,0.476,0.067,0.3,0.374,0.326,2.3,0.3,0.742,0.081,0.424,0.476
