,Season,Name,xHR%,HR%
1227,2018,Mallex Smith,0.011,0.037
1229,2021,Nicky Lopez,0.019,0.035
1231,2021,David Fletcher,0.021,0.03
1212,2016,Adeiny Hechavarria,0.044,0.055
1211,2021,Elvis Andrus,0.045,0.055
1186,2016,Yunel Escobar,0.065,0.088
1183,2021,Kevin Newman,0.081,0.09
1179,2017,Alcides Escobar,0.093,0.095
1158,2015,Ender Inciarte,0.1,0.107
1160,2015,Elvis Andrus,0.102,0.106
1161,2018,Jose Pirela,0.11,0.106
1143,2021,Isiah Kiner-Falefa,0.114,0.118
1107,2016,Elvis Andrus,0.125,0.141
1124,2016,Yonder Alonso,0.13,0.132
1138,2016,Kevin Pillar,0.13,0.12
1127,2019,Leury Garcia,0.136,0.129
1120,2018,Gerardo Parra,0.143,0.135
1088,2019,Buster Posey,0.144,0.157
1106,2021,Josh Harrison,0.151,0.143
1085,2018,Jean Segura,0.151,0.158
1102,2021,David Peralta,0.152,0.149
1089,2017,Cesar Hernandez,0.155,0.156
1072,2017,Tucker Barnhart,0.155,0.165
1082,2018,Lorenzo Cain,0.16,0.161
1057,2018,Ben Zobrist,0.161,0.173
1087,2017,Xander Bogaerts,0.166,0.157
988,2015,A.J. Pierzynski,0.17,0.206
1066,2018,Whit Merrifield,0.173,0.17
1036,2015,Kevin Kiermaier,0.174,0.187
1035,2021,Amed Rosario,0.176,0.187
1091,2019,Jarrod Dyson,0.176,0.155
1007,2018,Nick Markakis,0.179,0.199
1018,2019,Jean Segura,0.179,0.194
1055,2021,Gleyber Torres,0.181,0.174
1041,2018,Willson Contreras,0.189,0.184
951,2019,Yadier Molina,0.191,0.221
1037,2018,Starlin Castro,0.191,0.185
967,2017,Andrelton Simmons,0.193,0.216
974,2016,Dustin Pedroia,0.198,0.215
899,2018,Adam Jones,0.213,0.245
966,2016,Melky Cabrera,0.214,0.217
1015,2015,Nick Ahmed,0.215,0.196
1009,2018,Freddy Galvis,0.216,0.198
987,2016,Lorenzo Cain,0.218,0.207
942,2017,Yolmer Sanchez,0.223,0.225
970,2021,Nick Solak,0.224,0.215
1006,2017,David Freese,0.23,0.199
915,2017,Jorge Polanco,0.234,0.239
953,2018,Kolten Wong,0.237,0.221
906,2017,David Peralta,0.241,0.243
882,2017,Odubel Herrera,0.245,0.249
893,2017,Trea Turner,0.245,0.246
896,2017,Brandon Crawford,0.246,0.246
903,2015,Ben Zobrist,0.247,0.243
909,2017,Ben Zobrist,0.252,0.242
871,2015,Nick Castellanos,0.255,0.252
809,2015,Mookie Betts,0.256,0.275
744,2017,Whit Merrifield,0.259,0.302
905,2021,James McCann,0.264,0.243
833,2017,Jose Reyes,0.267,0.267
840,2015,Neil Walker,0.27,0.265
805,2018,Kevin Pillar,0.271,0.277
846,2015,Cody Asche,0.277,0.263
868,2019,Niko Goodrum,0.285,0.254
824,2018,Lewis Brinson,0.287,0.271
759,2017,Evan Longoria,0.289,0.295
764,2017,J.T. Realmuto,0.299,0.294
772,2021,Dylan Carlson,0.302,0.291
760,2017,Josh Harrison,0.302,0.295
704,2021,Andrew Benintendi,0.312,0.316
668,2015,Aramis Ramirez,0.318,0.329
761,2021,Hunter Dozier,0.322,0.295
658,2018,Brian Dozier,0.327,0.332
739,2016,Carlos Correa,0.327,0.303
680,2016,Ian Desmond,0.33,0.325
715,2017,Neil Walker,0.33,0.312
594,2017,Robinson Cano,0.334,0.355
564,2018,Marcell Ozuna,0.339,0.366
605,2016,Addison Russell,0.34,0.351
612,2015,Trevor Plouffe,0.34,0.348
538,2016,Eric Hosmer,0.348,0.375
577,2018,Scooter Gennett,0.352,0.361
706,2015,Danny Espinosa,0.359,0.316
514,2017,Mitch Moreland,0.359,0.382
649,2016,Eugenio Suarez,0.36,0.335
679,2018,Niko Goodrum,0.361,0.325
654,2021,Jonathan India,0.362,0.333
626,2021,Enrique Hernandez,0.364,0.342
434,2021,Wilmer Flores,0.364,0.413
488,2019,Starling Marte,0.364,0.392
558,2018,Odubel Herrera,0.37,0.369
623,2021,Robbie Grossman,0.373,0.343
556,2016,Aledmys Diaz,0.373,0.37
592,2021,Jazz Chisholm Jr,0.382,0.355
560,2018,Yan Gomes,0.384,0.368
631,2021,Wil Myers,0.391,0.34
421,2017,Hanley Ramirez,0.397,0.416
441,2019,Mookie Betts,0.399,0.411
411,2018,Teoscar Hernandez,0.404,0.421
515,2016,Cameron Rupp,0.405,0.382
495,2018,Matt Chapman,0.408,0.39
338,2021,Freddie Freeman,0.411,0.446
358,2021,Justin Turner,0.414,0.441
410,2019,Todd Frazier,0.417,0.421
417,2021,Tyler Naquin,0.42,0.419
361,2019,Anthony Rizzo,0.421,0.44
402,2019,Shohei Ohtani,0.422,0.424
398,2016,J.D. Martinez,0.423,0.426
280,2017,Manny Machado,0.427,0.478
334,2015,Evan Gattis,0.433,0.447
391,2018,Gregory Polanco,0.434,0.43
397,2016,Mike Trout,0.438,0.426
362,2015,Ryan Braun,0.441,0.44
394,2018,Rafael Devers,0.45,0.429
309,2017,Kendrys Morales,0.452,0.461
267,2018,David Peralta,0.463,0.489
275,2016,Hanley Ramirez,0.47,0.484
341,2018,Juan Soto,0.472,0.445
245,2021,Jared Walsh,0.475,0.496
408,2018,Justin Smoak,0.478,0.421
288,2016,Curtis Granderson,0.479,0.474
302,2018,Aaron Hicks,0.493,0.465
279,2021,Josh Donaldson,0.502,0.479
320,2017,Yasmani Grandal,0.504,0.456
300,2021,Ian Happ,0.511,0.467
209,2019,Rowdy Tellez,0.516,0.513
169,2017,Yonder Alonso,0.531,0.537
155,2017,Scooter Gennett,0.534,0.543
117,2017,Scott Schebler,0.549,0.565
177,2018,Matt Carpenter,0.556,0.532
78,2019,Josh Bell,0.559,0.604
59,2021,Marcus Semien,0.564,0.622
77,2019,Max Kepler,0.57,0.604
79,2016,Brandon Moss,0.605,0.603
27,2016,Jedd Gyorko,0.616,0.685
50,2021,Tyler O'Neill,0.621,0.633
32,2015,Nelson Cruz,0.629,0.672
19,2016,Mark Trumbo,0.64,0.705
76,2019,Aaron Judge,0.642,0.604
127,2019,Josh Donaldson,0.645,0.561
51,2017,Logan Morrison,0.66,0.632
107,2017,Mike Zunino,0.662,0.575
44,2015,Bryce Harper,0.665,0.642
37,2017,Khris Davis,0.676,0.66
2,2019,Nelson Cruz,0.71,0.787
5,2021,Fernando Tatis Jr,0.729,0.769
17,2017,Cody Bellinger,0.742,0.712
13,2018,Max Muncy,0.762,0.728
3,2019,Miguel Sano,0.875,0.774
