,Season,Name,xHR%,HR%
272,2019,JD Davis,5.342,4.86
106,2015,Josh Donaldson,4.698,5.77
3,2019,Miguel Sano,7.104,7.74
515,2016,Cameron Rupp,3.202,3.82
551,2016,Melvin Upton Jr,3.269,3.71
955,2018,Carlos Gomez,2.187,2.21
433,2017,Ryon Healy,3.639,4.13
440,2021,Anthony Santander,4.325,4.11
607,2019,Asdrubal Cabrera,3.899,3.5
682,2017,Nomar Mazara,3.025,3.25
1233,2015,Eric Sogard,0.853,0.25
963,2017,Jed Lowrie,3.52,2.17
303,2015,Adam Jones,3.876,4.65
969,2021,Manuel Margot,1.745,2.16
265,2019,Kris Bryant,4.554,4.89
648,2016,Didi Gregorius,3.127,3.35
552,2016,Matt Carpenter,4.5,3.71
547,2015,Miguel Montero,4.873,3.72
192,2018,Manny Machado,4.433,5.22
617,2017,Carlos Santana,2.993,3.45
237,2019,Paul Goldschmidt,5.115,4.99
656,2015,Logan Morrison,2.253,3.33
124,2021,Ryan Mountcastle,5.598,5.63
691,2018,Carlos Correa,3.167,3.21
369,2016,Corey Dickerson,3.748,4.38
470,2021,Harrison Bader,2.788,3.99
688,2019,Tommy Pham,3.676,3.21
469,2017,Carlos Gomez,4.002,3.99
714,2017,Neil Walker,3.231,3.12
1077,2021,Jeff McNeil,1.772,1.64
0,2017,JD Martinez,8.311,9.2
840,2015,Neil Walker,2.705,2.65
388,2021,Jesus Aguilar,3.795,4.31
1143,2021,Isiah Kiner-Falefa,1.436,1.18
1048,2016,Jose Ramirez,2.369,1.78
1082,2018,Lorenzo Cain,2.404,1.61
1110,2018,Elvis Andrus,1.224,1.4
673,2018,Mitch Moreland,3.11,3.27
632,2021,Eddie Rosario,3.632,3.4
203,2015,Todd Frazier,4.317,5.16
86,2016,Edwin Encarnacion,5.271,5.98
462,2018,Yonder Alonso,4.066,4.01
822,2019,Daniel Murphy,3.42,2.72
765,2018,Andrew McCutchen,3.355,2.93
113,2017,Edwin Encarnacion,5.29,5.68
264,2016,Carlos Beltran,4.585,4.89
164,2017,George Springer,4.664,5.41
6,2017,Aaron Judge,7.561,7.67
211,2021,Jorge Polanco,5.011,5.12
1156,2016,Chris Owings,2.001,1.07
1112,2015,Jacoby Ellsbury,2.323,1.4
698,2015,Chris Coghlan,3.014,3.18
832,2017,Cory Spangenberg,3.264,2.67
461,2018,Anthony Rendon,4.511,4.02
1128,2015,Juan Lagares,0.381,1.29
1055,2021,Gleyber Torres,2.195,1.74
1043,2015,JJ Hardy,1.406,1.83
755,2015,AJ Pollock,3.159,2.97
9,2019,Christian Yelich,7.336,7.59
642,2019,Jonathan Villar,3.287,3.36
986,2019,Jose Iglesias,3.036,2.08
154,2017,Nolan Arenado,5.191,5.44
1091,2019,Jarrod Dyson,1.396,1.55
383,2017,Trevor Story,3.557,4.32
843,2016,Chase Headley,3.376,2.65
243,2017,Chris Davis,5.39,4.96
228,2016,Neil Walker,4.753,5.02
817,2021,Jed Lowrie,3.007,2.73
273,2016,Kendrys Morales,4.617,4.85
926,2015,Jimmy Rollins,1.672,2.31
475,2015,Stephen Drew,2.589,3.97
100,2021,Nick Castellanos,6.905,5.81
1002,2021,Ben Gamel,3.793,2.0
744,2017,Whit Merrifield,3.33,3.02
254,2019,Randal Grichuk,4.193,4.94
