,Season,Name,xHR%,HR%
1117,2015,Francisco Cervelli,3.176,1.37
1146,2015,Ryan Goins,3.076,1.17
1214,2016,Ender Inciarte,2.152,0.52
1210,2015,Dee Strange-Gordon,1.749,0.61
377,2016,Marcus Semien,3.833,4.35
623,2021,Robbie Grossman,4.348,3.43
921,2017,Gerardo Parra,2.886,2.35
237,2019,Paul Goldschmidt,3.938,4.99
158,2019,Eddie Rosario,4.104,5.42
757,2015,Ian Desmond,3.188,2.96
683,2019,Marwin Gonzalez,3.525,3.24
1180,2019,Miguel Rojas,2.359,0.95
894,2017,Manuel Margot,2.863,2.46
92,2018,Hunter Renfroe,4.101,5.9
365,2018,Alex Bregman,4.466,4.4
318,2017,Francisco Lindor,3.675,4.56
265,2019,Kris Bryant,4.265,4.89
90,2019,Alex Bregman,3.614,5.94
932,2016,Odubel Herrera,2.735,2.29
434,2021,Wilmer Flores,4.167,4.13
455,2021,Luis Urias,4.488,4.04
509,2019,Brian Anderson,3.584,3.85
942,2021,Christian Walker,4.211,2.25
1137,2021,Christian Vazquez,2.92,1.2
4,2017,Joey Gallo,3.714,7.71
184,2019,Anthony Rendon,4.047,5.26
294,2017,Jake Lamb,3.773,4.72
738,2016,Carlos Correa,3.438,3.03
379,2021,Matt Chapman,4.132,4.34
425,2018,Matt Kemp,4.347,4.15
1121,2015,Jose Reyes,4.229,1.35
790,2018,Kris Bryant,4.796,2.84
12,2018,Khris Davis,2.909,7.34
976,2018,Marcus Semien,4.683,2.13
923,2016,Aaron Hill,3.944,2.33
248,2016,Justin Upton,3.729,4.95
954,2016,Angel Pagan,3.373,2.21
82,2015,Mike Trout,4.647,6.01
863,2018,Wilmer Flores,4.027,2.56
1048,2016,Jose Ramirez,3.589,1.78
404,2018,Robinson Chirinos,5.0,4.23
575,2015,Brandon Moss,5.391,3.61
309,2017,Kendrys Morales,3.625,4.61
975,2015,JT Realmuto,3.585,2.14
86,2016,Edwin Encarnacion,4.192,5.98
402,2019,Shohei Ohtani,4.001,4.24
1030,2021,Christian Yelich,2.924,1.89
1148,2021,Raimel Tapia,1.922,1.13
267,2018,David Peralta,3.309,4.89
764,2017,JT Realmuto,4.707,2.94
869,2017,Kevin Pillar,3.801,2.53
23,2019,Edwin Encarnacion,3.706,7.0
317,2018,AJ Pollock,4.532,4.57
1062,2017,Jacoby Ellsbury,3.695,1.71
308,2017,Rougned Odor,4.288,4.61
967,2017,Andrelton Simmons,4.445,2.16
716,2019,Dansby Swanson,3.984,3.12
449,2019,Jeff McNeil,3.904,4.06
1173,2017,Kolten Wong,3.648,0.97
343,2017,Matt Holliday,3.428,4.45
1085,2018,Jean Segura,3.28,1.58
141,2016,Yasmany Tomas,3.595,5.51
918,2016,Dexter Fowler,3.641,2.36
958,2016,Francisco Lindor,3.33,2.19
1238,2015,Michael Bourn,2.067,0.0
542,2021,Joc Pederson,3.64,3.74
469,2017,Carlos Gomez,3.639,3.99
320,2017,Yasmani Grandal,3.5,4.56
202,2019,Rougned Odor,4.445,5.16
1049,2018,Victor Martinez,3.916,1.77
342,2019,Ryan McMahon,3.367,4.45
149,2016,Robinson Cano,3.131,5.45
978,2021,Eric Hosmer,2.787,2.12
721,2016,Anthony Rendon,3.987,3.09
301,2016,Adam Lind,3.627,4.65
74,2017,Nelson Cruz,3.66,6.05
245,2021,Jared Walsh,3.806,4.96
262,2019,Francisco Lindor,3.8,4.89
582,2017,Ian Kinsler,3.684,3.59
1002,2021,Ben Gamel,3.328,2.0
1031,2015,Chase Utley,4.029,1.89
899,2018,Adam Jones,3.937,2.45
227,2019,Charlie Blackmon,3.965,5.05
7,2019,Pete Alonso,3.073,7.65
641,2018,Rougned Odor,4.661,3.36
1114,2015,Gregory Polanco,3.932,1.38
1116,2018,Jordy Mercer,3.799,1.38
1041,2018,Willson Contreras,4.47,1.84
795,2015,Dustin Pedroia,3.609,2.82
332,2018,Ryan Braun,3.737,4.47
194,2018,Mookie Betts,4.597,5.21
255,2017,Curtis Granderson,4.493,4.93
123,2021,Miguel Sano,4.391,5.64
48,2017,Mike Moustakas,3.427,6.35
275,2016,Hanley Ramirez,3.328,4.84
287,2017,Jonathan Schoop,3.945,4.74
240,2017,Randal Grichuk,5.192,4.98
552,2016,Matt Carpenter,4.883,3.71
1057,2018,Ben Zobrist,4.446,1.73
1065,2016,Derek Dietrich,3.803,1.7
701,2018,Carlos Gonzalez,3.259,3.17
1056,2016,DJ LeMahieu,2.31,1.73
964,2018,Jose Altuve,3.546,2.17
862,2018,Trea Turner,4.284,2.57
1099,2015,Joe Mauer,2.103,1.5
387,2019,Khris Davis,3.82,4.32
207,2015,Colby Rasmus,4.801,5.15
231,2019,Eduardo Escobar,3.938,5.01
63,2021,Joey Gallo,3.946,6.17
1,2017,Giancarlo Stanton,2.32,8.53
726,2019,Robinson Cano,3.339,3.07
409,2019,Todd Frazier,4.746,4.21
398,2016,JD Martinez,4.03,4.26
293,2021,Paul DeJong,4.113,4.73
110,2021,Rafael Devers,4.111,5.72
798,2018,Chris Taylor,3.587,2.81
133,2019,Austin Meadows,4.348,5.58
276,2017,Brian Dozier,4.469,4.82
586,2019,Jason Heyward,3.728,3.57
440,2021,Anthony Santander,4.198,4.11
198,2018,Yasiel Puig,3.84,5.18
854,2016,Leonys Martin,4.657,2.6
773,2019,Rio Ruiz,3.937,2.91
841,2015,Lorenzo Cain,3.173,2.65
