,Season,Name,xISO,ISO
166,2018,Giancarlo Stanton,0.249,0.243
243,2017,Chris Davis,0.235,0.208
825,2017,Brandon Drury,0.155,0.18
684,2015,Brandon Belt,0.211,0.197
58,2019,Kyle Schwarber,0.262,0.282
939,2015,Victor Martinez,0.155,0.12
175,2015,Alex Rodriguez,0.228,0.235
761,2021,Hunter Dozier,0.22,0.179
354,2021,J.D. Martinez,0.246,0.232
326,2016,Charlie Blackmon,0.172,0.228
293,2021,Paul DeJong,0.228,0.194
606,2018,Ozzie Albies,0.165,0.191
919,2018,Brandon Crawford,0.132,0.139
496,2019,Robinson Chirinos,0.202,0.205
20,2015,Chris Davis,0.26,0.3
649,2016,Eugenio Suarez,0.172,0.163
1088,2019,Buster Posey,0.129,0.111
1052,2015,Melky Cabrera,0.124,0.121
1106,2021,Josh Harrison,0.16,0.121
159,2018,Aaron Judge,0.275,0.249
38,2019,Matt Olson,0.27,0.277
897,2015,Yangervis Solarte,0.157,0.158
981,2017,Buster Posey,0.136,0.142
445,2017,Matt Kemp,0.182,0.187
848,2018,Dansby Swanson,0.168,0.157
342,2019,Ryan McMahon,0.186,0.2
700,2016,Mark Reynolds,0.165,0.168
191,2019,Kole Calhoun,0.229,0.236
306,2017,Wil Myers,0.225,0.22
146,2019,J.D. Martinez,0.225,0.252
1110,2018,Elvis Andrus,0.139,0.111
1199,2018,Billy Hamilton,0.065,0.091
48,2017,Mike Moustakas,0.213,0.249
616,2019,Michael Brantley,0.159,0.191
376,2021,Willson Contreras,0.221,0.201
512,2017,Tim Beckham,0.185,0.176
528,2015,Kyle Seager,0.194,0.185
359,2016,Troy Tulowitzki,0.211,0.189
1133,2017,Jose Iglesias,0.08,0.114
299,2021,Eduardo Escobar,0.227,0.219
1227,2018,Mallex Smith,0.084,0.11
1074,2019,Andrelton Simmons,0.161,0.101
196,2021,Nolan Arenado,0.231,0.239
1064,2016,Starling Marte,0.15,0.145
1000,2019,Kolten Wong,0.121,0.138
1050,2019,Lorenzo Cain,0.125,0.112
960,2019,Hanser Alberto,0.13,0.116
853,2016,Coco Crisp,0.136,0.166
375,2015,Adrian Gonzalez,0.188,0.205
158,2019,Eddie Rosario,0.209,0.224
295,2021,Andrew McCutchen,0.215,0.222
708,2015,Andre Ethier,0.16,0.192
1190,2016,Andrelton Simmons,0.096,0.085
45,2018,Mike Trout,0.268,0.316
820,2019,Manuel Margot,0.164,0.153
545,2018,Nomar Mazara,0.182,0.178
1018,2019,Jean Segura,0.117,0.141
1222,2015,Omar Infante,0.148,0.098
173,2018,Ronald Acuna Jr.,0.246,0.259
730,2016,Welington Castillo,0.167,0.159
475,2015,Stephen Drew,0.17,0.18
621,2015,Josh Reddick,0.164,0.177
1131,2019,Robbie Grossman,0.108,0.107
1035,2021,Amed Rosario,0.11,0.127
722,2021,Tim Anderson,0.154,0.159
810,2017,Carlos Beltran,0.179,0.152
1069,2021,Miguel Rojas,0.133,0.127
996,2015,Marcell Ozuna,0.159,0.124
720,2016,Javier Baez,0.18,0.15
558,2018,Odubel Herrera,0.157,0.165
801,2021,Nathaniel Lowe,0.168,0.151
1159,2019,Mallex Smith,0.1,0.108
338,2021,Freddie Freeman,0.222,0.203
118,2018,Nolan Arenado,0.2,0.264
1225,2015,Delino DeShields,0.111,0.113
1123,2017,Adam Frazier,0.098,0.123
467,2018,Justin Bour,0.217,0.177
549,2021,Bryan Reynolds,0.207,0.22
1108,2017,Guillermo Heredia,0.107,0.088
572,2017,Jose Altuve,0.164,0.202
709,2017,Jackie Bradley Jr.,0.178,0.158
1196,2018,Alcides Escobar,0.114,0.082
1209,2021,Myles Straw,0.099,0.076
811,2019,Orlando Arcia,0.132,0.128
629,2016,Paul Goldschmidt,0.173,0.192
398,2016,J.D. Martinez,0.239,0.228
1161,2018,Jose Pirela,0.11,0.096
597,2018,Carlos Santana,0.203,0.186
476,2019,Maikel Franco,0.199,0.175
992,2018,Jose Peraza,0.122,0.128
94,2016,Nolan Arenado,0.225,0.275
1193,2016,Jose Iglesias,0.089,0.081
795,2015,Dustin Pedroia,0.13,0.15
1089,2017,Cesar Hernandez,0.118,0.127
1168,2016,Alcides Escobar,0.096,0.089
153,2019,Eric Thames,0.229,0.258
24,2018,Joey Gallo,0.306,0.292
1062,2017,Jacoby Ellsbury,0.109,0.138
418,2021,Mookie Betts,0.226,0.223
923,2016,Aaron Hill,0.146,0.116
704,2021,Andrew Benintendi,0.216,0.166
270,2017,Steven Souza Jr.,0.219,0.22
197,2019,Kyle Seager,0.207,0.229
110,2021,Rafael Devers,0.265,0.259
455,2021,Luis Urias,0.213,0.196
292,2019,Xander Bogaerts,0.214,0.246
989,2018,Josh Bell,0.157,0.15
544,2018,Ronald Guzman,0.174,0.181
47,2016,Chris Carter,0.265,0.277
607,2019,Asdrubal Cabrera,0.191,0.181
917,2018,Colin Moran,0.151,0.13
574,2021,Brendan Rodgers,0.165,0.186
1077,2021,Jeff McNeil,0.141,0.109
550,2019,Brian Goodwin,0.182,0.208
591,2018,Ian Desmond,0.139,0.186
451,2019,Nomar Mazara,0.206,0.2
632,2021,Eddie Rosario,0.19,0.177
1188,2015,Billy Hamilton,0.091,0.063
69,2021,Rhys Hoskins,0.283,0.283
1132,2015,Yonder Alonso,0.114,0.099
513,2021,Anthony Rizzo,0.202,0.192
416,2018,Jonathan Schoop,0.159,0.184
756,2018,Francisco Cervelli,0.206,0.172
341,2018,Juan Soto,0.186,0.225
37,2017,Khris Davis,0.274,0.281
768,2016,Xander Bogaerts,0.164,0.152
640,2018,Jurickson Profar,0.151,0.204
339,2018,Kendrys Morales,0.228,0.189
19,2016,Mark Trumbo,0.253,0.277
448,2021,Carlos Correa,0.202,0.205
287,2017,Jonathan Schoop,0.189,0.211
543,2016,Russell Martin,0.194,0.167
517,2018,Albert Pujols,0.197,0.166
1073,2018,Scott Kingery,0.163,0.113
1232,2017,Dee Strange-Gordon,0.085,0.067
1208,2017,Billy Hamilton,0.072,0.088
634,2016,Stephen Piscotty,0.202,0.184
26,2021,Vladimir Guerrero Jr.,0.263,0.29
946,2018,Martin Maldonado,0.143,0.126
142,2015,Pedro Alvarez,0.195,0.227
884,2021,Yuli Gurriel,0.15,0.143
969,2021,Manuel Margot,0.164,0.128
958,2016,Francisco Lindor,0.137,0.134
161,2017,Paul Goldschmidt,0.235,0.265
