,Season,Name,xISO,ISO
404,2018,Robinson Chirinos,0.246,0.197
62,2017,Kyle Schwarber,0.259,0.256
395,2016,Joey Votto,0.181,0.225
666,2019,Eric Hosmer,0.16,0.16
594,2015,Matt Kemp,0.187,0.178
347,2019,Hunter Dozier,0.226,0.243
451,2019,Nomar Mazara,0.203,0.2
974,2016,Dustin Pedroia,0.106,0.131
1116,2018,Jordy Mercer,0.154,0.129
896,2017,Brandon Crawford,0.157,0.151
948,2017,Cameron Maybin,0.121,0.137
33,2015,Mark Teixeira,0.24,0.293
126,2017,Eric Thames,0.231,0.271
1105,2016,Jacoby Ellsbury,0.112,0.111
871,2015,Nick Castellanos,0.189,0.164
257,2017,Yasiel Puig,0.196,0.224
365,2018,Alex Bregman,0.22,0.246
521,2015,Curtis Granderson,0.222,0.198
522,2018,Mitch Haniger,0.202,0.208
310,2017,Matt Joyce,0.205,0.23
950,2015,Brad Miller,0.144,0.144
1167,2015,Jean Segura,0.076,0.079
1153,2018,Jose Iglesias,0.108,0.12
254,2019,Randal Grichuk,0.225,0.225
106,2015,Josh Donaldson,0.228,0.271
101,2017,Ian Happ,0.252,0.261
229,2016,Randal Grichuk,0.223,0.24
439,2019,Rhys Hoskins,0.237,0.228
45,2018,Mike Trout,0.271,0.316
972,2017,Brandon Phillips,0.112,0.131
274,2019,Manny Machado,0.197,0.206
581,2017,Corey Seager,0.194,0.184
931,2019,Adam Eaton,0.141,0.148
9,2019,Christian Yelich,0.252,0.342
557,2019,Enrique Hernandez,0.191,0.174
1170,2015,Jace Peterson,0.128,0.097
1154,2018,Robbie Grossman,0.129,0.111
481,2015,C.J. Cron,0.185,0.177
216,2018,Francisco Lindor,0.213,0.242
624,2019,Willy Adames,0.186,0.164
14,2021,Salvador Perez,0.281,0.271
892,2015,Dexter Fowler,0.154,0.161
68,2017,Lucas Duda,0.258,0.279
660,2017,Yadier Molina,0.179,0.166
1120,2018,Gerardo Parra,0.112,0.087
23,2019,Edwin Encarnacion,0.269,0.287
277,2019,Christian Walker,0.235,0.217
1187,2018,Jonathan Lucroy,0.108,0.084
852,2018,Yoan Moncada,0.219,0.164
304,2018,Yasmani Grandal,0.232,0.225
162,2018,Randal Grichuk,0.262,0.257
997,2016,J.T. Realmuto,0.137,0.126
139,2021,Yordan Alvarez,0.272,0.253
556,2016,Aledmys Diaz,0.159,0.21
904,2018,Jackie Bradley Jr.,0.22,0.169
211,2021,Jorge Polanco,0.232,0.235
819,2015,Asdrubal Cabrera,0.185,0.164
1020,2016,Brandon Crawford,0.151,0.156
55,2018,Nelson Cruz,0.244,0.252
639,2015,Shin-Soo Choo,0.197,0.187
104,2021,Matt Olson,0.25,0.269
1168,2016,Alcides Escobar,0.097,0.089
18,2019,Jorge Soler,0.277,0.304
547,2015,Miguel Montero,0.19,0.161
2,2019,Nelson Cruz,0.292,0.328
1088,2019,Buster Posey,0.132,0.111
1192,2021,Adam Frazier,0.094,0.106
1208,2017,Billy Hamilton,0.074,0.088
82,2015,Mike Trout,0.276,0.29
29,2021,Kyle Schwarber,0.282,0.288
1230,2015,Ben Revere,0.051,0.071
718,2015,Robinson Cano,0.171,0.159
616,2019,Michael Brantley,0.158,0.191
306,2017,Wil Myers,0.227,0.22
801,2021,Nathaniel Lowe,0.181,0.151
408,2018,Justin Smoak,0.238,0.216
287,2017,Jonathan Schoop,0.188,0.211
79,2016,Brandon Moss,0.268,0.259
1079,2018,Jason Heyward,0.138,0.125
276,2017,Brian Dozier,0.204,0.227
489,2021,Corey Seager,0.228,0.215
775,2018,Derek Dietrich,0.179,0.156
969,2021,Manuel Margot,0.163,0.128
813,2015,Francisco Lindor,0.125,0.169
1113,2021,Whit Merrifield,0.136,0.117
829,2016,Eduardo Nunez,0.144,0.145
455,2021,Luis Urias,0.214,0.196
1137,2021,Christian Vazquez,0.131,0.094
550,2019,Brian Goodwin,0.184,0.208
414,2015,Justin Upton,0.216,0.203
698,2015,Chris Coghlan,0.158,0.193
437,2019,Luke Voit,0.234,0.2
1132,2015,Yonder Alonso,0.121,0.099
805,2018,Kevin Pillar,0.181,0.174
364,2017,Michael A. Taylor,0.203,0.216
930,2017,Jason Heyward,0.141,0.13
1145,2017,Joe Mauer,0.116,0.112
949,2017,Denard Span,0.133,0.155
1139,2017,Nick Markakis,0.118,0.11
741,2017,Miguel Cabrera,0.204,0.149
357,2016,Jonathan Lucroy,0.178,0.208
1110,2018,Elvis Andrus,0.137,0.111
1235,2015,Ichiro Suzuki,0.093,0.05
812,2015,Eddie Rosario,0.167,0.192
353,2019,Marcus Semien,0.198,0.237
552,2016,Matt Carpenter,0.242,0.235
715,2018,Evan Longoria,0.191,0.169
1147,2015,Freddy Galvis,0.118,0.081
707,2016,Zack Cozart,0.148,0.172
599,2015,Miguel Cabrera,0.207,0.196
1107,2016,Elvis Andrus,0.118,0.136
352,2015,Hanley Ramirez,0.177,0.177
926,2015,Jimmy Rollins,0.141,0.133
1024,2016,Lonnie Chisenhall,0.136,0.153
42,2016,Nelson Cruz,0.266,0.268
386,2016,Adam Jones,0.191,0.171
604,2019,Corey Seager,0.181,0.211
505,2016,Jonathan Schoop,0.183,0.187
380,2017,Tommy Pham,0.195,0.214
75,2021,Giancarlo Stanton,0.269,0.243
1234,2019,Tony Wolters,0.074,0.067
730,2016,Welington Castillo,0.17,0.159
