Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Pitches,Swing%,Contact%,GB,FB,LD,Fair/Foul ratio
2015,Bryce Harper,WSN,153,654,20.00%,27.60%,60.90%,72.50%,84.40%,38.00%,54.60%,10.80%,22.60%,2682,0.447,0.754,151,154,87,
2013,Miguel Cabrera,DET,148,652,14.40%,33.10%,69.50%,77.50%,87.60%,40.80%,60.30%,9.60%,20.30%,2424,0.512,0.807,179,173,111,
2018,Mookie Betts,BOS,136,614,14.80%,19.80%,70.60%,57.00%,93.00%,42.60%,56.20%,5.00%,27.00%,2582,0.356,0.859,147,195,92,
2018,Mike Trout,LAA,140,608,20.40%,21.80%,69.00%,59.10%,91.70%,42.40%,58.10%,6.00%,26.10%,2543,0.376,0.841,110,159,82,
2010,Josh Hamilton,TEX,133,571,16.60%,36.50%,63.00%,80.70%,83.20%,40.60%,56.70%,13.50%,22.90%,2076,0.545,0.751,178,155,94,
2011,Jose Bautista,TOR,149,655,16.90%,24.70%,69.90%,60.20%,85.70%,39.10%,51.80%,7.70%,25.00%,2805,0.386,0.795,150,191,65,
2019,Christian Yelich,MIL,130,580,20.30%,30.60%,56.80%,71.20%,87.00%,35.90%,54.80%,11.80%,25.80%,2284,0.452,0.738,161,134,78,
2010,Joey Votto,CIN,150,648,19.30%,29.30%,69.20%,72.90%,82.40%,41.30%,58.00%,10.60%,23.80%,2547,0.473,0.776,192,148,85,
2011,Miguel Cabrera,DET,161,688,12.90%,31.10%,75.90%,75.30%,86.60%,38.90%,58.60%,8.20%,19.80%,2552,0.483,0.824,215,165,108,
2017,Mike Trout,LAA,114,507,17.80%,19.70%,68.10%,61.50%,90.10%,43.10%,60.00%,6.20%,25.50%,2127,0.377,0.835,116,142,58,
2019,Mike Trout,LAA,134,600,20.00%,20.50%,69.20%,61.20%,88.80%,40.10%,52.50%,6.50%,25.80%,2509,0.368,0.823,86,174,94,
2010,Miguel Cabrera,DET,150,648,14.70%,31.30%,67.60%,74.00%,86.00%,41.30%,54.30%,9.70%,21.30%,2368,0.49,0.791,181,192,87,
2017,Aaron Judge,NYY,155,678,30.70%,24.70%,44.80%,66.20%,80.60%,39.50%,56.80%,13.30%,29.00%,2989,0.411,0.676,118,146,74,
2017,Joey Votto,CIN,162,707,11.70%,15.80%,78.30%,71.40%,88.00%,46.80%,55.90%,5.90%,20.70%,2733,0.419,0.86,188,183,111,
2018,J.D. Martinez,BOS,150,649,22.50%,33.20%,58.90%,76.60%,83.40%,39.60%,59.50%,13.30%,25.40%,2519,0.504,0.737,187,146,97,
2015,Joey Votto,CIN,158,695,19.40%,19.10%,70.90%,62.00%,82.50%,42.40%,54.50%,7.60%,25.40%,3020,0.373,0.791,172,134,102,
2011,Ryan Braun,MIL,150,629,14.80%,31.00%,74.60%,62.70%,88.30%,40.70%,59.60%,7.60%,25.80%,2488,0.439,0.826,196,176,98,
2013,Mike Trout,LAA,157,716,19.00%,23.70%,70.30%,55.60%,89.00%,43.20%,53.50%,6.60%,26.60%,3015,0.375,0.823,191,164,106,
2018,Christian Yelich,MIL,147,651,20.70%,27.70%,62.20%,64.60%,88.10%,44.20%,60.50%,9.20%,26.60%,2532,0.44,0.79,227,103,108,
2010,Jose Bautista,TOR,161,683,17.00%,23.30%,68.70%,62.80%,86.30%,44.40%,56.10%,7.70%,25.20%,2880,0.409,0.807,142,249,66,
2013,Chris Davis,BAL,160,673,29.60%,34.70%,54.80%,74.50%,79.60%,39.00%,56.60%,15.20%,26.50%,2679,0.502,0.691,127,179,86,
2016,David Ortiz,BOS,151,626,13.70%,29.10%,70.70%,69.90%,90.50%,37.30%,51.90%,7.70%,21.80%,2478,0.444,0.823,150,206,101,
2010,Albert Pujols,STL,159,700,10.90%,26.80%,76.00%,63.00%,90.60%,43.40%,48.00%,5.90%,22.00%,2821,0.425,0.854,198,230,89,
2019,Alex Bregman,HOU,156,690,12.00%,18.80%,77.00%,58.80%,91.70%,40.60%,55.20%,4.60%,25.00%,2915,0.351,0.87,151,220,108,
2016,Mike Trout,LAA,159,681,20.10%,23.00%,70.60%,60.30%,87.00%,42.30%,55.80%,7.10%,25.90%,3014,0.388,0.814,172,153,92,
2015,Paul Goldschmidt,ARI,159,695,21.70%,22.40%,67.50%,61.60%,82.50%,43.40%,54.20%,8.50%,26.60%,2917,0.394,0.777,176,148,99,
2019,Nelson Cruz,MIN,120,521,25.10%,30.50%,53.60%,72.00%,80.90%,37.80%,54.50%,14.00%,27.40%,2114,0.462,0.697,129,131,66,
2012,Miguel Cabrera,DET,161,697,14.10%,33.40%,71.30%,71.70%,90.40%,42.20%,57.40%,8.20%,21.40%,2620,0.496,0.83,224,191,115,
2010,Paul Konerko,CHW,149,631,17.40%,27.20%,62.80%,59.90%,89.10%,46.10%,55.80%,8.30%,27.00%,2571,0.422,0.8,156,200,88,
2019,Cody Bellinger,LAD,156,660,16.40%,26.80%,69.50%,70.40%,83.00%,40.40%,53.90%,9.70%,24.60%,2688,0.444,0.781,142,191,118,
2015,Mike Trout,LAA,159,682,23.20%,24.40%,66.30%,55.60%,87.70%,44.00%,56.70%,7.50%,28.20%,2980,0.381,0.8,157,162,103,
2017,Charlie Blackmon,COL,159,725,18.60%,30.20%,70.00%,64.70%,90.10%,46.50%,57.40%,7.80%,25.10%,2884,0.463,0.831,208,189,114,
2015,Miguel Cabrera,DET,119,511,16.00%,29.50%,66.30%,70.50%,86.20%,41.10%,57.50%,9.60%,23.70%,1985,0.463,0.787,147,114,88,
2012,Ryan Braun,MIL,154,677,18.90%,36.40%,72.60%,67.60%,85.70%,41.60%,59.50%,9.70%,24.60%,2537,0.494,0.8,206,180,87,
2016,Joey Votto,CIN,158,677,17.70%,20.80%,75.80%,68.60%,85.50%,44.70%,54.40%,7.10%,23.00%,2896,0.422,0.829,191,132,121,
2011,Matt Kemp,LAD,161,689,23.10%,32.00%,65.50%,71.00%,77.50%,44.80%,58.30%,12.80%,27.00%,2704,0.495,0.732,163,182,104,
2010,Carlos Gonzalez,COL,145,636,21.20%,35.80%,60.20%,70.80%,88.70%,44.20%,59.10%,11.30%,25.90%,2272,0.513,0.776,194,167,95,
