,Season,Name,xK%,K%
593,2017,Jose Reyes,0.155,0.141
739,2017,Miguel Cabrera,0.205,0.208
345,2018,Joey Votto,0.151,0.162
564,2021,Josh Bell,0.178,0.178
650,2021,Fernando Tatis Jr.,0.28,0.28
604,2018,Billy Hamilton,0.218,0.237
129,2016,Andrew McCutchen,0.224,0.212
103,2018,Jed Lowrie,0.181,0.188
765,2019,Christian Vazquez,0.19,0.194
642,2019,Franmil Reyes,0.297,0.285
309,2018,Cody Bellinger,0.252,0.239
324,2017,Alcides Escobar,0.161,0.162
156,2019,Eric Hosmer,0.236,0.244
1071,2018, Joc Pederson,0.257,0.273
1080,2017, Randal Grichuk,0.271,0.295
1139,2021, Jeff McNeil,0.122,0.136
233,2017,Kyle Seager,0.18,0.169
847,2019,Justin Smoak,0.218,0.212
805,2015,Francisco Cervelli,0.178,0.184
1182,2019, Nick Senzel,0.221,0.244
1100,2019, Robinson Chirinos,0.297,0.286
1085,2021, Gary Sanchez,0.281,0.28
451,2016,Addison Russell,0.242,0.226
839,2015,Johnny Giavotella,0.111,0.118
668,2016,Angel Pagan,0.11,0.122
495,2017,Chase Headley,0.235,0.225
857,2018, Aaron Judge,0.333,0.315
816,2018,Victor Martinez,0.102,0.096
107,2016,Ian Kinsler,0.159,0.169
149,2017,Nick Markakis,0.157,0.164
269,2016,Adrian Beltre,0.128,0.103
1235,2017, Luis Valbuena,0.226,0.215
457,2017,Joe Mauer,0.153,0.139
612,2019,Yolmer Sanchez,0.223,0.211
334,2016,David Ortiz,0.142,0.137
1051,2021, Sean Murphy,0.256,0.254
106,2021,DJ LeMahieu,0.137,0.138
481,2018,Nelson Cruz,0.225,0.206
112,2021,Paul Goldschmidt,0.209,0.2
257,2017,Lorenzo Cain,0.18,0.155
520,2015,Adam Jones,0.171,0.176
523,2016,Yadier Molina,0.103,0.108
351,2016,Justin Turner,0.161,0.172
750,2019,Miguel Rojas,0.121,0.118
1142,2016, Matt Holliday,0.167,0.167
513,2015,Andrelton Simmons,0.041,0.082
198,2019,Juan Soto,0.214,0.2
347,2017,Maikel Franco,0.161,0.152
720,2017,Joey Gallo,0.363,0.368
837,2018,Yadier Molina,0.156,0.131
447,2021,Bryce Harper,0.261,0.224
312,2017,Kevin Pillar,0.149,0.15
1027,2021, Tyler Naquin,0.207,0.233
677,2019,Jose Ramirez,0.134,0.137
1187,2017, Aaron Altherr,0.251,0.252
476,2018,Eddie Rosario,0.175,0.176
977,2015, Juan Lagares,0.201,0.187
882,2018, Niko Goodrum,0.291,0.292
77,2016,Corey Seager,0.183,0.194
1046,2015, Josh Harrison,0.167,0.158
1105,2017, Mike Zunino,0.341,0.37
1204,2018, Carlos Gomez,0.199,0.212
498,2021,Kris Bryant,0.233,0.23
789,2019,Joc Pederson,0.21,0.216
52,2021,Freddie Freeman,0.161,0.154
1151,2019, Andrelton Simmons,0.045,0.079
1229,2018, Tim Beckham,0.241,0.249
641,2016,Corey Dickerson,0.247,0.245
1112,2015, Joe Panik,0.089,0.097
1058,2017, Trea Turner,0.175,0.179
185,2018,Andrew Benintendi,0.146,0.16
279,2018,Scooter Gennett,0.169,0.196
1087,2017, Michael Conforto,0.266,0.257
197,2019,Josh Donaldson,0.249,0.235
80,2017,Jose Bautista,0.257,0.248
659,2021,Randal Grichuk,0.191,0.209
941,2019, James McCann,0.242,0.279
484,2018,Jose Martinez,0.18,0.176
774,2016,Marwin Gonzalez,0.233,0.228
853,2017, Eduardo Escobar,0.21,0.196
904,2015, Mark Canha,0.215,0.214
835,2016,Mitch Moreland,0.232,0.235
599,2019,Daniel Vogelbach,0.258,0.267
940,2019, Gio Urshela,0.222,0.247
46,2018,Charlie Blackmon,0.189,0.193
180,2019,Eugenio Suarez,0.278,0.285
893,2017, J.D. Martinez,0.265,0.262
1060,2019, Gary Sanchez,0.275,0.275
963,2016, Steven Souza Jr.,0.31,0.34
1072,2019, Kyle Seager,0.194,0.194
846,2017,Danny Valencia,0.249,0.244
359,2017,Josh Bell,0.183,0.189
1092,2021, Anthony Santander,0.223,0.231
494,2018,Travis Shaw,0.18,0.184
995,2018, Randal Grichuk,0.27,0.301
1172,2017, Austin Hedges,0.285,0.293
973,2016, Ketel Marte,0.178,0.18
1041,2018, Gorkys Hernandez,0.262,0.251
221,2021,Dansby Swanson,0.253,0.256
473,2017,Mark Reynolds,0.306,0.295
804,2016,Cheslor Cuthbert,0.205,0.188
125,2016,Kyle Seager,0.15,0.16
422,2018,Stephen Piscotty,0.21,0.188
696,2021,J.T. Realmuto,0.234,0.24
432,2015,Freddy Galvis,0.182,0.171
82,2015,Kyle Seager,0.142,0.143
28,2018,Giancarlo Stanton,0.285,0.299
546,2018,Yonder Alonso,0.202,0.214
729,2017,Scott Schebler,0.219,0.235
499,2021,Ryan Mountcastle,0.272,0.275
255,2017,Jose Ramirez,0.115,0.107
1125,2018, Wilmer Flores,0.117,0.098
1131,2015, Stephen Drew,0.145,0.166
300,2019,Kris Bryant,0.236,0.229
1014,2018, Kris Bryant,0.243,0.234
930,2017, Brandon Drury,0.213,0.215
674,2017,Yadier Molina,0.147,0.136
623,2017,Dansby Swanson,0.221,0.218
990,2017, Keon Broxton,0.361,0.378
986,2016, Matt Wieters,0.177,0.183
582,2018,Nick Ahmed,0.214,0.193
830,2019,Eloy Jimenez,0.255,0.266
382,2016,Buster Posey,0.115,0.111
1108,2016, Lorenzo Cain,0.206,0.194
836,2015,Ryan Howard,0.258,0.274
281,2016,Denard Span,0.135,0.124
1111,2016, Devon Travis,0.188,0.201
1183,2019, David Dahl,0.255,0.266
613,2021,Kevin Newman,0.06,0.074
86,2016,Evan Longoria,0.203,0.21
943,2021, Christian Yelich,0.234,0.238
683,2021,Elvis Andrus,0.174,0.15
492,2018,Dee Strange-Gordon,0.129,0.136
996,2021, Akil Baddoo,0.25,0.265
594,2021,Tommy Pham,0.229,0.228
435,2021,Xander Bogaerts,0.212,0.187
544,2019,Dexter Fowler,0.244,0.247
767,2017,Yonder Alonso,0.218,0.226
1020,2018, Wilmer Difo,0.199,0.18
548,2018,Yuli Gurriel,0.084,0.11
888,2015, Pedro Alvarez,0.253,0.267
905,2017, Mike Napoli,0.328,0.336
285,2017,Albert Pujols,0.167,0.146
929,2019, Ramon Laureano,0.273,0.256
311,2018,Jean Segura,0.098,0.109
35,2016,Edwin Encarnacion,0.206,0.197
335,2016,Jacoby Ellsbury,0.152,0.134
663,2015,Marlon Byrd,0.261,0.267
768,2018,Ben Zobrist,0.127,0.115
988,2018, Adam Engel,0.28,0.279
20,2018,Cesar Hernandez,0.229,0.219
552,2017,Brandon Crawford,0.211,0.198
627,2015,Martin Prado,0.126,0.123
689,2017,Hunter Pence,0.2,0.189
702,2018,Brandon Nimmo,0.276,0.262
981,2016, Brandon Moss,0.307,0.319
449,2018,Jose Altuve,0.134,0.132
890,2018, Paul DeJong,0.25,0.256
601,2021,Josh Harrison,0.139,0.134
711,2018,Ian Kinsler,0.125,0.12
319,2021,Jonathan India,0.238,0.223
1019,2017, Robbie Grossman,0.172,0.173
953,2021, Kyle Schwarber,0.284,0.309
192,2018,Rhys Hoskins,0.225,0.227
1225,2015, Miguel Montero,0.259,0.256
639,2019,Miguel Cabrera,0.193,0.197
801,2015,Miguel Cabrera,0.181,0.16
465,2021,Trevor Story,0.241,0.234
191,2018,Matt Olson,0.241,0.247
44,2021,Vladimir Guerrero Jr.,0.178,0.158
911,2016, Andrelton Simmons,0.129,0.137
913,2021, Willson Contreras,0.296,0.286
427,2015,Evan Gattis,0.171,0.197
736,2016,Chase Headley,0.217,0.223
912,2017, Miguel Sano,0.35,0.358
867,2015, Howie Kendrick III,0.183,0.166
