,Season,Name,xK%,K%
614,2015,Lucas Duda,0.238,0.249
1027,2021, Tyler Naquin,0.223,0.233
609,2015,Cameron Maybin,0.185,0.184
793,2021,Jed Lowrie,0.2,0.211
677,2019,Jose Ramirez,0.134,0.137
1084,2017, Delino DeShields,0.269,0.248
627,2015,Martin Prado,0.125,0.123
370,2017,Jay Bruce,0.23,0.225
718,2021,Raimel Tapia,0.125,0.131
269,2016,Adrian Beltre,0.124,0.103
708,2018,Rougned Odor,0.217,0.237
1203,2019, Willson Contreras,0.24,0.229
1029,2021, Bobby Dalbec,0.367,0.344
131,2015,Ian Kinsler,0.114,0.119
388,2019,Anthony Rizzo,0.168,0.14
225,2015,Shin-Soo Choo,0.221,0.225
541,2017,Todd Frazier,0.23,0.217
854,2016, Evan Gattis,0.199,0.224
657,2015,Mark Trumbo,0.236,0.242
882,2018, Niko Goodrum,0.304,0.292
965,2018, JaCoby Jones,0.293,0.304
548,2018,Yuli Gurriel,0.102,0.11
643,2019,Jose Altuve,0.143,0.15
740,2016,Starling Marte,0.215,0.197
645,2016,Adeiny Hechavarria,0.131,0.133
566,2016,Nomar Mazara,0.188,0.197
662,2018,Mallex Smith,0.204,0.18
739,2017,Miguel Cabrera,0.209,0.208
1130,2015, Ryan Goins,0.172,0.194
1037,2021, Andrelton Simmons,0.091,0.087
720,2017,Joey Gallo,0.378,0.368
268,2015,Jason Kipnis,0.178,0.167
256,2019,Kevin Pillar,0.136,0.138
1112,2015, Joe Panik,0.102,0.097
813,2017,Javier Baez,0.306,0.283
1009,2016, Derek Norris,0.283,0.303
423,2021,Yuli Gurriel,0.1,0.112
759,2015,Addison Russell,0.297,0.285
547,2017,Joe Panik,0.106,0.094
1069,2019, Adalberto Mondesi,0.288,0.298
1040,2015, George Springer III,0.25,0.242
651,2019,Orlando Arcia,0.204,0.2
287,2021,Jose Ramirez,0.145,0.137
648,2019,Matt Olson,0.244,0.252
572,2016,Logan Forsythe,0.216,0.224
209,2019,Amed Rosario,0.195,0.189
1179,2016, Trevor Story,0.301,0.313
437,2021,Jorge Soler,0.234,0.236
553,2017,Didi Gregorius,0.146,0.123
573,2015,Torii Hunter,0.187,0.185
604,2018,Billy Hamilton,0.219,0.237
110,2017,Marcell Ozuna,0.214,0.212
280,2021,Cesar Hernandez,0.198,0.212
264,2015,Chase Headley,0.199,0.21
632,2019,Josh Reddick,0.118,0.12
1056,2019, Raimel Tapia,0.216,0.224
276,2015,Erick Aybar,0.112,0.114
1137,2017, Carlos Gomez,0.303,0.3
1182,2019, Nick Senzel,0.226,0.244
582,2018,Nick Ahmed,0.21,0.193
415,2018,Miguel Andujar,0.153,0.16
312,2017,Kevin Pillar,0.142,0.15
1167,2015, Yolmer Sanchez,0.203,0.193
243,2017,Robinson Cano,0.139,0.131
1166,2016, Tucker Barnhart,0.154,0.171
567,2015,Ryan Braun,0.2,0.202
488,2019,Jason Heyward,0.175,0.187
849,2021,Wil Myers,0.296,0.282
819,2021,Jazz Chisholm Jr.,0.279,0.286
133,2017,Jose Abreu,0.185,0.176
1125,2018, Wilmer Flores,0.116,0.098
956,2016, Giancarlo Stanton,0.293,0.298
899,2017, Cory Spangenberg,0.249,0.263
1184,2017, Ian Happ,0.299,0.312
8,2017,Francisco Lindor,0.133,0.129
333,2017,Alex Bregman,0.135,0.155
497,2018,Jon Jay,0.185,0.162
687,2017,Asdrubal Cabrera,0.155,0.154
1064,2019, Buster Posey III,0.112,0.118
