,Season,Name,xK%,K%
579,2016,Chase Utley,0.191,0.204
929,2019, Ramon Laureano,0.276,0.256
1237,2021, Alex Bregman,0.142,0.133
178,2015,Alcides Escobar,0.137,0.113
618,2015,Chris Owings,0.248,0.261
807,2018,Kyle Schwarber,0.272,0.275
691,2021,Miguel Rojas,0.142,0.137
26,2018,Alex Bregman,0.122,0.121
1066,2021, Christian Walker,0.246,0.238
654,2019,Dansby Swanson,0.241,0.228
406,2019,Adam Frazier,0.139,0.123
554,2021,Luis Urias,0.211,0.204
298,2019,Charlie Blackmon,0.168,0.164
290,2017,Adam Jones,0.179,0.178
669,2016,Howie Kendrick,0.185,0.177
906,2015, Victor Martinez,0.131,0.145
954,2017, Martin Maldonado,0.314,0.298
559,2018,Alex Gordon,0.219,0.218
902,2015, Colby Rasmus,0.289,0.29
1228,2021, Paul DeJong,0.258,0.28
469,2018,Justin Smoak,0.236,0.263
800,2015,Michael A Taylor,0.303,0.309
46,2018,Charlie Blackmon,0.191,0.193
200,2016,Martin Prado,0.104,0.105
283,2019,Michael Brantley,0.095,0.104
377,2021,Trey Mancini,0.239,0.232
365,2018,Jeimer Candelario,0.258,0.258
805,2015,Francisco Cervelli,0.176,0.184
156,2019,Eric Hosmer,0.233,0.244
625,2016,Dexter Fowler,0.224,0.225
592,2019,Javier Baez,0.266,0.278
997,2021, Brett Gardner,0.23,0.217
198,2019,Juan Soto,0.206,0.2
42,2016,Dustin Pedroia,0.12,0.105
333,2017,Alex Bregman,0.135,0.155
732,2017,Tommy Pham,0.201,0.221
927,2017, Jonathan Lucroy,0.13,0.143
201,2019,JD Martinez,0.216,0.21
986,2016, Matt Wieters,0.175,0.183
437,2021,Jorge Soler,0.234,0.236
482,2015,Yunel Escobar,0.11,0.118
948,2017, Starlin Castro,0.199,0.197
995,2018, Randal Grichuk,0.272,0.301
225,2015,Shin-Soo Choo,0.221,0.225
454,2018,Anthony Rendon,0.152,0.137
1059,2015, Eduardo Escobar,0.196,0.193
82,2015,Kyle Seager,0.144,0.143
868,2016, Miguel Sano,0.354,0.362
464,2021,Teoscar Hernandez,0.25,0.249
576,2018,Jesus Aguilar,0.282,0.253
785,2017,Marwin Gonzalez,0.193,0.192
1003,2019, Eric Thames,0.303,0.305
132,2017,Jonathan Schoop,0.213,0.21
683,2021,Elvis Andrus,0.172,0.15
835,2016,Mitch Moreland,0.233,0.235
366,2019,Jean Segura,0.111,0.118
75,2016,Carlos Santana,0.148,0.144
563,2016,Elvis Andrus,0.134,0.123
993,2018, Ian Happ,0.359,0.361
920,2017, Yasmani Grandal,0.24,0.27
1234,2021, Harrison Bader,0.28,0.293
487,2015,Gerardo Parra,0.155,0.156
1047,2019, Roberto Perez,0.275,0.283
739,2017,Miguel Cabrera,0.209,0.208
1082,2019, Manuel Margot,0.202,0.2
1032,2018, Aledmys Diaz,0.149,0.13
96,2019,Bryce Harper,0.28,0.261
627,2015,Martin Prado,0.123,0.123
265,2021,Nathaniel Lowe,0.234,0.252
231,2017,Andrew McCutchen,0.185,0.178
50,2017,Christian Yelich,0.203,0.197
170,2015,Nolan Arenado,0.155,0.165
883,2021, Odubel Herrera,0.171,0.157
1225,2015, Miguel Montero,0.266,0.256
1191,2021, James McCann,0.205,0.212
183,2018,Yolmer Sanchez,0.217,0.208
725,2018,Alcides Escobar,0.162,0.139
743,2018,Miguel Rojas,0.14,0.131
876,2016, Brian McCann,0.191,0.201
960,2019, Nick Markakis,0.124,0.126
213,2015,Bryce Harper,0.2,0.2
656,2016,JT Realmuto,0.174,0.183
1045,2018, Daniel Palka,0.329,0.341
1116,2016, Tim Anderson,0.262,0.271
179,2021,Austin Riley,0.248,0.254
194,2021,Carlos Santana,0.174,0.155
1214,2018, Lewis Brinson,0.298,0.296
978,2018, Maikel Franco,0.175,0.166
453,2021,Yordan Alvarez,0.219,0.242
994,2015, Mark Teixeira,0.21,0.24
917,2019, Omar Narvaez,0.184,0.189
258,2016,Mike Napoli,0.313,0.301
317,2016,Ben Zobrist,0.138,0.13
94,2018,Andrew McCutchen,0.227,0.213
344,2015,Buster Posey,0.089,0.083
909,2016, Paulo Orlando,0.199,0.217
1133,2018, Adam Duvall,0.263,0.274
