,Season,Name,xXBH%,XBH%,H,,
460,2019,Max Kepler,0.469,0.515,132,0.046,6.072
1090,2016,Josh Reddick,0.321,0.25,112,-0.071,-7.952
378,2017,Nomar Mazara,0.336,0.371,140,0.035,4.9
640,2017,Cody Bellinger,0.496,0.539,128,0.043,5.504
540,2017,Mitch Moreland,0.381,0.448,125,0.067,8.375
916,2019,Ian Desmond,0.373,0.487,113,0.114,12.882
476,2018,Asdrubal Cabrera,0.389,0.42,143,0.031,4.433
1029,2021,Bobby Dalbec,0.528,0.51,100,-0.018,-1.8
241,2017,Robinson Cano,0.335,0.337,166,0.002,0.332
522,2018,DJ LeMahieu,0.302,0.333,147,0.031,4.557
358,2015,Justin Upton,0.447,0.404,136,-0.043,-5.848
139,2016,Kole Calhoun,0.384,0.36,161,-0.024,-3.864
275,2021,Adam Frazier,0.25,0.261,176,0.011,1.936
383,2015,David Ortiz,0.445,0.514,144,0.069,9.936
186,2015,Albert Pujols,0.418,0.422,147,0.004,0.588
599,2016,Michael Saunders,0.405,0.476,124,0.071,8.804
878,2016,David Freese,0.294,0.305,118,0.011,1.298
506,2019,Mike Moustakas,0.461,0.496,133,0.035,4.655
312,2019,Kole Calhoun,0.433,0.492,128,0.059,7.552
1102,2015,A.J. Pierzynski,0.263,0.279,122,0.016,1.952
243,2019,Elvis Andrus,0.298,0.261,165,-0.037,-6.105
235,2018,Yoan Moncada,0.427,0.404,136,-0.023,-3.128
130,2021,Cedric Mullins II,0.429,0.411,175,-0.018,-3.15
180,2019,Eugenio Suarez,0.475,0.468,156,-0.007,-1.092
421,2021,Yuli Gurriel,0.34,0.272,169,-0.068,-11.492
149,2021,Kyle Seager,0.493,0.508,128,0.015,1.92
899,2019,Edwin Encarnacion,0.517,0.51,102,-0.007,-0.714
631,2021,Josh Rojas,0.291,0.359,128,0.068,8.704
1173,2017,Austin Hedges,0.399,0.422,83,0.023,1.909
147,2015,Evan Longoria,0.4,0.35,163,-0.05,-8.15
772,2019,Tim Anderson,0.298,0.299,167,0.001,0.167
1059,2019,Gary Sanchez,0.542,0.511,92,-0.031,-2.852
543,2021,Andrew McCutchen,0.438,0.486,107,0.048,5.136
1229,2021,Paul DeJong,0.464,0.429,70,-0.035,-2.45
286,2016,Jackie Bradley Jr.,0.402,0.423,149,0.021,3.129
974,2018,Robbie Grossman,0.29,0.306,108,0.016,1.728
273,2021,Shohei Ohtani,0.579,0.58,138,0.001,0.138
570,2021,Jean Segura,0.328,0.295,149,-0.033,-4.917
98,2015,Charlie Blackmon,0.356,0.324,176,-0.032,-5.632
741,2019,Adam Jones,0.363,0.333,126,-0.03,-3.78
1016,2018,James McCann,0.33,0.255,94,-0.075,-7.05
329,2015,Kevin Pillar,0.325,0.276,163,-0.049,-7.987
283,2016,Denard Span,0.252,0.257,152,0.005,0.76
420,2017,Anthony Rendon,0.425,0.438,153,0.013,1.989
1208,2021,Didi Gregorius,0.373,0.403,77,0.03,2.31
447,2021,Bryce Harper,0.484,0.517,151,0.033,4.983
324,2017,George Springer,0.388,0.406,155,0.018,2.79
521,2015,Adam Jones,0.391,0.374,147,-0.017,-2.499
499,2021,Ryan Mountcastle,0.442,0.419,136,-0.023,-3.128
1046,2019,Roberto Perez,0.372,0.366,93,-0.006,-0.558
46,2016,Nolan Arenado,0.453,0.451,182,-0.002,-0.364
1066,2021,Christian Walker,0.384,0.347,98,-0.037,-3.626
882,2019,Matt Carpenter,0.411,0.394,94,-0.017,-1.598
1065,2021,Omar Narvaez,0.319,0.298,104,-0.021,-2.184
806,2015,Francisco Cervelli,0.285,0.218,133,-0.067,-8.911
887,2015,Pedro Alvarez,0.363,0.425,106,0.062,6.572
853,2019,Todd Frazier,0.416,0.375,112,-0.041,-4.592
546,2021,Eugenio Suarez,0.496,0.54,100,0.044,4.4
