,Season,Name,xXBH%,XBH%,H
460,2019,Max Kepler,0.469,0.515,132
1090,2016,Josh Reddick,0.321,0.25,112
378,2017,Nomar Mazara,0.336,0.371,140
640,2017,Cody Bellinger,0.496,0.539,128
540,2017,Mitch Moreland,0.381,0.448,125
916,2019,Ian Desmond,0.373,0.487,113
476,2018,Asdrubal Cabrera,0.389,0.42,143
1029,2021,Bobby Dalbec,0.528,0.51,100
241,2017,Robinson Cano,0.335,0.337,166
522,2018,DJ LeMahieu,0.302,0.333,147
358,2015,Justin Upton,0.447,0.404,136
139,2016,Kole Calhoun,0.384,0.36,161
275,2021,Adam Frazier,0.25,0.261,176
383,2015,David Ortiz,0.445,0.514,144
186,2015,Albert Pujols,0.418,0.422,147
599,2016,Michael Saunders,0.405,0.476,124
878,2016,David Freese,0.294,0.305,118
506,2019,Mike Moustakas,0.461,0.496,133
312,2019,Kole Calhoun,0.433,0.492,128
1102,2015,A.J. Pierzynski,0.263,0.279,122
243,2019,Elvis Andrus,0.298,0.261,165
235,2018,Yoan Moncada,0.427,0.404,136
130,2021,Cedric Mullins II,0.429,0.411,175
180,2019,Eugenio Suarez,0.475,0.468,156
421,2021,Yuli Gurriel,0.34,0.272,169
149,2021,Kyle Seager,0.493,0.508,128
899,2019,Edwin Encarnacion,0.517,0.51,102
631,2021,Josh Rojas,0.291,0.359,128
1173,2017,Austin Hedges,0.399,0.422,83
147,2015,Evan Longoria,0.4,0.35,163
772,2019,Tim Anderson,0.298,0.299,167
1059,2019,Gary Sanchez,0.542,0.511,92
543,2021,Andrew McCutchen,0.438,0.486,107
1229,2021,Paul DeJong,0.464,0.429,70
286,2016,Jackie Bradley Jr.,0.402,0.423,149
974,2018,Robbie Grossman,0.29,0.306,108
273,2021,Shohei Ohtani,0.579,0.58,138
570,2021,Jean Segura,0.328,0.295,149
98,2015,Charlie Blackmon,0.356,0.324,176
741,2019,Adam Jones,0.363,0.333,126
1016,2018,James McCann,0.33,0.255,94
329,2015,Kevin Pillar,0.325,0.276,163
283,2016,Denard Span,0.252,0.257,152
420,2017,Anthony Rendon,0.425,0.438,153
1208,2021,Didi Gregorius,0.373,0.403,77
447,2021,Bryce Harper,0.484,0.517,151
324,2017,George Springer,0.388,0.406,155
521,2015,Adam Jones,0.391,0.374,147
499,2021,Ryan Mountcastle,0.442,0.419,136
1046,2019,Roberto Perez,0.372,0.366,93
46,2016,Nolan Arenado,0.453,0.451,182
1066,2021,Christian Walker,0.384,0.347,98
882,2019,Matt Carpenter,0.411,0.394,94
1065,2021,Omar Narvaez,0.319,0.298,104
806,2015,Francisco Cervelli,0.285,0.218,133
887,2015,Pedro Alvarez,0.363,0.425,106
853,2019,Todd Frazier,0.416,0.375,112
546,2021,Eugenio Suarez,0.496,0.54,100
1035,2019,Yadier Molina,0.322,0.301,113
990,2017,Keon Broxton,0.403,0.429,91
154,2015,Eric Hosmer,0.312,0.315,178
598,2019,Yoan Moncada,0.423,0.398,161
1219,2015,C.J. Cron,0.356,0.343,99
581,2016,Chase Utley,0.339,0.333,129
219,2015,Xander Bogaerts,0.264,0.23,196
509,2019,Willy Adames,0.331,0.341,135
1108,2016,Lorenzo Cain,0.298,0.254,114
342,2018,Joey Votto,0.305,0.294,143
432,2019,Christian Walker,0.433,0.409,137
768,2018,Ben Zobrist,0.325,0.288,139
442,2018,Jason Kipnis,0.387,0.385,122
919,2019,Robbie Grossman,0.277,0.297,101
518,2021,Charlie Blackmon,0.339,0.302,139
524,2019,Christian Yelich,0.475,0.472,161
23,2018,Whit Merrifield,0.312,0.302,192
469,2018,Brandon Crawford,0.277,0.326,135
771,2018,Manuel Margot,0.36,0.359,117
948,2018,Jose Pirela,0.269,0.275,109
114,2017,Aaron Judge,0.596,0.513,154
170,2018,Shin-Soo Choo,0.363,0.351,148
349,2016,Justin Turner,0.395,0.418,153
1004,2018,Mitch Moreland,0.434,0.424,99
448,2018,Jose Altuve,0.317,0.26,169
1000,2015,Chris Carter,0.512,0.526,78
335,2021,Jeimer Candelario,0.373,0.404,151
1096,2021,Anthony Santander,0.419,0.429,98
617,2015,Salvador Perez,0.335,0.333,138
1235,2017,Brandon Moss,0.498,0.48,75
63,2017,Anthony Rizzo,0.41,0.429,156
1148,2015,Dustin Pedroia,0.281,0.288,111
1126,2017,Willson Contreras,0.355,0.404,104
825,2018,Yangervis Solarte,0.319,0.349,106
338,2021,Mark Canha,0.385,0.358,120
380,2015,Logan Forsythe,0.346,0.342,152
838,2015,Johnny Giavotella,0.246,0.276,123
1212,2017,Brad Miller,0.36,0.368,68
1153,2018,Daniel Descalso,0.447,0.47,83
892,2021,Max Kepler,0.472,0.489,90
66,2021,Tommy Edman,0.352,0.327,168
107,2019,Jorge Soler,0.503,0.526,156
1234,2017,Luis Valbuena,0.442,0.536,69
470,2017,Daniel Murphy,0.354,0.401,172
756,2021,Francisco Lindor,0.446,0.375,104
533,2017,Cesar Hernandez,0.268,0.273,150
197,2021,Jose Abreu,0.404,0.419,148
