Unnamed: 0,Season,Name,Team,Age,G,PA,AB,xAVG,xOBP,xSLG,xOPS,xHR,HBP,SF,xK%,xBB%,AVG-xAVG,OPS-xOPS,HR-xHR,xHR%,xBABIP,xISO,xK,xBB,xEvents,xBIP,xH,AVG,OBP,SLG,OPS,HR
0,2022,Aaron Judge,NYY,30,144,641,533,0.296,0.387,0.652,1.039,60,5,5,0.274,0.12,0.021,0.087,0,0.94,0.309,0.356,176,77,378,318,158,0.317,0.421,0.705,1.126,60
1,2022,Yordan Alvarez,HOU,25,124,519,434,0.304,0.397,0.589,0.986,40,6,6,0.188,0.125,-0.002,0.041,-3,0.767,0.301,0.285,98,65,344,304,132,0.302,0.405,0.622,1.027,37
2,2022,Paul Goldschmidt,STL,34,141,614,528,0.277,0.365,0.535,0.9,33,4,3,0.225,0.115,0.043,0.103,2,0.534,0.31,0.258,138,71,398,365,146,0.32,0.408,0.595,1.003,35
3,2022,Mike Trout,LAA,30,107,445,392,0.237,0.337,0.543,0.88,33,6,0,0.277,0.118,0.036,0.089,3,0.747,0.262,0.306,123,53,263,230,93,0.273,0.36,0.61,0.969,36
4,2022,Freddie Freeman,LAD,32,148,661,576,0.312,0.384,0.51,0.894,14,5,7,0.145,0.1,0.018,0.031,6,0.211,0.352,0.198,96,66,487,473,180,0.33,0.405,0.519,0.925,20
5,2022,Jose Altuve,HOU,32,131,567,495,0.263,0.356,0.452,0.808,24,10,1,0.155,0.109,0.032,0.088,1,0.422,0.278,0.189,88,62,406,382,130,0.295,0.383,0.513,0.896,25
6,2022,Bryce Harper,PHI,29,86,370,324,0.299,0.364,0.521,0.885,19,3,4,0.239,0.087,-0.006,0.022,-2,0.503,0.346,0.222,88,32,243,224,97,0.293,0.37,0.537,0.907,17
7,2022,Eloy Jimenez,CHW,25,74,291,258,0.279,0.338,0.531,0.869,13,3,4,0.189,0.076,0.031,0.021,1,0.454,0.306,0.252,55,22,207,194,72,0.31,0.375,0.516,0.89,14
8,2022,Nolan Arenado,STL,31,139,586,527,0.264,0.325,0.502,0.827,24,7,4,0.146,0.074,0.03,0.07,5,0.407,0.273,0.238,86,43,446,422,139,0.294,0.358,0.539,0.897,29
9,2022,Austin Riley,ATL,25,147,640,572,0.264,0.337,0.51,0.847,32,14,4,0.233,0.08,0.012,0.042,5,0.497,0.305,0.246,149,51,422,390,151,0.276,0.347,0.542,0.889,37
10,2022,Michael Harris II,ATL,21,102,389,367,0.275,0.311,0.476,0.787,11,5,0,0.25,0.037,0.033,0.097,7,0.287,0.343,0.201,97,14,273,262,101,0.308,0.347,0.537,0.884,18
11,2022,Manny Machado,SDP,29,138,592,531,0.282,0.345,0.514,0.859,28,1,2,0.194,0.086,0.014,0.033,1,0.468,0.309,0.232,115,51,423,395,150,0.296,0.365,0.527,0.892,29
12,2022,Juan Soto,- - -,23,141,611,479,0.286,0.425,0.511,0.936,27,4,0,0.159,0.184,-0.044,-0.078,-2,0.442,0.296,0.225,97,112,398,371,137,0.242,0.405,0.453,0.858,25
13,2022,Mookie Betts,LAD,29,130,592,529,0.268,0.346,0.509,0.855,28,7,4,0.148,0.098,0.002,0.033,7,0.474,0.281,0.241,88,58,435,407,142,0.27,0.341,0.546,0.888,35
14,2022,Shohei Ohtani,LAA,27,144,612,534,0.268,0.343,0.523,0.866,28,4,3,0.238,0.096,0.002,0.026,6,0.452,0.308,0.255,146,59,400,372,143,0.27,0.358,0.534,0.892,34
